chair to collider angle,table to collider angle,audience to collider angle,


73.82162,107.797,73.82162,
73.82162,107.797,73.82162,
73.82423,107.7949,73.82423,
68.88387,150.8676,68.88387,
70.91972,155.5391,70.91972,
70.57033,157.2585,70.57033,
69.93848,158.3752,69.93848,
68.63226,160.3502,68.63226,
69.10746,159.1118,69.10746,
68.99416,158.7301,68.99416,
64.91647,160.881,64.91647,
65.82088,161.1404,65.82088,
66.7382,161.4586,66.7382,
67.5682,161.8621,67.5682,
68.26321,162.2119,68.26321,
68.96323,162.4941,68.96323,
69.83036,162.5792,69.83036,
70.85665,162.4634,70.85665,
71.95854,162.2078,71.95854,
73.0836,161.8242,73.0836,
74.31819,161.2565,74.31819,
75.54194,160.6052,75.54194,
76.76897,159.8902,76.76897,
77.89883,159.2799,77.89883,
78.32391,159.1253,78.32391,
78.48852,159.188,78.48852,
78.50613,159.39,78.50613,
78.36194,159.7057,78.36194,
78.17477,159.9948,78.17477,
78.12934,160.133,78.12934,
78.25445,160.0338,78.25445,
78.50117,159.8053,78.50117,
78.78329,159.584,78.78329,
79.01141,159.3238,79.01141,
79.23357,159.0191,79.23357,
79.57135,158.6566,79.57135,
79.81188,158.476,79.81188,
80.11603,158.2656,80.11603,
80.39471,157.9906,80.39471,
80.46525,158.0628,80.46525,
80.30354,158.285,80.30354,
80.14747,158.4135,80.14747,
79.98183,158.6217,79.98183,
79.99292,158.6656,79.99292,
80.11404,158.6902,80.11404,
80.05447,158.9051,80.05447,
79.72594,159.3977,79.72594,
79.18797,160.1245,79.18797,
78.58869,160.9389,78.58869,
78.07936,161.6805,78.07936,
77.66232,162.2906,77.66232,
77.29783,162.7845,77.29783,
76.87625,163.2551,76.87625,
76.5527,163.5804,76.5527,
76.40257,163.6541,76.40257,
76.46386,163.494,76.46386,
76.53036,163.3338,76.53036,
76.51996,163.2353,76.51996,
76.27394,163.4139,76.27394,
75.93223,163.6901,75.93223,
75.40942,164.1361,75.40942,
74.89971,164.5641,74.89971,
74.4379,164.9509,74.4379,
74.17419,165.1181,74.17419,
74.13858,165.0617,74.13858,
74.28902,164.8354,74.28902,
74.67013,164.3562,74.67013,
75.41705,163.5058,75.41705,
76.24581,162.5766,76.24581,
77.23335,161.4627,77.23335,
78.3097,160.2734,78.3097,
79.43958,159.0481,79.43958,
80.47819,157.8931,80.47819,
81.54716,156.7193,81.54716,
82.61452,155.5669,82.61452,
83.43674,154.6421,83.43674,
84.08998,153.8936,84.08998,
84.55243,153.3542,84.55243,
84.96416,152.856,84.96416,
85.387,152.3429,85.387,
85.80344,151.8471,85.80344,
86.29137,151.2481,86.29137,
86.78496,150.6441,86.78496,
87.32965,149.9918,87.32965,
87.93095,149.282,87.93095,
88.57872,148.5361,88.57872,
89.06995,147.9575,89.06995,
89.56443,147.3753,89.56443,
89.86194,146.9903,89.86194,
90.09114,146.6688,90.09114,
90.22958,146.4326,90.22958,
90.32478,146.2443,90.32478,
90.45303,146.0368,90.45303,
90.61488,145.7909,90.61488,
90.79868,145.542,90.79868,
90.98628,145.2801,90.98628,
91.15382,145.0286,91.15382,
91.31678,144.785,91.31678,
91.47351,144.5619,91.47351,
91.64355,144.3323,91.64355,
