pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.615799,4.247459,1.615799,0,4.507173,0,
1.615799,4.247459,1.615799,0,4.507173,0,
1.497177,1.486121,3.161833,1.756054,1.138415,3.359329,
1.526408,1.465211,3.197149,3.042134,3.540646,0.2735826,
1.533054,1.460238,3.204537,3.041987,3.540604,0.2735023,
1.533812,1.459473,3.205228,3.041676,3.54047,0.2733805,
1.534574,1.45906,3.20603,3.041713,3.540452,0.2733126,
1.535578,1.458421,3.207013,3.041788,3.540462,0.2733016,
1.536463,1.457724,3.208044,3.041826,3.540426,0.2733185,
1.537176,1.457255,3.208882,3.041297,3.54038,0.2731629,
1.537944,1.456678,3.209728,3.041373,3.540422,0.2731503,
1.539343,1.456236,3.211255,3.041939,3.540587,0.2735397,
1.570147,1.43936,3.243192,3.042025,3.540657,0.2735171,
1.571373,1.438578,3.244828,3.041706,3.540656,0.273602,
1.572705,1.437786,3.246196,3.041674,3.540715,0.2735356,
1.574019,1.436864,3.247569,3.041807,3.540779,0.2733873,
1.57529,1.43629,3.249067,3.0417,3.54075,0.2734161,
1.576709,1.435357,3.250475,3.0419,3.54082,0.2733437,
1.577985,1.434619,3.252095,3.04186,3.540668,0.2731402,
1.579288,1.433827,3.253564,3.041887,3.540648,0.2730803,
1.580398,1.433084,3.254968,3.041958,3.540684,0.2730611,
1.581625,1.432274,3.256391,3.042031,3.540747,0.2731421,
1.58277,1.431711,3.257702,3.042058,3.540644,0.2731083,
1.583992,1.430928,3.259113,3.042006,3.540659,0.2731501,
1.584993,1.430132,3.260416,3.042027,3.540714,0.2731655,
1.586091,1.429546,3.261778,3.041904,3.540703,0.2731502,
1.587009,1.42884,3.263052,3.041781,3.540681,0.2732029,
1.588098,1.428262,3.264692,3.041714,3.540543,0.2731621,
1.589167,1.427426,3.266067,3.041626,3.540527,0.273145,
1.59016,1.426813,3.267416,3.041624,3.540526,0.2731184,
1.591148,1.426144,3.268752,3.041607,3.540463,0.2731651,
1.592214,1.425559,3.270142,3.041777,3.540467,0.2731094,
1.593427,1.424875,3.271677,3.041688,3.540431,0.2731346,
1.594258,1.424254,3.273032,3.041675,3.540391,0.2730289,
1.595158,1.423639,3.274483,3.041444,3.540389,0.2731133,
1.596093,1.423118,3.275898,3.041441,3.540341,0.2730568,
1.597085,1.422605,3.277443,3.041468,3.540489,0.2730475,
1.597789,1.422074,3.278935,3.040724,3.540484,0.2731326,
1.59882,1.421545,3.280401,3.040685,3.540476,0.2730904,
1.599537,1.421116,3.281727,3.040684,3.540661,0.2731494,
1.600336,1.420706,3.283178,3.040298,3.540692,0.2731431,
1.60106,1.420311,3.284506,3.04027,3.540712,0.2731501,
1.602263,1.419976,3.286086,3.040167,3.540789,0.2732416,
1.603116,1.419526,3.287512,3.039929,3.540781,0.2732432,
1.603985,1.419152,3.288946,3.040025,3.540861,0.2732454,
1.604951,1.418623,3.290185,3.040029,3.540906,0.2732764,
1.605873,1.418419,3.291539,3.039754,3.540848,0.273277,
1.606613,1.418062,3.29276,3.03957,3.540843,0.2732595,
1.607509,1.417535,3.293967,3.039325,3.540753,0.2731968,
