chair to collider angle,table to collider angle,audience to collider angle,


71.43474,17.40394,71.43474,
71.43474,17.40394,71.43474,
103.8061,45.57291,43.77459,
117.7743,26.53711,66.88824,
118.1657,26.08373,67.60907,
118.1703,26.0824,67.62344,
118.1581,26.07804,67.62122,
118.1474,26.08868,67.60967,
118.1444,26.09633,67.60368,
118.1513,26.11479,67.60798,
118.1501,26.10935,67.61212,
118.1292,26.09334,67.61716,
119.4835,26.33292,69.09439,
119.4962,26.22514,69.2038,
119.5399,26.15572,69.31103,
119.5781,26.06598,69.43014,
119.6269,25.98124,69.55649,
119.6894,25.90877,69.68491,
119.7695,25.85466,69.8219,
119.8604,25.8203,69.9558,
119.9595,25.78962,70.09241,
120.0718,25.78936,70.22143,
120.1816,25.77334,70.36018,
120.2735,25.7523,70.49068,
120.3601,25.73016,70.60413,
120.4185,25.69722,70.70695,
120.4758,25.6493,70.81657,
120.522,25.60545,70.90867,
120.5406,25.53923,70.98397,
120.5513,25.47291,71.05491,
120.5962,25.43311,71.13932,
120.6422,25.40544,71.21912,
120.7006,25.37118,71.32345,
120.7509,25.31207,71.42667,
120.787,25.25161,71.52191,
120.8115,25.18031,71.61032,
120.8486,25.13136,71.7026,
120.8769,25.07436,71.79092,
120.9199,25.03774,71.87939,
120.9655,25.00038,71.96561,
121.0175,24.98284,72.04935,
121.0886,24.97924,72.13455,
121.1668,25.00111,72.23396,
121.2489,24.99781,72.3427,
121.3336,25.00693,72.44167,
121.4117,24.99989,72.55225,
121.4815,24.97306,72.67399,
121.5767,24.95009,72.81692,
121.6728,24.93017,72.96754,
121.8018,24.90395,73.15869,
121.9452,24.86739,73.37168,
122.0816,24.78799,73.60959,
122.2194,24.67435,73.88461,
122.35,24.53996,74.17162,
122.475,24.37493,74.47817,
122.5986,24.18447,74.8084,
122.7021,23.94006,75.16611,
122.8392,23.7091,75.5563,
123.0142,23.51989,75.97334,
123.2193,23.3613,76.4119,
123.4916,23.26186,76.9095,
123.8344,23.23064,77.4597,
124.2988,23.31707,78.06872,
124.7734,23.41728,78.69869,
125.2567,23.52319,79.35328,
125.7509,23.64373,80.02624,
126.2169,23.7248,80.72047,
126.5665,23.67677,81.43159,
126.8058,23.53408,82.11695,
126.9257,23.24861,82.83003,
127.0246,22.96427,83.54256,
127.0159,22.5789,84.2395,
126.9283,22.16213,84.89851,
126.8034,21.75975,85.5296,
126.696,21.4435,86.14836,
126.604,21.18237,86.72445,
126.5936,21.05527,87.30606,
126.6934,21.07322,87.8268,
126.8859,21.2176,88.28139,
127.1058,21.39497,88.6774,
127.3343,21.58344,88.98399,
127.5234,21.73349,89.23576,
127.6925,21.86242,89.46685,
127.906,22.02795,89.66878,
128.1643,22.2195,89.85679,
128.3913,22.38594,90.01949,
128.5993,22.52211,90.11532,
128.7615,22.61992,90.2005,
128.8172,22.60802,90.2319,
128.7935,22.52558,90.24366,
128.7779,22.44524,90.26981,
128.7869,22.40657,90.31657,
128.8628,22.44121,90.40079,
128.9934,22.52835,90.48538,
129.149,22.64343,90.56522,
129.3003,22.74254,90.64442,
129.4396,22.83864,90.69142,
129.5625,22.90494,90.73313,
129.6895,22.97726,90.79002,
