pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.784792,4.354849,1.784792,0,4.507173,0,
1.784792,4.354849,1.784792,0,4.507173,0,
1.3536,1.842095,2.775241,1.550608,1.139496,3.161145,
1.322503,1.878607,2.732967,1.113604,1.678292,2.596075,
1.321812,1.872919,2.733932,1.1162,1.677189,2.597681,
1.321587,1.870732,2.734501,1.117981,1.673778,2.600462,
1.321685,1.869642,2.734959,1.119659,1.669675,2.603318,
1.321749,1.865985,2.736235,1.123631,1.656716,2.61127,
1.322364,1.86294,2.737624,1.125377,1.647629,2.615935,
1.322529,1.862505,2.737964,1.123837,1.645986,2.615479,
1.323018,1.861078,2.738863,1.036317,1.550769,2.597508,
1.343196,1.818305,2.77153,1.028327,1.546646,2.594231,
1.343412,1.815618,2.772659,1.019827,1.542736,2.590596,
1.343747,1.81328,2.77374,1.011166,1.538904,2.586802,
1.343772,1.810368,2.774786,1.002689,1.535584,2.582851,
1.344342,1.802587,2.778109,0.9772797,1.52634,2.571444,
1.344222,1.802893,2.777904,0.9770441,1.526639,2.571119,
1.344575,1.800563,2.778906,0.9688272,1.52516,2.566899,
1.344765,1.798224,2.779971,0.9607277,1.523829,2.562801,
1.345112,1.796268,2.780849,0.9532539,1.523416,2.558768,
1.345384,1.794118,2.781677,0.9464635,1.523101,2.555017,
1.345474,1.792017,2.78253,0.9400523,1.52304,2.551565,
1.345672,1.790217,2.783149,0.9345682,1.523466,2.548563,
1.345545,1.788375,2.783603,0.929253,1.523369,2.545909,
1.345559,1.786951,2.783944,0.9255525,1.52378,2.544177,
1.34541,1.785515,2.784391,0.9209871,1.524453,2.541852,
1.345122,1.784117,2.784445,0.9175873,1.524165,2.54038,
1.345328,1.782712,2.784729,0.9146805,1.524036,2.53912,
1.345069,1.781709,2.784824,0.9112953,1.524102,2.537745,
1.345163,1.780588,2.785131,0.9087929,1.524293,2.536909,
1.345021,1.779533,2.785102,0.9068859,1.524021,2.536485,
1.34462,1.778591,2.784926,0.9053543,1.523778,2.536371,
1.344171,1.777588,2.784616,0.9047025,1.523381,2.536895,
1.344013,1.776688,2.784566,0.9046136,1.522919,2.537734,
1.34348,1.775906,2.784286,0.9039714,1.522977,2.538189,
1.342816,1.775135,2.783728,0.9044192,1.522722,2.539197,
1.342073,1.774435,2.783084,0.9044837,1.523218,2.53969,
1.341577,1.77381,2.782376,0.9037763,1.523763,2.53981,
1.340548,1.773266,2.781494,0.9033455,1.524778,2.539517,
1.339715,1.772997,2.780428,0.9025908,1.526179,2.538906,
1.33856,1.772582,2.779328,0.9016121,1.527196,2.538107,
1.337442,1.772314,2.778312,0.9001369,1.528885,2.536928,
1.336271,1.772374,2.776856,0.8988834,1.530143,2.535757,
1.335034,1.772088,2.775509,0.8975148,1.531312,2.534452,
1.333801,1.772096,2.774182,0.8959107,1.532803,2.533113,
1.332507,1.772198,2.772736,0.8947503,1.533713,2.532246,
1.331286,1.772696,2.77121,0.89367,1.534838,2.531303,
1.32988,1.773111,2.769541,0.89253,1.535695,2.530393,
1.32844,1.773543,2.767856,0.8915552,1.53668,2.529519,
