user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.438913,1.498686,-3.876983,2.05678,0,0,0,0,
0.438913,1.498686,-3.876983,2.05678,0,0,0,0,
0.4385894,1.498617,-0.05453545,0.8290308,-0.4772509,0.6218286,-1.407593,0.6508987,
0.4308447,1.484107,-0.05451855,0.8293533,-0.4772107,0.6217806,-1.407845,0.6505361,
0.4263847,1.484773,-0.0544976,0.8289895,-0.4772357,0.6215472,-1.407763,0.6503358,
0.4252757,1.48478,-0.05447042,0.8290088,-0.4772262,0.6217818,-1.407725,0.6506255,
0.4248327,1.484704,-0.05446935,0.8289182,-0.4772244,0.6216712,-1.407757,0.6505947,
0.4229872,1.484958,-0.05450863,0.8289742,-0.4771886,0.6216474,-1.407709,0.6504886,
0.4218308,1.485242,-0.05445781,0.8288686,-0.4773227,0.6215503,-1.407622,0.6504879,
0.4219175,1.485277,-0.05436847,0.8288984,-0.4773137,0.6215801,-1.407632,0.6504159,
0.4216201,1.485419,-0.05444682,0.8291302,-0.4772365,0.6215427,-1.407455,0.6506641,
0.413011,1.498175,-0.05444169,0.8291824,-0.4772677,0.6216629,-1.407495,0.6506758,
0.4120592,1.497989,-0.05444616,0.8291996,-0.4772738,0.6216946,-1.407493,0.6506701,
0.411248,1.497917,-0.05446553,0.8292089,-0.4772982,0.6216719,-1.407572,0.6509788,
0.410395,1.497536,-0.05447438,0.8293941,-0.4773185,0.6219902,-1.407484,0.6509972,
0.4077512,1.497038,-0.05439496,0.8294957,-0.477045,0.6220853,-1.407437,0.6509748,
0.4075116,1.497391,-0.0543839,0.829437,-0.477172,0.6226354,-1.407408,0.6509659,
0.4063578,1.497724,-0.05437022,0.8294637,-0.4771778,0.6227095,-1.407399,0.65099,
0.4052558,1.497957,-0.05440086,0.829458,-0.476988,0.6227849,-1.407482,0.6508818,
0.4042083,1.498179,-0.05439231,0.8293688,-0.4769578,0.6225586,-1.407487,0.6508679,
0.4030812,1.49837,-0.05438298,0.8293746,-0.4770798,0.622612,-1.40748,0.6508687,
0.401928,1.498582,-0.05442426,0.8293748,-0.4769162,0.6226516,-1.407562,0.6507177,
0.4007436,1.49873,-0.05442902,0.8292973,-0.4770079,0.6225228,-1.407538,0.6507099,
0.399587,1.498814,-0.05442834,0.8292942,-0.477013,0.6226621,-1.407548,0.6507182,
0.3985653,1.498915,-0.05443445,0.8292315,-0.4771267,0.6227067,-1.407538,0.6506853,
0.3976548,1.499074,-0.05442712,0.8292282,-0.4769448,0.6229627,-1.407544,0.6506777,
0.3966218,1.499231,-0.05442289,0.8292241,-0.4769372,0.6232181,-1.407423,0.6507437,
0.3954755,1.4994,-0.05442026,0.8292568,-0.4774821,0.6233211,-1.407535,0.6506295,
0.3942621,1.499634,-0.05441746,0.8292034,-0.4775331,0.6234205,-1.407717,0.6506515,
0.3929758,1.500038,-0.05441675,0.82919,-0.4776041,0.623317,-1.407698,0.6505492,
0.3916996,1.50044,-0.0544138,0.8291295,-0.4776531,0.6233556,-1.407662,0.6505554,
0.3904042,1.500769,-0.05442351,0.829138,-0.477533,0.6234372,-1.407643,0.6505396,
