pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.616859,4.162019,1.616859,0,4.507173,0,
1.616859,4.162019,1.616859,0,4.507173,0,
2.578672,1.796015,3.791654,1.971937,2.182209,3.587416,
2.555973,1.817508,3.813286,1.971553,2.182385,3.576777,
2.542036,1.825834,3.801221,1.971598,2.182389,3.575697,
2.540092,1.826816,3.801559,1.971685,2.182219,3.574288,
2.53819,1.82796,3.801256,1.971697,2.182174,3.572999,
2.532488,1.831542,3.802006,1.971612,2.182326,3.569932,
2.528651,1.833884,3.79995,1.971582,2.182294,3.570644,
2.528617,1.834026,3.786735,1.971712,2.182459,3.59366,
2.496791,1.852691,3.751313,1.971802,2.182474,3.593211,
2.496045,1.853377,3.747758,1.971834,2.18247,3.591669,
2.495317,1.854018,3.744093,1.971863,2.18244,3.590881,
2.49476,1.854602,3.740403,1.97189,2.182436,3.588902,
2.494178,1.855114,3.73632,1.971916,2.182463,3.587246,
2.493613,1.855482,3.730671,1.971862,2.182424,3.584839,
2.493164,1.855784,3.724566,1.971875,2.182551,3.581415,
2.492754,1.856123,3.718177,1.971693,2.182557,3.577568,
2.492289,1.856538,3.711602,1.971725,2.182534,3.573533,
2.491843,1.856901,3.704646,1.971736,2.182539,3.569281,
2.491472,1.857183,3.696851,1.971736,2.182695,3.563896,
2.491171,1.857442,3.689921,1.971767,2.182693,3.559193,
2.490722,1.857823,3.68113,1.971826,2.182753,3.553169,
2.490438,1.858126,3.672735,1.971838,2.182546,3.546707,
2.490273,1.858309,3.664228,1.971913,2.18255,3.540266,
2.489877,1.858641,3.654419,1.971916,2.182452,3.533033,
2.489676,1.858911,3.645252,1.971935,2.182449,3.525633,
2.489613,1.859154,3.635644,1.972035,2.182482,3.517939,
2.489304,1.859469,3.625323,1.971979,2.18249,3.51008,
2.489144,1.859814,3.615035,1.971997,2.182394,3.501672,
2.489265,1.859924,3.6055,1.97212,2.182377,3.493427,
2.488507,1.860283,3.594885,1.971548,2.182524,3.484736,
2.488507,1.860661,3.584461,1.971531,2.182523,3.475971,
2.488607,1.860902,3.574831,1.971507,2.18254,3.467523,
2.488453,1.861208,3.564295,1.971334,2.182523,3.459293,
2.488918,1.861457,3.553615,1.971498,2.182533,3.450087,
2.489088,1.861679,3.5438,1.971539,2.182529,3.441198,
2.489472,1.861467,3.533304,1.971669,2.182326,3.432676,
2.489743,1.861447,3.523873,1.97164,2.182326,3.423738,
2.489995,1.861619,3.514422,1.971599,2.182404,3.415239,
2.490498,1.861563,3.505406,1.971626,2.18247,3.407422,
2.490726,1.861517,3.496917,1.971549,2.182471,3.398868,
2.490936,1.861504,3.487895,1.971752,2.182465,3.390442,
2.491184,1.861449,3.47876,1.97173,2.182484,3.383223,
2.491433,1.861443,3.469787,1.971746,2.182374,3.374461,
2.491788,1.861371,3.46119,1.971597,2.182492,3.364087,
2.491826,1.861513,3.452024,1.971619,2.182402,3.355707,
2.492021,1.861601,3.443514,1.971637,2.182379,3.347537,
2.492214,1.861642,3.435123,1.971559,2.1824,3.338584,
2.492343,1.861768,3.427099,1.971666,2.18246,3.330777,
