chair to collider angle,table to collider angle,audience to collider angle,


69.03032,108.5389,69.03032,
69.03032,108.5389,69.03032,
20.56067,146.6753,70.59626,
50.44291,134.8483,110.4832,
47.72205,136.6446,107.9275,
47.25362,136.9442,107.4731,
46.77131,137.2722,106.9829,
45.31423,138.3315,105.6031,
44.26736,139.1252,104.6267,
44.24675,139.1797,104.9757,
34.43393,141.532,95.63439,
34.22402,141.6669,95.38568,
34.03355,141.7988,95.13271,
33.85419,141.9487,94.90668,
33.67772,142.0829,94.67868,
33.49853,142.2385,94.403,
33.30261,142.3727,94.13315,
33.09662,142.5028,93.8494,
32.88667,142.6281,93.55161,
32.6985,142.7764,93.25824,
32.51746,142.9254,92.96223,
32.31618,143.0403,92.65368,
32.1161,143.1545,92.3203,
31.91916,143.2346,92.0043,
31.71796,143.3294,91.68671,
31.50109,143.4038,91.33559,
31.28477,143.4591,90.99258,
31.05514,143.494,90.64219,
30.80801,143.4927,90.27111,
30.56661,143.5103,89.90751,
30.3131,143.5283,89.52892,
30.05836,143.5539,89.14512,
29.83607,143.6122,88.78823,
29.61251,143.6866,88.42715,
29.40691,143.7541,88.06603,
29.18435,143.7942,87.69918,
28.93661,143.8004,87.32627,
28.6696,143.7724,86.92585,
28.39799,143.7531,86.53824,
28.13739,143.7126,86.16114,
27.88398,143.6957,85.75867,
27.64076,143.6639,85.38566,
27.38998,143.6145,85.00175,
27.13878,143.5651,84.59184,
26.88522,143.5463,84.20636,
26.63226,143.5435,83.86091,
26.37094,143.5517,83.45531,
26.11346,143.6169,83.02986,
25.87438,143.6601,82.64272,
25.60723,143.6678,82.21105,
25.34993,143.6663,81.79122,
25.08403,143.6455,81.33858,
24.80431,143.6254,80.8903,
24.52293,143.6322,80.42822,
24.26332,143.676,79.96812,
24.00955,143.7252,79.51083,
23.76237,143.7751,79.05132,
23.50748,143.8019,78.59286,
23.24147,143.7969,78.14606,
22.96693,143.7952,77.64217,
22.68985,143.7791,77.22165,
22.39652,143.7344,76.77967,
22.11806,143.6973,76.32731,
21.83066,143.6373,75.90983,
21.52812,143.5422,75.48518,
21.2281,143.4447,75.03783,
20.9217,143.3434,74.62408,
20.63675,143.2451,74.24025,
20.38032,143.1579,73.8733,
20.12896,143.0825,73.52193,
19.91139,143.0428,73.19473,
19.69098,143.01,72.83125,
19.50479,143.0047,72.51664,
19.31469,142.9926,72.19894,
19.15401,142.9832,71.90898,
18.97615,142.9441,71.62214,
18.80287,142.9055,71.35495,
18.6036,142.8285,71.08028,
18.44002,142.7808,70.83255,
18.25655,142.6884,70.59207,
18.09426,142.6141,70.35991,
17.93435,142.5327,70.15299,
17.78989,142.4606,69.96841,
17.6608,142.3969,69.78966,
17.50912,142.3089,69.60709,
17.34452,142.1914,69.43351,
17.158,142.0854,69.21578,
16.98741,142.0053,68.99596,
16.80882,141.9229,68.76067,
16.6456,141.8556,68.53872,
16.47564,141.7829,68.31298,
16.29962,141.6946,68.10076,
16.13074,141.6005,67.89832,
15.97131,141.5226,67.69566,
15.83496,141.4664,67.50174,
15.67903,141.3707,67.31824,
15.56021,141.3017,67.16612,
15.44347,141.2119,67.04259,
15.33561,141.1305,66.94639,
