pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.519854,4.067124,1.519854,0,4.507173,0,
1.519854,4.067124,1.519854,0,4.507173,0,
1.556636,1.213343,2.024238,1.568522,1.140824,2.233764,
1.55668,1.202476,2.015195,1.186071,1.150155,2.047257,
1.556082,1.203176,2.01595,1.186831,1.14994,2.049882,
1.556112,1.203172,2.017552,1.187614,1.149544,2.052397,
1.555931,1.203264,2.019552,1.188386,1.14929,2.055261,
1.55561,1.203515,2.024828,1.190475,1.148324,2.062735,
1.555847,1.203364,2.02883,1.191582,1.147696,2.067608,
1.555762,1.203403,2.02841,1.191452,1.147639,2.067071,
1.556959,1.203597,2.039246,1.201482,1.141194,2.08056,
1.556489,1.203687,2.040608,1.202166,1.14098,2.080752,
1.556658,1.203741,2.040431,1.203254,1.140691,2.081286,
1.556825,1.203733,2.040203,1.204269,1.140334,2.081688,
1.556682,1.203968,2.039114,1.20704,1.139554,2.082651,
1.556912,1.204037,2.038851,1.209296,1.13878,2.08389,
1.556758,1.204094,2.038709,1.20934,1.138663,2.083771,
1.556846,1.204043,2.038867,1.210593,1.13799,2.084566,
1.556659,1.204286,2.038862,1.211839,1.137422,2.08537,
1.556961,1.204409,2.038926,1.213024,1.136764,2.086053,
1.55677,1.204525,2.039035,1.214187,1.136127,2.087056,
1.556939,1.204623,2.039337,1.215486,1.135403,2.087821,
1.556757,1.204956,2.039426,1.216841,1.134824,2.088958,
1.556552,1.205079,2.038986,1.218017,1.134138,2.089252,
1.556135,1.205361,2.03959,1.218958,1.133432,2.090369,
1.556068,1.205527,2.040079,1.219959,1.13265,2.09146,
1.555891,1.205657,2.040833,1.220994,1.131956,2.092843,
1.555769,1.205828,2.041782,1.222013,1.131187,2.094407,
1.555278,1.205938,2.042478,1.223013,1.130453,2.095669,
1.555186,1.206559,2.043384,1.224152,1.129708,2.096881,
1.555028,1.206807,2.044028,1.225324,1.128968,2.098064,
1.555012,1.206964,2.044371,1.226682,1.128047,2.099006,
1.554887,1.207303,2.045019,1.227804,1.127347,2.100125,
1.554623,1.207635,2.045749,1.229025,1.126565,2.101259,
1.554603,1.207906,2.046423,1.23011,1.125822,2.102295,
1.554561,1.208107,2.047629,1.231304,1.125167,2.104014,
1.554605,1.208345,2.048405,1.232727,1.124312,2.105367,
1.554445,1.208609,2.049338,1.234177,1.123422,2.1069,
1.554492,1.208696,2.050174,1.235752,1.122471,2.108323,
1.554387,1.208926,2.050831,1.237267,1.121492,2.109554,
1.554518,1.208962,2.051881,1.238737,1.120445,2.110946,
1.554799,1.209067,2.05234,1.240479,1.119259,2.111777,
1.55517,1.209085,2.052871,1.242263,1.118046,2.112795,
1.555782,1.208934,2.053718,1.244132,1.11674,2.114104,
1.556556,1.208618,2.054444,1.246104,1.115321,2.11528,
1.557513,1.208096,2.054759,1.2481,1.113858,2.116153,
1.558597,1.207591,2.055116,1.25059,1.111955,2.116978,
1.559635,1.206883,2.055539,1.25295,1.109948,2.117574,
1.560807,1.206273,2.055707,1.255271,1.107888,2.117658,
1.562041,1.205679,2.056072,1.257635,1.105787,2.117941,
