chair to collider angle,table to collider angle,audience to collider angle,


86.57857,46.04517,86.57857,
86.57857,46.04517,86.57857,
74.0779,121.4095,127.4916,
77.24274,117.0293,131.8761,
77.42923,116.8672,132.1472,
77.46577,116.8465,132.2285,
77.50217,116.844,132.3167,
77.60873,116.7845,132.5447,
77.68895,116.6678,132.6976,
77.70694,116.6656,132.7077,
77.76553,116.628,132.702,
79.97802,114.3694,135.0591,
80.1305,114.238,135.2075,
80.27489,114.1136,135.341,
80.67873,113.7173,135.732,
80.92416,113.4403,135.9709,
80.92035,113.4448,135.9705,
81.02571,113.3385,136.0774,
81.14092,113.2289,136.1923,
81.23265,113.1249,136.2868,
81.30722,113.0474,136.3718,
81.38662,112.9539,136.4413,
81.46029,112.8674,136.5346,
81.527,112.7945,136.6061,
81.5984,112.7392,136.6669,
81.66856,112.6724,136.728,
81.723,112.5954,136.7701,
81.78505,112.5246,136.8158,
81.86008,112.4731,136.8811,
81.95638,112.3947,136.9553,
82.05787,112.3048,137.0401,
82.13736,112.1916,137.1078,
82.24361,112.0769,137.189,
82.38116,111.9394,137.3028,
82.5601,111.7882,137.4518,
82.74824,111.6424,137.6129,
82.96288,111.458,137.8004,
83.20052,111.288,138.0078,
83.43905,111.1003,138.226,
83.72417,110.853,138.4886,
84.05234,110.5753,138.7826,
84.4354,110.2443,139.127,
84.88016,109.8768,139.5342,
85.36594,109.4459,139.9799,
85.90913,108.9548,140.4756,
86.59383,108.3453,141.106,
87.34657,107.6898,141.8024,
88.22825,106.9955,142.6235,
89.19578,106.2652,143.5153,
90.20776,105.5238,144.4491,
91.26794,104.7479,145.4166,
92.39343,103.9377,146.4495,
93.47466,103.1424,147.4264,
94.6509,102.2738,148.4887,
95.8036,101.3935,149.5091,
96.94097,100.4824,150.4915,
98.08804,99.5372,151.4582,
99.19379,98.61623,152.3728,
100.2705,97.67936,153.2217,
101.3344,96.7403,154.0476,
102.352,95.77875,154.7906,
103.3168,94.7892,155.4337,
104.2577,93.80144,156.0257,
105.1827,92.84303,156.5616,
106.0803,91.89472,157.0405,
106.9829,90.95335,157.4697,
107.8684,90.02979,157.8379,
108.7616,89.17661,158.1966,
109.6636,88.36694,158.5312,
110.5353,87.6621,158.8554,
111.3241,87.02007,159.1222,
112.058,86.40988,159.3151,
112.6814,85.89095,159.4327,
113.2693,85.34893,159.4769,
113.7429,84.8783,159.4537,
114.2013,84.44835,159.4298,
114.639,84.09454,159.4139,
115.0242,83.83725,159.4468,
115.351,83.73248,159.5503,
115.6587,83.65372,159.6531,
115.8838,83.71947,159.7958,
116.1466,83.70535,159.8938,
116.3507,83.73545,159.9933,
116.5462,83.73563,160.0725,
116.7281,83.73117,160.0977,
116.868,83.66733,160.0834,
117.0812,83.54047,160.0527,
117.3467,83.32852,159.9859,
117.6514,83.0929,159.9136,
118.0382,82.72004,159.7709,
118.4455,82.31326,159.6066,
118.8672,81.85734,159.387,
119.2933,81.31471,159.0838,
119.7288,80.76048,158.7688,
120.2062,80.12077,158.3753,
120.6702,79.46298,157.9424,
121.1508,78.72778,157.4308,
121.6265,77.96355,156.8805,
122.1139,77.18492,156.3015,
122.5923,76.37299,155.6747,
