user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.07066002,1.502181,-3.876983,2.05678,0,0,0,0,
0.07066002,1.502181,-3.876983,2.05678,0,0,0,0,
0.07059027,1.502209,-0.0560959,0.8289571,0.8913444,0.5699694,2.009117,0.9758192,
0.09167774,1.503002,-0.05599692,0.8288887,0.8916128,0.5694799,2.022266,0.9795371,
0.09304713,1.503422,-0.05609617,0.8288724,0.8915552,0.5696073,2.024156,0.979721,
0.09314399,1.503547,-0.05616218,0.8288851,0.8914803,0.5696006,2.025713,0.9797795,
0.09318995,1.503608,-0.05618697,0.8291597,0.8913515,0.5697062,2.027624,0.979915,
0.0935569,1.503582,-0.05630016,0.8291962,0.8913691,0.5695884,2.032872,0.979775,
0.09372565,1.503795,-0.05620959,0.8291063,0.8913221,0.5698082,2.03686,0.9795899,
0.09366095,1.503732,-0.05626726,0.8291061,0.8912699,0.5697997,2.036572,0.9800899,
0.0936951,1.503756,-0.05597869,0.8290346,0.892059,0.5693924,2.047733,0.9785029,
0.09139532,1.502527,-0.05597398,0.8290486,0.8918811,0.569365,2.047197,0.978983,
0.09116091,1.502472,-0.05595961,0.8289759,0.8919185,0.5692656,2.046971,0.9794172,
0.09094554,1.5023,-0.05599377,0.82886,0.8920085,0.5689328,2.046678,0.979607,
0.0902904,1.502246,-0.05606455,0.8291008,0.8920141,0.569052,2.045407,0.9810102,
0.08985043,1.502158,-0.05620816,0.8291211,0.8920149,0.5688467,2.044943,0.9815314,
0.08993459,1.502162,-0.05620062,0.8292334,0.8920214,0.5689201,2.044868,0.9815654,
0.089679,1.502007,-0.0561884,0.8292089,0.8919009,0.5688972,2.0449,0.9817101,
0.08949468,1.501895,-0.05622497,0.829232,0.8919226,0.5688858,2.044803,0.9819909,
0.0893504,1.501851,-0.05621964,0.8289037,0.8919802,0.568604,2.044807,0.9822018,
0.08928949,1.501781,-0.05614319,0.828958,0.8919535,0.5687039,2.04499,0.9826857,
0.08912788,1.501739,-0.05586699,0.8289099,0.8923024,0.5687392,2.045263,0.9830102,
0.08876504,1.501692,-0.05606228,0.8290842,0.8921479,0.5688028,2.045129,0.9838104,
0.08865118,1.501595,-0.05605468,0.8291571,0.8921355,0.5689776,2.044648,0.9841045,
0.08852897,1.501338,-0.05588871,0.8291256,0.8921413,0.5689428,2.045338,0.9844234,
0.08842123,1.501198,-0.05584496,0.8288648,0.8920704,0.5688322,2.045955,0.9847764,
0.0882496,1.501201,-0.05598626,0.829004,0.8920654,0.5689051,2.04671,0.9851345,
0.08808967,1.501239,-0.05601212,0.8290312,0.8919108,0.5688758,2.047675,0.9853444,
0.08788623,1.501054,-0.05601773,0.8293014,0.8918133,0.5691228,2.048393,0.985759,
0.08769681,1.500977,-0.05612397,0.8290877,0.8918607,0.5687602,2.049113,0.9854817,
0.08753265,1.500895,-0.05613375,0.8290939,0.8918988,0.5687451,2.04969,0.9854949,
0.08722569,1.500712,-0.05640361,0.8289068,0.8916744,0.5685921,2.04986,0.9854602,
0.08704063,1.500609,-0.05643979,0.8288507,0.8916783,0.5683231,2.050416,0.9853386,
