user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.03574886,1.661837,-3.876983,2.05678,0,0,0,0,
-0.03574886,1.661837,-3.876983,2.05678,0,0,0,0,
-0.03561162,1.661626,-1.447176,0.8751725,0.8259894,0.5617301,-2.135305,0.890658,
0.06914413,1.614786,-1.446696,0.875387,0.8265475,0.5619791,-2.134758,0.8908741,
0.06777057,1.614007,-1.446671,0.8753836,0.8265872,0.5617864,-2.134791,0.8909025,
0.06749263,1.61386,-1.446668,0.87521,0.8266212,0.5618107,-2.134817,0.8906827,
0.06720553,1.613718,-1.446767,0.8752246,0.8266015,0.5616937,-2.134915,0.8906912,
0.0667948,1.613644,-1.446924,0.8752006,0.8263052,0.5615268,-2.135128,0.8906581,
0.0664428,1.613575,-1.446919,0.8752216,0.8262962,0.5614979,-2.135135,0.890649,
0.06605804,1.613551,-1.446922,0.8752033,0.8261962,0.5616584,-2.135169,0.8906345,
0.06565852,1.613596,-1.44682,0.8752284,0.8264631,0.5614729,-2.135024,0.8906139,
0.06528215,1.613597,-1.446819,0.8751858,0.8264745,0.5614531,-2.13502,0.8906337,
0.06488045,1.613674,-1.447131,0.8753633,0.8264102,0.56129,-2.135216,0.8908902,
0.05529077,1.615113,-1.447098,0.8754567,0.8264056,0.5613699,-2.135216,0.8909463,
0.05439422,1.615182,-1.44706,0.8757342,0.826414,0.5613821,-2.135161,0.8912271,
0.05402955,1.615124,-1.447006,0.8757759,0.8263876,0.5616894,-2.135147,0.8912553,
0.05306628,1.615022,-1.447079,0.875807,0.8264649,0.5616825,-2.135228,0.8912592,
0.05189841,1.614923,-1.446992,0.8758057,0.826416,0.5619373,-2.135062,0.8913844,
0.05038759,1.61473,-1.447111,0.8752209,0.8265377,0.5619683,-2.135229,0.8908526,
0.04864597,1.614906,-1.447091,0.8751529,0.8262606,0.5617239,-2.135275,0.8907577,
0.0485053,1.615023,-1.447122,0.8749641,0.8261524,0.561646,-2.135294,0.8905981,
0.04756149,1.615244,-1.447131,0.8749403,0.8261542,0.5616429,-2.135313,0.890558,
0.0468818,1.615557,-1.447027,0.8749728,0.8263181,0.5615034,-2.135187,0.8905936,
0.04586378,1.615844,-1.447008,0.8750248,0.8263297,0.5614796,-2.135174,0.8906209,
0.04475145,1.616183,-1.447021,0.8750784,0.8262552,0.5616035,-2.135217,0.8906105,
0.04348981,1.616613,-1.447062,0.8750689,0.8262835,0.5614645,-2.135211,0.8906637,
0.04212096,1.617012,-1.447107,0.8752253,0.8262073,0.5617785,-2.135178,0.8908094,
0.04059284,1.617605,-1.447124,0.8752565,0.8262266,0.5617826,-2.135247,0.8908391,
0.03882961,1.61798,-1.447095,0.8752735,0.8262676,0.5615952,-2.135215,0.8908232,
0.0370908,1.618428,-1.44706,0.8755316,0.8262051,0.5620115,-2.13518,0.8910326,
0.0350686,1.619143,-1.447003,0.8755145,0.8262177,0.5620396,-2.135166,0.891037,
0.03315745,1.61966,-1.446961,0.8755301,0.8261977,0.5620444,-2.135148,0.8909954,
0.0308078,1.620207,-1.446968,0.8753986,0.8262073,0.5620813,-2.135163,0.8909338,
