pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.597676,4.232779,1.597676,0,4.507173,0,
1.597676,4.232779,1.597676,0,4.507173,0,
1.878192,2.329929,1.412201,1.868208,1.9504,1.421289,
1.909357,2.325949,1.426511,1.411467,2.279934,1.425212,
1.920289,2.31817,1.423271,1.408609,2.280121,1.427,
1.923534,2.316057,1.422866,1.408625,2.280377,1.4287,
1.929438,2.313692,1.422348,1.410861,2.280468,1.430092,
1.937364,2.302052,1.414173,1.413651,2.280606,1.433528,
1.939233,2.29423,1.408772,1.411348,2.279682,1.434528,
1.939323,2.293223,1.407586,1.411505,2.279274,1.434089,
1.936152,2.289712,1.404273,1.410581,2.273753,1.436069,
1.971354,2.226561,1.346216,1.408768,2.275385,1.437454,
1.972687,2.222661,1.342123,1.40801,2.276113,1.438115,
1.975707,2.22081,1.339934,1.409365,2.277504,1.439315,
1.97698,2.216035,1.334132,1.406624,2.282325,1.443769,
1.97795,2.21329,1.330833,1.404394,2.287094,1.448365,
1.980113,2.213607,1.331307,1.406321,2.287997,1.449333,
1.980371,2.212242,1.329669,1.405177,2.290338,1.451352,
1.977432,2.211267,1.328681,1.401053,2.29343,1.454433,
1.977358,2.210238,1.327119,1.400001,2.29645,1.456974,
1.979816,2.209318,1.325704,1.401251,2.299285,1.459375,
1.980433,2.208618,1.324331,1.400922,2.302495,1.461925,
1.982598,2.207793,1.32267,1.402127,2.305751,1.46452,
1.98274,2.206964,1.321495,1.401316,2.308833,1.467007,
1.979331,2.206409,1.320928,1.397701,2.31225,1.470236,
1.981611,2.205943,1.320071,1.399321,2.315428,1.472903,
1.981671,2.205326,1.319416,1.399029,2.318986,1.476163,
1.982201,2.204864,1.318826,1.399437,2.322261,1.478987,
1.98444,2.204229,1.317628,1.401776,2.325592,1.481777,
1.98442,2.203617,1.316759,1.401879,2.328899,1.484513,
1.98498,2.203084,1.316289,1.402954,2.332168,1.48759,
1.987141,2.202505,1.315688,1.405583,2.335235,1.490395,
1.987064,2.20182,1.314842,1.406318,2.338518,1.493524,
1.987968,2.200924,1.313838,1.40767,2.341531,1.496288,
1.98998,2.199968,1.312567,1.410701,2.344518,1.499069,
1.990061,2.198943,1.311468,1.411734,2.347466,1.502165,
1.990495,2.197793,1.310442,1.413018,2.350302,1.505199,
1.992454,2.196854,1.309492,1.41627,2.352926,1.508099,
1.992679,2.195433,1.308241,1.417913,2.355307,1.511056,
1.988953,2.193981,1.306903,1.415706,2.357752,1.513926,
1.99115,2.192379,1.305494,1.419532,2.359663,1.516415,
1.991416,2.190725,1.304081,1.421502,2.361243,1.518399,
1.988322,2.188949,1.302941,1.420627,2.362837,1.521,
1.990649,2.187062,1.300936,1.425172,2.363927,1.522484,
1.99088,2.185075,1.298944,1.427932,2.364874,1.524036,
1.987896,2.183002,1.296739,1.42776,2.365519,1.525017,
1.990332,2.18091,1.294659,1.433164,2.365861,1.525961,
1.990433,2.17891,1.292497,1.436682,2.366015,1.526565,
1.991149,2.176849,1.290473,1.441147,2.366064,1.527214,
1.993359,2.174769,1.288228,1.447266,2.365857,1.527609,
