pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.716373,4.415492,1.716373,0,4.507173,0,
1.716373,4.415492,1.716373,0,4.507173,0,
1.808933,2.361405,1.482343,1.816776,1.942077,1.31047,
1.766655,2.420331,1.463427,1.147685,2.575022,1.62197,
1.766079,2.420263,1.455511,1.147876,2.575615,1.612939,
1.765697,2.420198,1.447956,1.147829,2.576051,1.603975,
1.765873,2.420132,1.438767,1.148364,2.576469,1.594195,
1.765628,2.420073,1.430505,1.14868,2.576734,1.584889,
1.765289,2.420078,1.421501,1.148921,2.577201,1.575447,
1.765499,2.420123,1.41188,1.149542,2.57778,1.565947,
1.765232,2.420146,1.402341,1.149436,2.578378,1.557056,
1.764422,2.420032,1.39307,1.149098,2.578783,1.54817,
1.764055,2.420254,1.246858,1.155955,2.584175,1.419317,
1.760866,2.42221,1.233384,1.156888,2.584423,1.405846,
1.760362,2.422747,1.227131,1.157346,2.584519,1.399519,
1.759675,2.423129,1.221126,1.157418,2.584719,1.393462,
1.759828,2.423325,1.215038,1.158331,2.585081,1.386817,
1.758167,2.424102,1.199338,1.159246,2.585987,1.368834,
1.758343,2.424328,1.200468,1.15965,2.58597,1.368041,
1.757969,2.424664,1.196451,1.160279,2.586332,1.361233,
1.75793,2.424902,1.192942,1.161328,2.586726,1.354549,
1.757813,2.425375,1.189729,1.162371,2.587072,1.347507,
1.757399,2.425689,1.186503,1.163076,2.587485,1.340828,
1.757068,2.425979,1.183746,1.163867,2.587812,1.333899,
1.756801,2.426265,1.181596,1.164648,2.588192,1.327439,
1.756337,2.42663,1.179509,1.165282,2.588566,1.321069,
1.75546,2.427016,1.178617,1.165473,2.588934,1.315361,
1.755333,2.427351,1.177524,1.166276,2.589228,1.309716,
1.75497,2.427664,1.177002,1.166987,2.589589,1.304589,
1.75459,2.427928,1.176936,1.167606,2.589905,1.299979,
1.754591,2.428252,1.177347,1.168571,2.590129,1.295839,
1.754156,2.428469,1.177904,1.168996,2.590378,1.292084,
1.753646,2.42875,1.179426,1.169436,2.590626,1.289553,
1.753652,2.429129,1.181087,1.170416,2.591087,1.2873,
1.753291,2.429419,1.183245,1.17101,2.591227,1.285433,
1.752851,2.429763,1.186535,1.171421,2.591455,1.284844,
1.752907,2.429906,1.191293,1.172274,2.591647,1.285856,
1.752654,2.430281,1.195707,1.173039,2.5919,1.286165,
1.752219,2.430381,1.201355,1.173326,2.592086,1.287913,
1.752399,2.430732,1.208101,1.174383,2.59226,1.29039,
1.752071,2.430949,1.214952,1.174808,2.592475,1.293124,
1.751256,2.43119,1.223028,1.175438,2.592907,1.297177,
1.751294,2.431254,1.231531,1.176036,2.593182,1.301716,
1.75102,2.431369,1.239472,1.176182,2.593421,1.305571,
1.750323,2.431566,1.248265,1.17613,2.593822,1.310588,
1.750228,2.43172,1.256723,1.176659,2.594065,1.315319,
1.749897,2.431813,1.265891,1.176783,2.594371,1.32098,
1.74928,2.431935,1.275401,1.176745,2.594702,1.327003,
1.749068,2.432074,1.285362,1.177275,2.594992,1.333592,
1.748659,2.432286,1.296211,1.177307,2.595328,1.340875,
