user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.4457436,1.641827,-3.876983,2.05678,0,0,0,0,
0.4457436,1.641827,-3.876983,2.05678,0,0,0,0,
0.4454066,1.642061,-1.446345,0.8724588,1.715354,0.4883411,-0.8719932,0.9703405,
0.4969307,1.600014,-1.446724,0.8720603,1.715449,0.4883668,-0.7878165,0.9487954,
0.496982,1.598989,-1.446773,0.8720232,1.715437,0.4883642,-0.7763252,0.9478951,
0.4970499,1.598709,-1.446743,0.8720028,1.715329,0.488426,-0.7647716,0.9471029,
0.4970266,1.598549,-1.446753,0.8719665,1.715617,0.4883566,-0.7522755,0.9480402,
0.4971019,1.598266,-1.446683,0.8720887,1.715605,0.4883749,-0.7402523,0.9484612,
0.4971569,1.597976,-1.446696,0.8720678,1.715559,0.4885626,-0.7278351,0.9497209,
0.4972462,1.597689,-1.446732,0.8720503,1.715766,0.4883156,-0.7151461,0.9518404,
0.497349,1.597364,-1.446734,0.8721635,1.715768,0.4883292,-0.7027776,0.9546435,
0.4973516,1.597077,-1.446632,0.8721446,1.715393,0.4886684,-0.6906127,0.9571669,
0.4974413,1.596706,-1.446655,0.8723922,1.715477,0.4891541,-0.5013024,1.020047,
0.5000233,1.592958,-1.446625,0.8723952,1.715465,0.4888589,-0.4807568,1.02578,
0.500626,1.592577,-1.446584,0.8722401,1.715438,0.4888527,-0.4707045,1.028327,
0.5010831,1.59236,-1.446588,0.8722409,1.715222,0.4888656,-0.4609901,1.030612,
0.5014335,1.592109,-1.446334,0.8722308,1.715828,0.4888532,-0.4505395,1.031718,
0.5023433,1.591465,-1.446298,0.872206,1.715389,0.4892306,-0.4211372,1.034634,
0.5024207,1.591441,-1.446527,0.8721876,1.715287,0.4889758,-0.4209184,1.0322,
0.5027968,1.59118,-1.446525,0.8722316,1.71528,0.4890108,-0.4104566,1.030373,
0.503014,1.590917,-1.446538,0.872211,1.71539,0.4889717,-0.4000721,1.027845,
0.5034007,1.590443,-1.446703,0.8722358,1.715417,0.4887476,-0.3892398,1.024819,
0.5037934,1.590104,-1.446712,0.8721626,1.715408,0.4887607,-0.3783724,1.022006,
0.5042218,1.589694,-1.446718,0.8721445,1.715494,0.4885952,-0.3673623,1.018319,
0.5046327,1.589324,-1.446614,0.8721199,1.715614,0.4885314,-0.3564822,1.014374,
0.5050789,1.588975,-1.446611,0.8721853,1.715596,0.4885383,-0.3456208,1.010666,
0.505496,1.588596,-1.446597,0.8720976,1.71535,0.4887207,-0.3352638,1.006091,
0.5059056,1.588381,-1.446605,0.8720802,1.715446,0.4885659,-0.3248917,1.002102,
0.5062464,1.588048,-1.446594,0.8722352,1.71544,0.4885855,-0.3146196,0.9979585,
0.5065413,1.587741,-1.446594,0.8722632,1.715409,0.4886854,-0.3044462,0.9938719,
0.5069012,1.58748,-1.44664,0.8722697,1.715575,0.4884899,-0.2943268,0.9900279,
0.5072868,1.58714,-1.446545,0.8723524,1.715554,0.4884944,-0.2841728,0.986335,
0.507694,1.586776,-1.44653,0.8723501,1.715531,0.4885473,-0.2741275,0.9830875,
0.5080403,1.586334,-1.446567,0.8723577,1.715757,0.4883616,-0.2643934,0.9797535,
