pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.659372,3.592651,1.659372,0,4.507173,0,
1.659372,3.592651,1.659372,0,4.507173,0,
1.718458,1.856206,1.443559,1.009092,1.947914,1.812818,
1.701806,1.870154,1.4641,1.391156,1.981183,1.468297,
1.700496,1.867026,1.462924,1.391093,1.981572,1.482635,
1.700399,1.866499,1.462258,1.390666,1.981864,1.496649,
1.700219,1.865845,1.461916,1.385859,1.979562,1.510707,
1.699962,1.865282,1.463538,1.385457,1.979892,1.526636,
1.699509,1.863444,1.464731,1.379218,1.978211,1.573792,
1.699921,1.863745,1.462562,1.379061,1.978346,1.575003,
1.699826,1.863097,1.461827,1.378053,1.978745,1.591827,
1.700038,1.862687,1.38896,1.287426,1.94523,1.815879,
1.703287,1.85833,1.36459,1.286761,1.946157,1.830905,
1.703545,1.85811,1.354015,1.286828,1.946765,1.836865,
1.703721,1.857972,1.343331,1.286561,1.947176,1.842071,
1.704014,1.857412,1.315747,1.287413,1.948756,1.860597,
1.704179,1.857062,1.293389,1.288024,1.949768,1.866346,
1.704072,1.857136,1.289965,1.288276,1.949832,1.861844,
1.703969,1.856933,1.280064,1.288548,1.950309,1.865,
1.704053,1.856776,1.270823,1.289583,1.950997,1.867505,
1.703859,1.856459,1.260816,1.290466,1.951605,1.868342,
1.703843,1.856315,1.251553,1.290803,1.951984,1.868953,
1.703875,1.856021,1.24386,1.291708,1.952273,1.870807,
1.703929,1.856008,1.234655,1.29307,1.952692,1.86927,
1.703919,1.855875,1.226213,1.293995,1.953079,1.867729,
1.703861,1.855728,1.218962,1.295392,1.953261,1.865932,
1.703662,1.855341,1.209954,1.296676,1.953498,1.861759,
1.703611,1.855249,1.202605,1.297483,1.953631,1.85815,
1.703614,1.855149,1.19556,1.299006,1.953886,1.854528,
1.703733,1.855081,1.187893,1.30043,1.954059,1.848411,
1.703381,1.854827,1.181082,1.30161,1.953879,1.841858,
1.703301,1.854857,1.17523,1.303057,1.954086,1.834833,
1.703275,1.854691,1.168669,1.304645,1.95422,1.82629,
1.703597,1.85502,1.164004,1.306031,1.954406,1.81933,
1.703625,1.855084,1.158491,1.30788,1.954463,1.808813,
1.703873,1.85519,1.152472,1.309556,1.954652,1.797161,
1.70371,1.855247,1.148084,1.310927,1.954806,1.786958,
1.703939,1.855327,1.142673,1.312705,1.955145,1.772151,
1.704023,1.855569,1.13886,1.314495,1.955431,1.759588,
1.704101,1.855744,1.135625,1.315931,1.955512,1.745715,
1.704203,1.855944,1.132929,1.317728,1.955677,1.730212,
1.704083,1.855976,1.130894,1.319531,1.956069,1.715342,
1.704537,1.856376,1.129058,1.322547,1.957044,1.697896,
1.704694,1.856572,1.12712,1.324889,1.957149,1.678921,
1.704563,1.856607,1.125651,1.326912,1.957428,1.659451,
1.704892,1.857018,1.124952,1.32916,1.957399,1.639462,
1.705145,1.8573,1.125732,1.331174,1.957363,1.619322,
1.705193,1.857687,1.127783,1.333484,1.957929,1.600775,
1.7053,1.858031,1.131151,1.33575,1.957619,1.581839,
1.705477,1.858517,1.135606,1.337784,1.957514,1.563502,
