chair to collider angle,table to collider angle,audience to collider angle,


95.10387,17.8889,95.10387,
95.10387,17.8889,95.10387,
117.4298,58.11758,24.46677,
114.632,62.83309,23.35794,
113.3369,60.67817,22.23003,
113.1671,60.27741,22.63321,
113.0093,59.8955,23.03901,
112.8337,59.48275,23.45552,
112.3388,58.2964,24.55835,
112.4028,58.32215,24.40045,
112.2801,57.95869,24.66415,
112.1583,57.61216,33.24158,
112.69,54.24614,27.77537,
112.789,53.97282,27.41308,
112.8105,53.84752,27.38952,
112.8976,53.51007,27.47245,
112.9234,53.32967,27.31021,
112.8888,53.33594,27.10911,
112.8728,53.23609,27.14245,
112.8579,53.15818,27.06446,
112.8244,53.06817,27.02646,
112.781,52.98235,26.99237,
112.7469,52.9103,27.03643,
112.6876,52.82919,27.01469,
112.6331,52.75805,27.02553,
112.5844,52.68686,26.96504,
112.531,52.61704,26.94098,
112.4567,52.56546,26.94099,
112.3834,52.49871,27.01764,
112.3021,52.45434,27.02091,
112.2139,52.41415,27.0672,
112.1443,52.40494,27.05006,
112.0868,52.42634,27.06303,
112.0463,52.48532,27.12715,
112.0428,52.58504,27.01011,
112.0493,52.69969,26.87267,
112.0502,52.80344,26.84413,
112.0576,52.93986,26.50218,
112.0624,53.07706,26.36031,
112.0575,53.21093,26.10583,
112.0824,53.37602,25.70498,
112.1171,53.54932,25.40601,
112.129,53.71264,24.94848,
112.1645,53.88855,24.41673,
112.1823,54.05626,23.90392,
112.1986,54.25165,23.39198,
112.2142,54.46123,22.8129,
112.2324,54.69073,22.31004,
112.2632,54.97511,21.7156,
112.3007,55.29497,21.00416,
112.3459,55.66791,20.21111,
112.4099,56.0845,19.36022,
112.5198,56.55152,18.49538,
112.645,57.04022,17.4564,
112.8101,57.60444,16.48087,
112.9658,58.17833,15.21889,
113.1157,58.76791,14.14236,
113.2809,59.3937,12.89872,
113.4443,60.03251,11.58021,
113.6387,60.71051,10.28273,
113.8479,61.43756,9.09252,
114.0741,62.17319,7.701763,
114.2742,62.89244,6.743809,
114.4555,63.57678,5.986874,
114.6229,64.23387,5.588792,
114.7892,64.83784,5.720739,
114.9172,65.40572,6.296409,
115.0133,65.93289,7.098736,
115.0807,66.41834,8.126394,
115.1255,66.86087,9.302166,
115.1395,67.25233,10.52172,
115.1184,67.58792,11.74486,
115.01,67.78546,12.90289,
114.9004,67.97861,14.07867,
114.6992,68.04828,15.18936,
114.5028,68.12585,16.28448,
114.2918,68.15761,17.42331,
114.0563,68.10224,18.48908,
113.8103,68.03991,19.56731,
113.5444,67.88387,20.61215,
113.2876,67.73138,21.58207,
113.01,67.5324,22.52557,
112.7364,67.29276,23.39658,
112.4898,67.04334,24.23751,
112.2366,66.73318,24.95263,
111.9894,66.38985,25.65174,
111.7765,66.04613,26.30648,
111.5615,65.68233,26.97221,
111.377,65.30083,27.59318,
111.2163,64.92556,28.18769,
111.0571,64.5338,28.71806,
110.9133,64.09378,29.17795,
110.7583,63.60286,29.55594,
110.6415,63.11118,29.95303,
110.558,62.57785,30.25302,
110.5227,62.01884,30.49597,
110.4675,61.42223,30.64771,
110.4416,60.74286,30.62907,
110.3811,60.07109,30.62388,
