user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.3883327,1.583094,-3.876983,2.05678,0,0,0,0,
-0.3883327,1.583094,-3.876983,2.05678,0,0,0,0,
-0.3881615,1.583141,-1.444234,0.8243849,0.4669079,0.5161223,-1.563701,0.7675533,
-0.3627411,1.570005,-1.444428,0.8238661,0.4669042,0.5157578,-1.603105,0.7980044,
-0.3645059,1.568969,-1.444477,0.8238511,0.4668792,0.5157626,-1.609628,0.8116324,
-0.3648536,1.568944,-1.444481,0.8238044,0.4668663,0.5157058,-1.615268,0.8277199,
-0.3651975,1.569006,-1.444392,0.8239164,0.4668824,0.515682,-1.620646,0.8442097,
-0.3654391,1.569068,-1.444402,0.8238902,0.4668809,0.515723,-1.626996,0.860384,
-0.3665565,1.569236,-1.444428,0.824003,0.4668025,0.5157013,-1.642987,0.9178084,
-0.3665652,1.569646,-1.444408,0.8240061,0.4668542,0.5157797,-1.644281,0.9240535,
-0.3669942,1.569776,-1.444415,0.8240635,0.4668391,0.5158091,-1.649838,0.9477879,
-0.3673918,1.569854,-1.444582,0.8238337,0.4669123,0.5156355,-1.660642,1.434224,
-0.3728971,1.575311,-1.444427,0.8237991,0.4671527,0.5156512,-1.651138,1.493106,
-0.3732305,1.575976,-1.444469,0.8237903,0.4670919,0.5156326,-1.645136,1.521998,
-0.3733814,1.576296,-1.444469,0.823772,0.4671406,0.5155792,-1.638587,1.549787,
-0.3738411,1.577205,-1.444328,0.8238428,0.4671375,0.515609,-1.620961,1.63326,
-0.3741343,1.577753,-1.444299,0.8239565,0.4671043,0.5156612,-1.606689,1.683271,
-0.3740826,1.577674,-1.444386,0.8239539,0.4670014,0.5156274,-1.605263,1.680502,
-0.37417,1.577846,-1.444385,0.8240364,0.4669874,0.515708,-1.598203,1.704206,
-0.3743856,1.577837,-1.444371,0.8239818,0.4669411,0.515676,-1.59263,1.725673,
-0.374486,1.577807,-1.444411,0.8240035,0.466936,0.5156751,-1.585795,1.745609,
-0.3745925,1.577851,-1.444412,0.8240006,0.4669372,0.5156505,-1.579323,1.763513,
-0.3748877,1.577919,-1.444439,0.8240457,0.466893,0.515672,-1.574017,1.782329,
-0.3749897,1.578009,-1.444501,0.8240631,0.4668832,0.515764,-1.567203,1.797464,
-0.3751679,1.577937,-1.444551,0.8240659,0.4668633,0.5157719,-1.560745,1.810902,
-0.3752747,1.57789,-1.444593,0.8239832,0.4667746,0.5157359,-1.555453,1.822706,
-0.3754005,1.57774,-1.444573,0.8239918,0.4668147,0.5157518,-1.548129,1.832631,
-0.3754783,1.577632,-1.444563,0.8239505,0.4668046,0.5157237,-1.542187,1.840737,
-0.3756302,1.577411,-1.444591,0.8239014,0.4667761,0.5156569,-1.535766,1.849064,
-0.3757293,1.577365,-1.44454,0.8238981,0.4668519,0.5156529,-1.528988,1.85367,
-0.3757676,1.577177,-1.444558,0.8240528,0.4667912,0.5158436,-1.522575,1.856903,
-0.3757243,1.576985,-1.444577,0.8240733,0.4667749,0.5158443,-1.516898,1.857719,
-0.3758061,1.576771,-1.44453,0.8240652,0.4668995,0.5158744,-1.51024,1.856703,
