pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.712787,4.191631,1.712787,0,4.507173,0,
1.712787,4.191631,1.712787,0,4.507173,0,
1.998474,2.331775,2.485328,1.884565,1.941281,2.823344,
1.963325,2.374422,2.466504,1.768978,2.564133,2.481665,
1.957148,2.377367,2.468774,1.765068,2.564363,2.48477,
1.956196,2.377842,2.468704,1.760919,2.564536,2.488094,
1.955001,2.378112,2.468757,1.757245,2.564669,2.491018,
1.954002,2.378322,2.468592,1.753291,2.564878,2.494133,
1.953715,2.378654,2.467951,1.749314,2.565075,2.497294,
1.95265,2.378842,2.468008,1.745624,2.564942,2.500118,
1.951999,2.379074,2.467624,1.741915,2.565205,2.503138,
1.951574,2.379461,2.467045,1.737773,2.565306,2.506464,
1.950694,2.379514,2.457955,1.69563,2.560957,2.531994,
1.959424,2.378113,2.44369,1.695921,2.560008,2.530622,
1.960842,2.377467,2.441672,1.695724,2.559009,2.529788,
1.962646,2.376824,2.439495,1.69647,2.557932,2.528241,
1.964562,2.375915,2.436997,1.697717,2.556584,2.526052,
1.966484,2.374965,2.4345,1.698781,2.555163,2.523959,
1.9687,2.373922,2.43191,1.700497,2.55377,2.521358,
1.971069,2.37275,2.429263,1.702312,2.552432,2.5188,
1.973355,2.371533,2.426647,1.704495,2.550683,2.515733,
1.975575,2.370263,2.423959,1.706301,2.549078,2.512894,
1.978035,2.368994,2.421311,1.709321,2.547359,2.509139,
1.980714,2.367583,2.418661,1.711602,2.5455,2.506041,
1.983361,2.366153,2.415948,1.714076,2.543693,2.502766,
1.986269,2.364384,2.413118,1.717818,2.541496,2.498391,
1.990791,2.363518,2.408777,1.720941,2.539428,2.494403,
1.988657,2.358624,2.410014,1.724656,2.537487,2.490075,
1.991494,2.356773,2.407204,1.728755,2.53535,2.485264,
1.993582,2.354375,2.405206,1.732531,2.53312,2.480747,
1.995746,2.35158,2.402872,1.736547,2.530954,2.475878,
1.998653,2.34911,2.400202,1.741253,2.528703,2.470543,
2.001202,2.346459,2.397568,1.7457,2.526266,2.465102,
2.003804,2.343523,2.394853,1.750147,2.523483,2.459677,
2.006794,2.340704,2.392063,1.755271,2.521262,2.454015,
2.009492,2.337792,2.389338,1.760506,2.518431,2.447799,
2.012157,2.334321,2.386662,1.765587,2.515815,2.441796,
2.015242,2.331108,2.384039,1.771794,2.512939,2.434995,
2.018283,2.32778,2.381047,1.777321,2.509886,2.428473,
2.021494,2.324049,2.378179,1.782452,2.50657,2.422667,
2.024972,2.320348,2.375506,1.789096,2.503229,2.415736,
2.028173,2.316645,2.372637,1.795149,2.499745,2.409003,
2.031561,2.312921,2.369825,1.800989,2.496186,2.402593,
2.035067,2.308823,2.367078,1.807795,2.49229,2.395524,
2.038218,2.304864,2.364372,1.814279,2.488114,2.388325,
2.04146,2.301055,2.361659,1.821227,2.484765,2.380795,
2.044537,2.296824,2.358994,1.828194,2.480438,2.373151,
2.047432,2.292631,2.3565,1.834754,2.476122,2.365788,
2.050438,2.28826,2.353989,1.841447,2.471929,2.358325,
2.053088,2.284097,2.351894,1.84824,2.467251,2.350823,
