chair to collider angle,table to collider angle,audience to collider angle,


76.6046,48.22163,76.6046,
76.6046,48.22163,76.6046,
123.3399,82.62167,14.91258,
86.95201,101.6429,57.09792,
83.6399,102.2932,60.52961,
83.06103,102.2175,61.06949,
82.49928,102.1365,61.59553,
81.92709,102.0154,62.11634,
81.34689,101.9112,62.64846,
80.7756,101.7963,63.16804,
80.24749,101.7145,63.66837,
79.76047,101.66,64.13548,
79.30894,101.6481,64.4914,
77.33651,101.8524,66.67917,
77.54987,101.7432,66.4417,
77.84368,101.6161,66.12309,
78.18102,101.4983,65.76778,
78.57067,101.3931,65.3649,
78.99232,101.2743,64.92017,
79.3879,101.1489,64.49464,
79.80914,101.0331,64.04719,
80.25513,100.8724,63.55969,
80.74427,100.6948,63.02687,
81.34015,100.4518,62.35863,
81.96339,100.2218,61.67791,
82.61636,99.99144,60.96548,
83.29704,99.73352,60.23046,
83.98856,99.50485,59.46499,
84.72333,99.1894,58.65092,
85.49039,98.79783,57.77257,
86.29202,98.38294,56.85954,
87.11298,97.91367,55.91138,
87.90689,97.41038,54.9797,
88.68764,96.87604,54.05066,
89.47055,96.28584,53.11059,
90.26191,95.66067,52.15488,
91.08165,94.99435,51.15458,
91.96364,94.20385,50.06498,
92.91006,93.37305,48.91862,
93.92288,92.45898,47.69236,
94.92041,91.52612,46.47611,
95.94627,90.5419,45.24195,
96.93892,89.5594,44.04243,
97.91592,88.5218,42.86406,
98.90731,87.44551,41.67569,
99.85683,86.33089,40.5356,
100.7699,85.16321,39.45351,
101.6145,83.94658,38.45757,
102.3577,82.66547,37.58493,
103.0552,81.36266,36.79731,
103.6699,80.07521,36.13614,
104.2075,78.79482,35.57578,
104.6921,77.4447,35.12446,
105.1668,76.08055,34.75085,
105.5869,74.59577,34.47486,
106.0104,72.99354,34.28608,
106.3819,71.35967,34.22033,
106.668,69.68403,34.31098,
106.892,67.94788,34.55589,
107.0969,66.35318,34.86474,
107.242,64.76695,35.25983,
107.3557,63.25797,35.72353,
107.4093,61.83738,36.25132,
107.4026,60.48556,36.83501,
107.3854,59.18154,37.4645,
107.3589,57.93621,38.08323,
107.3164,56.711,38.71136,
107.2594,55.45969,39.40252,
107.1667,54.24174,40.12802,
106.977,53.08854,40.90918,
106.7278,52.00157,41.71713,
106.4314,51.00843,42.5438,
106.0618,50.05276,43.38822,
105.6566,49.14618,44.24744,
105.2273,48.25272,45.12933,
104.7777,47.38115,46.00222,
104.3325,46.52892,46.86425,
103.8621,45.68542,47.73984,
103.382,44.91513,48.57631,
102.935,44.18945,49.36195,
102.4938,43.4856,50.11914,
102.0797,42.83928,50.81268,
101.6401,42.23231,51.499,
101.1652,41.63177,52.20856,
100.6524,41.03959,52.92115,
100.1745,40.46412,53.61174,
99.82582,39.86445,54.19489,
99.4305,39.30069,54.78566,
99.10299,38.7239,55.31964,
98.79513,38.19005,55.8112,
98.45788,37.68497,56.30843,
98.10263,37.2038,56.80132,
97.68021,36.73323,57.34579,
97.26582,36.21084,57.88797,
96.8858,35.66136,58.43775,
96.42437,35.15541,59.02565,
95.93772,34.70768,59.6014,
95.45937,34.29425,60.16979,
95.01266,33.85914,60.70937,
