pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.977091,4.24788,1.977091,0,4.507173,0,
1.977091,4.24788,1.977091,0,4.507173,0,
2.310657,2.632926,1.977366,1.245346,1.852972,0,
2.231353,2.539909,1.924927,2.154238,2.700238,1.435777,
2.231482,2.539412,1.924708,2.152299,2.698857,1.43379,
2.232205,2.539437,1.924861,2.150846,2.697792,1.432006,
2.232008,2.539694,1.92503,2.148777,2.697245,1.430504,
2.232278,2.539884,1.925121,2.147575,2.696568,1.429216,
2.233131,2.54008,1.925234,2.146817,2.696297,1.428104,
2.232852,2.540174,1.925201,2.145029,2.695773,1.426881,
2.233061,2.540337,1.925141,2.144115,2.695464,1.425824,
2.23354,2.540466,1.925054,2.143865,2.69544,1.425292,
2.23358,2.540467,1.924747,2.122322,2.685381,1.409685,
2.23415,2.539272,1.923735,2.118181,2.684273,1.407092,
2.234359,2.538751,1.923478,2.118812,2.685412,1.407922,
2.233585,2.538397,1.923151,2.11941,2.687608,1.409391,
2.233695,2.537674,1.922716,2.125116,2.696037,1.41583,
2.232995,2.537553,1.922279,2.127705,2.700955,1.419303,
2.233571,2.537589,1.92227,2.129313,2.701698,1.420381,
2.232971,2.537732,1.921971,2.130318,2.703933,1.422031,
2.232968,2.538195,1.921802,2.13161,2.706166,1.423625,
2.233246,2.538832,1.709641,2.133478,2.708814,1.920124,
2.23279,2.539348,1.711115,2.134198,2.710839,1.922241,
2.23273,2.539857,1.712469,2.135305,2.712798,1.924325,
2.233149,2.540745,1.714026,2.137022,2.714742,1.926564,
2.232827,2.541446,1.714941,2.138094,2.716883,1.928193,
2.233317,2.542062,1.716153,2.140321,2.719119,1.930459,
2.233574,2.542797,1.717785,2.142107,2.720969,1.932965,
2.233284,2.543561,1.718916,2.143735,2.723469,1.934867,
2.23376,2.544401,1.720532,2.145751,2.725916,1.937347,
2.234965,2.545254,1.72122,2.148842,2.728739,1.93926,
2.234746,2.546001,1.722701,2.150479,2.731247,1.941953,
2.234987,2.546664,1.723458,2.152425,2.733641,1.943818,
2.235859,2.547432,1.723688,2.155038,2.735971,1.945311,
2.23535,2.548023,1.724575,2.155928,2.737852,1.947028,
2.235367,2.548587,1.723425,2.15719,2.739495,1.947298,
2.235447,2.548833,1.723743,2.158906,2.74107,1.948923,
2.235414,2.549453,1.724896,2.160079,2.74267,1.950961,
2.235499,2.549944,1.72583,2.161018,2.743907,1.952542,
2.236328,2.550498,1.724452,2.16323,2.745446,1.952751,
2.23605,2.551012,1.725313,2.16452,2.747141,1.954735,
2.23617,2.551452,1.725111,2.166079,2.748821,1.955839,
2.236566,2.551964,1.723778,2.167797,2.75052,1.95624,
2.236162,2.552386,1.724457,2.168749,2.752207,1.958177,
2.236155,2.55268,1.724947,2.169983,2.753896,1.960027,
2.236216,2.553248,1.72395,2.171072,2.755643,1.960488,
2.236164,2.553682,1.724333,2.171879,2.757152,1.961826,
2.236099,2.554211,1.723135,2.172238,2.758422,1.961634,
2.23656,2.554533,1.723871,2.172822,2.759693,1.962851,
2.236277,2.555061,1.724849,2.172375,2.7605,1.963755,
