chair to collider angle,table to collider angle,audience to collider angle,


127.3281,104.562,127.3281,
127.3281,104.562,127.3281,
152.6959,148.591,127.2926,
152.3552,110.0103,124.6589,
152.1726,109.9247,124.3627,
152.1465,109.8734,124.3798,
152.1172,109.8354,124.3904,
152.1093,109.8106,124.4207,
152.0911,109.7746,124.4368,
152.0928,109.7704,124.4635,
152.0772,109.7532,124.462,
152.0548,109.7454,124.4246,
151.9974,109.7129,124.3335,
150.299,108.4417,122.3988,
149.9736,108.0833,122.1768,
149.7994,107.8985,122.0484,
149.3154,107.3778,121.6972,
149.1008,107.0948,121.6215,
149.1824,107.1414,121.7356,
149.1306,107.0563,121.7451,
149.1284,107.0466,121.7609,
149.1755,107.094,127.7121,
149.2674,107.2057,127.8412,
149.4063,107.3816,128.0392,
149.5187,107.5401,128.1933,
149.6566,107.7605,128.4303,
149.7164,107.949,128.6478,
149.7416,108.1025,128.7879,
149.7849,108.2852,128.9844,
149.8791,108.4651,129.1818,
150.0797,108.644,129.382,
150.2382,108.8106,129.5641,
150.3601,108.9756,129.7368,
150.4387,109.1448,129.9068,
150.5119,109.3212,130.0997,
150.5873,109.4803,130.2358,
150.6733,109.5977,130.3655,
150.7573,109.6759,130.4544,
150.8636,109.7209,130.5016,
150.9814,109.7387,130.4857,
151.0918,109.7542,130.5039,
151.2078,109.7499,130.4824,
151.3083,109.7339,130.4293,
151.385,109.7035,130.3954,
151.4674,109.6831,130.3709,
151.5256,109.664,130.3205,
151.5875,109.6812,130.3337,
151.6574,109.7291,130.3519,
151.722,109.7866,130.4136,
151.7672,109.8474,130.482,
151.7877,109.9027,130.5464,
151.7614,109.9497,130.5676,
151.6852,109.9759,130.6297,
151.67,109.9958,130.6608,
151.7248,110.0034,130.6387,
151.7944,110.002,130.6181,
151.8531,110.0523,130.6418,
151.8678,110.1151,130.7129,
151.872,110.2207,130.8155,
151.8819,110.3001,130.8994,
151.9267,110.3617,130.9149,
151.9836,110.3828,130.936,
152.0586,110.3919,130.9337,
152.16,110.4028,130.8952,
152.25,110.4137,130.8861,
152.3257,110.4294,130.857,
152.4107,110.4635,130.8599,
152.5071,110.5105,130.8787,
152.6331,110.587,130.9204,
152.7974,110.7164,130.9897,
152.9662,110.8649,131.091,
153.137,111.0453,131.2398,
153.3004,111.2536,131.3923,
153.4913,111.4888,131.5931,
153.6435,111.7257,131.7904,
153.7337,111.9395,131.9953,
153.8628,112.1649,132.2166,
154.0917,112.3976,132.4019,
154.3955,112.6304,132.6046,
154.7232,112.9222,132.8659,
155.0259,113.27,133.1989,
155.2908,113.6237,133.5193,
155.5694,114.0173,133.9101,
155.8368,114.3676,134.2399,
156.1173,114.6915,134.5674,
156.3698,114.95,134.8446,
156.612,115.1815,135.0847,
156.8234,115.386,135.2941,
157.0116,115.5927,135.527,
157.1926,115.7831,135.7283,
157.3304,115.9134,135.8863,
157.4335,116.0018,136.0029,
157.494,116.0471,136.0635,
157.4525,116.0237,136.0724,
157.3081,115.9281,136.015,
157.1351,115.8481,135.963,
156.8997,115.7205,135.8792,
156.63,115.5651,135.7661,
156.3223,115.3757,135.6139,
155.9537,115.1397,135.4175,
155.5105,114.8639,135.2053,
