user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.3534769,1.674129,-3.876983,2.05678,0,0,0,0,
0.3534769,1.674129,-3.876983,2.05678,0,0,0,0,
0.3530316,1.674449,-1.434013,0.8826722,0.3446511,0.5822818,0,0,
0.3058921,1.673486,-1.433722,0.8830949,0.3446618,0.5826213,0,0,
0.3050668,1.673276,-1.433712,0.8831067,0.3446599,0.5826206,0,0,
0.3049778,1.673344,-1.433712,0.8831619,0.3447738,0.5824213,0,0,
0.3048905,1.673382,-1.433722,0.8830794,0.3446705,0.5826051,0,0,
0.3048885,1.67332,-1.433708,0.8830643,0.3446672,0.5826106,0,0,
0.3048531,1.673255,-1.43368,0.8830644,0.3448403,0.5823872,0,0,
0.3047838,1.673047,-1.43367,0.8829179,0.3447433,0.5824189,0,0,
0.3047868,1.672781,-1.433665,0.8829092,0.3447406,0.5824218,0,0,
0.3047238,1.672526,-1.433717,0.8829077,0.3447563,0.582293,0,0,
0.3047625,1.672093,-1.433848,0.8827275,0.3449066,0.5818548,0,0,
0.3017228,1.670327,-1.433847,0.8826886,0.3448265,0.5821507,0,0,
0.3009976,1.670324,-1.433942,0.8826442,0.3447887,0.5819316,0,0,
0.3007519,1.670101,-1.433955,0.8826389,0.3446818,0.5821187,0,0,
0.3002071,1.669778,-1.433796,0.8827046,0.3448852,0.5819414,0,0,
0.3002245,1.669262,-1.433801,0.882706,0.3448167,0.5822031,0,0,
0.3005266,1.669122,-1.433814,0.8828745,0.3448021,0.5819633,0,0,
0.3008381,1.668672,-1.433824,0.8828791,0.3447166,0.5822308,0,0,
0.3014581,1.668228,-1.433827,0.8828914,0.3447204,0.5822339,0,0,
0.3019961,1.667735,-1.433451,0.8828264,0.345301,0.582124,-0.3623316,1.139641,
0.3026752,1.667245,-1.433416,0.882831,0.3452517,0.582612,-0.3619649,1.138412,
0.3034279,1.666686,-1.433385,0.882853,0.3452974,0.582618,-0.3614697,1.137286,
0.3042103,1.666136,-1.433519,0.8826855,0.3453555,0.5824759,-0.3617431,1.136319,
0.3050021,1.665759,-1.433484,0.882697,0.3453016,0.5825908,-0.3611984,1.135077,
0.3058782,1.665546,-1.433449,0.8827106,0.344942,0.5823653,-0.3606129,1.13396,
0.3066992,1.665687,-1.433777,0.8827446,0.3449399,0.5823681,-0.3616487,1.133022,
0.3074998,1.666119,-1.433782,0.8827391,0.3448353,0.5825047,-0.3612825,1.131072,
0.3082335,1.666887,-1.433781,0.8827586,0.3448354,0.58252,-0.3608729,1.129812,
0.3088925,1.66759,-1.433668,0.8827139,0.3451292,0.5822065,-0.3596725,1.128972,
0.3095571,1.6681,-1.433666,0.8825431,0.3450186,0.5823674,-0.359198,1.128086,
0.3102733,1.668489,-1.433654,0.8825291,0.3450253,0.5823593,-0.3587604,1.127334,
0.3109853,1.668725,-1.433871,0.8824321,0.344864,0.5820496,-0.3585799,1.127033,
0.3117284,1.668835,-1.43389,0.8824269,0.3447264,0.5822017,-0.3581339,1.12636,
0.3124951,1.668834,-1.433916,0.8824203,0.3447257,0.5821753,-0.3580374,1.126997,
0.3131858,1.669024,-1.433934,0.8826003,0.3446228,0.5820835,-0.3576068,1.126871,
