pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.79341,4.197622,1.79341,0,4.507173,0,
1.79341,4.197622,1.79341,0,4.507173,0,
1.68481,2.34694,3.177715,1.525862,1.912155,3.372432,
1.778345,2.396274,3.016552,1.431208,2.608036,3.037158,
1.779756,2.395325,3.010324,1.428456,2.610994,3.037689,
1.781301,2.395372,3.005933,1.424923,2.613991,3.038981,
1.779414,2.3949,3.001788,1.4202,2.615613,3.041644,
1.779358,2.394621,2.997834,1.416643,2.617223,3.043116,
1.780532,2.394191,2.994065,1.413114,2.61871,3.044683,
1.779163,2.393881,2.990468,1.409322,2.619936,3.047051,
1.779288,2.393637,2.986757,1.405867,2.620125,3.048319,
1.77694,2.39337,2.925513,1.345594,2.613772,3.06383,
1.787329,2.392231,2.908593,1.340348,2.610345,3.061492,
1.786709,2.392339,2.903679,1.338372,2.608492,3.060145,
1.787178,2.392438,2.89864,1.336095,2.605888,3.058064,
1.78878,2.392408,2.88452,1.331116,2.599139,3.051073,
1.791122,2.392415,2.87592,1.327972,2.592838,3.045852,
1.789786,2.392384,2.875534,1.329335,2.592148,3.044439,
1.790236,2.392336,2.870629,1.329026,2.589293,3.040735,
1.792323,2.392276,2.866275,1.329034,2.586792,3.037324,
1.791338,2.392151,2.86205,1.329574,2.584255,3.034007,
1.791957,2.39208,2.857922,1.329429,2.581869,3.031237,
1.794147,2.392239,2.853446,1.329859,2.580043,3.027622,
1.79306,2.392044,2.848938,1.330708,2.578437,3.024134,
1.793745,2.391937,2.844019,1.33076,2.57732,3.020868,
1.796104,2.391767,2.83958,1.331938,2.576627,3.017345,
1.797341,2.391693,2.835078,1.3323,2.575892,3.014149,
1.79798,2.391455,2.830917,1.332758,2.576166,3.01213,
1.800022,2.391276,2.827068,1.334982,2.576729,3.008809,
1.799434,2.390892,2.822996,1.33691,2.577098,3.006058,
1.80018,2.390641,2.818964,1.338671,2.577803,3.003221,
1.801898,2.390351,2.81552,1.341368,2.578599,2.999499,
1.801451,2.390391,2.811633,1.344036,2.579507,2.996001,
1.802165,2.389985,2.807789,1.346541,2.580328,2.992548,
1.804276,2.389778,2.80429,1.350163,2.581295,2.988266,
1.803916,2.389478,2.800718,1.352978,2.581823,2.984862,
1.80617,2.38928,2.795475,1.356775,2.582722,2.979486,
1.80652,2.388922,2.791749,1.35952,2.583267,2.976787,
1.807313,2.388715,2.78912,1.361628,2.583953,2.974534,
1.809417,2.38847,2.786679,1.363062,2.584186,2.972629,
1.808667,2.38813,2.783904,1.36531,2.584551,2.970243,
1.809675,2.387797,2.781313,1.366827,2.584626,2.968259,
1.811924,2.38742,2.779053,1.368906,2.584941,2.965799,
1.811642,2.386889,2.776511,1.370778,2.584815,2.963828,
1.812562,2.386467,2.774198,1.371846,2.584443,2.962087,
1.814951,2.386183,2.771516,1.372473,2.583749,2.960111,
1.813933,2.385625,2.769104,1.373697,2.582927,2.957958,
1.814413,2.38527,2.766726,1.374823,2.581892,2.955563,
1.814849,2.384846,2.764877,1.37641,2.580787,2.953137,
1.815243,2.384598,2.762931,1.377549,2.579683,2.950897,
