user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.235387,1.674733,-3.876983,2.05678,0,0,0,0,
-0.235387,1.674733,-3.876983,2.05678,0,0,0,0,
-0.234328,1.675036,-1.4454,0.9304279,1.185626,0.560925,-2.561074,1.125466,
0.03488979,1.655361,-1.445551,0.9302984,1.185704,0.5605061,-2.560829,1.126593,
0.04817145,1.652995,-1.44557,0.9303505,1.185545,0.5606616,-2.56075,1.126732,
0.05104212,1.652466,-1.445548,0.9303504,1.185509,0.5606627,-2.560677,1.126803,
0.05392267,1.651946,-1.445411,0.9302976,1.185739,0.5605006,-2.560481,1.126767,
0.05697041,1.651385,-1.445403,0.9305035,1.185659,0.5607288,-2.560354,1.126993,
0.05997115,1.650753,-1.445367,0.9304843,1.18563,0.5607345,-2.560249,1.12702,
0.06300434,1.650204,-1.445298,0.9304948,1.185859,0.5606644,-2.560072,1.127032,
0.06626362,1.649599,-1.445293,0.9304947,1.185752,0.5607755,-2.559957,1.12704,
0.06947532,1.648816,-1.445261,0.9304919,1.185746,0.5608077,-2.559851,1.127044,
0.0726933,1.648136,-1.445299,0.9302778,1.18571,0.5608313,-2.558083,1.127703,
0.141662,1.64299,-1.445293,0.9302785,1.185649,0.5608966,-2.558117,1.12767,
0.1456714,1.643384,-1.445473,0.9302313,1.185584,0.560755,-2.558074,1.127643,
0.1538118,1.644195,-1.445462,0.9303943,1.185541,0.5609167,-2.557985,1.127694,
0.1664142,1.644978,-1.445335,0.9303806,1.185681,0.5608251,-2.557703,1.127569,
0.1752483,1.645387,-1.445343,0.930336,1.1856,0.5608647,-2.557539,1.127603,
0.184611,1.6455,-1.445369,0.930355,1.185603,0.5609,-2.557382,1.127589,
0.1848373,1.645386,-1.445347,0.9303541,1.185597,0.5608892,-2.557404,1.127575,
0.1894074,1.645387,-1.445349,0.9303806,1.18567,0.5608611,-2.557304,1.127541,
0.1939561,1.645418,-1.445324,0.9305254,1.185582,0.5611198,-2.557266,1.127618,
0.1985122,1.645428,-1.445335,0.9305546,1.18558,0.5611401,-2.557189,1.127585,
0.2029871,1.645423,-1.444947,0.9306953,1.18604,0.561115,-2.556592,1.127679,
0.2072988,1.645453,-1.444915,0.930668,1.186043,0.5611682,-2.55667,1.127546,
0.2116408,1.645462,-1.445009,0.9305785,1.186068,0.5611935,-2.556536,1.127458,
0.2159021,1.645534,-1.445099,0.9305897,1.185988,0.5609748,-2.556593,1.127451,
0.2198953,1.645637,-1.445072,0.9305893,1.185858,0.5611293,-2.55652,1.127435,
0.2239675,1.645722,-1.445137,0.9305557,1.185865,0.5611587,-2.5566,1.127334,
0.228012,1.645838,-1.445101,0.9305714,1.185865,0.5610402,-2.556481,1.127326,
0.2319967,1.646139,-1.445103,0.9304731,1.185811,0.5610354,-2.556438,1.127165,
0.2358823,1.646323,-1.445083,0.9304533,1.185804,0.5610397,-2.556332,1.127167,
0.2396645,1.646576,-1.444993,0.9304744,1.185942,0.5608826,-2.556112,1.127131,
0.2431151,1.646815,-1.445114,0.9303848,1.185892,0.5608709,-2.556252,1.126988,
0.2467017,1.647079,-1.445113,0.9304377,1.185875,0.5608623,-2.55617,1.127056,
