chair to collider angle,table to collider angle,audience to collider angle,


150.9649,75.13655,150.9649,
150.9649,75.13655,150.9649,
151.0243,106.1464,112.3675,
163.8922,122.7324,138.0193,
162.9504,124.0754,140.9568,
162.6716,124.1546,141.295,
162.3489,124.2429,141.6763,
161.9978,124.3784,142.1466,
161.6038,124.5396,142.6587,
161.228,124.7087,143.1575,
160.818,124.8549,143.6692,
160.3259,124.9777,144.1855,
159.781,124.992,144.3672,
142.1191,123.097,152.6167,
141.1044,122.7516,152.5552,
139.1804,121.8931,152.231,
137.0318,120.8217,151.6147,
136.2909,120.0786,150.9633,
135.9374,119.568,150.4588,
136.2044,119.6715,150.5075,
135.8237,119.3559,150.2426,
135.3012,118.8919,149.8698,
134.8993,118.441,149.4734,
134.4855,118.0527,149.1445,
133.987,117.6877,148.8768,
133.5073,117.351,148.6442,
133.1145,117.0823,148.451,
132.7262,116.7366,148.1879,
132.403,116.3929,147.9059,
132.0605,116.0049,147.5618,
131.6182,115.5808,147.2094,
131.0359,115.0997,146.8193,
130.4555,114.6179,146.4196,
129.8834,114.1278,146.0166,
129.187,113.5435,145.5193,
128.4633,112.965,145.0174,
127.6115,112.2583,144.4097,
126.6841,111.5153,143.7557,
125.5244,110.6581,142.9734,
124.3831,109.8244,142.2215,
123.1495,108.9247,141.4006,
121.89,108.0779,140.6004,
120.6443,107.1968,139.7668,
119.3968,106.3062,138.9181,
118.0953,105.3655,138.0001,
116.7894,104.4045,137.06,
115.5415,103.4859,136.1639,
114.2978,102.5949,135.2808,
113.0893,101.7662,134.4515,
111.935,100.9719,133.6647,
110.7681,100.1847,132.8591,
109.6359,99.4417,132.0908,
108.4841,98.67996,131.2971,
107.3596,97.95018,130.5336,
106.1905,97.1666,129.7012,
104.9583,96.32818,128.8102,
103.7683,95.57142,127.9738,
102.5879,94.82276,127.1373,
101.4671,94.1387,126.3613,
100.4118,93.55247,125.6766,
99.23792,92.89392,124.893,
98.17447,92.31272,124.2018,
97.00793,91.64357,123.3979,
95.69079,90.91484,122.4885,
94.40254,90.14494,121.5637,
93.15742,89.4198,120.6733,
91.96651,88.75892,119.8374,
90.96435,88.25068,119.1677,
90.00178,87.76539,118.5158,
89.09293,87.29426,117.8912,
88.14675,86.73211,117.1857,
87.23106,86.24334,116.533,
86.31519,85.66508,115.8144,
85.59029,85.2626,115.2868,
84.79643,84.77891,114.6668,
84.15018,84.44427,114.2016,
83.34412,84.11432,113.6612,
82.67787,83.95708,113.2804,
81.99164,83.77213,112.8624,
81.32837,83.618,112.4646,
80.59387,83.32327,111.9375,
79.83894,82.9272,111.3378,
79.09486,82.55753,110.7476,
78.35965,82.21344,110.1744,
77.71294,82.0224,109.7374,
76.97397,81.80904,109.2322,
76.50607,81.8589,109.0194,
76.06681,81.84763,108.7858,
75.71194,81.79511,108.5732,
75.14965,81.5547,108.1459,
74.64867,81.30486,107.7477,
74.18761,81.13294,107.4109,
73.94318,81.21076,107.3349,
73.81947,81.37253,107.3605,
73.69276,81.52563,107.3765,
73.60853,81.63825,107.3945,
73.53033,81.72793,107.405,
73.5171,81.8501,107.466,
73.4711,82.0315,107.5469,
73.52864,82.28451,107.7181,
