user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.1516389,1.701102,-3.876983,2.05678,0,0,0,0,
0.1516389,1.701102,-3.876983,2.05678,0,0,0,0,
0.1515648,1.700892,-1.443395,0.9132702,0,0,-0.04756352,1.099055,
0.1575423,1.719352,-1.44294,0.9132879,0,0,-0.04906645,1.099291,
0.1574744,1.719154,-1.442945,0.9132617,0,0,-0.04886505,1.099259,
0.1573248,1.719177,-1.44285,0.913524,0,0,-0.04853526,1.099403,
0.1573928,1.719152,-1.442836,0.9134972,0,0,-0.0478358,1.099407,
0.1572047,1.719095,-1.442733,0.9134128,0,0,-0.04680973,1.099099,
0.1569705,1.71914,-1.442635,0.9135113,0,0,-0.04643333,1.099947,
0.1565641,1.719159,-1.442592,0.9135028,0,0,-0.04586139,1.100717,
0.1561752,1.71891,-1.442657,0.9138743,0,0,-0.04500604,1.10098,
0.1556239,1.718663,-1.442549,0.914109,0,0,-0.0444946,1.102015,
0.1549491,1.718327,-1.440891,0.9197594,0,0,-0.05037072,1.097744,
0.1440411,1.701463,-1.441057,0.9190487,0,0,-0.05125591,1.097031,
0.1435424,1.700063,-1.441259,0.9182928,0,0,-0.0533815,1.095853,
0.1425246,1.697694,-1.441201,0.9184954,0,0,-0.05448171,1.095457,
0.141147,1.694901,-1.44132,0.9185464,0,0,-0.05776757,1.093923,
0.1401897,1.693817,-1.441342,0.9187984,0,0,-0.05939564,1.092795,
0.1396443,1.693726,-1.441469,0.9183466,0,0,-0.06032646,1.091851,
0.1398826,1.694256,-1.441463,0.9183356,0,0,-0.06011346,1.092027,
0.1396597,1.694293,-1.441456,0.9181221,0,0,-0.06037605,1.092128,
0.1393681,1.69443,-1.441288,0.9187684,0,0,-0.06027997,1.091971,
0.1391994,1.694153,-1.441235,0.9189572,0,0,-0.06019852,1.092106,
0.1390125,1.693825,-1.441172,0.9186062,0,0,-0.0594134,1.092579,
0.1387671,1.693662,-1.44108,0.9187695,0,0,-0.0587604,1.09283,
0.1384453,1.693434,-1.440993,0.9189601,0,0,-0.05757391,1.093525,
0.1381964,1.69309,-1.440916,0.9185163,0,0,-0.05607781,1.094855,
0.137925,1.692826,-1.440738,0.9189174,0,0,-0.05483884,1.09623,
0.1373948,1.692581,-1.440634,0.9190943,0,0,-0.05349693,1.098395,
0.1369874,1.692074,-1.440933,0.9185975,0,0,-0.05234921,1.100118,
0.1365245,1.691807,-1.44087,0.9187155,0,0,-0.05117396,1.101602,
0.1361576,1.691321,-1.440787,0.918866,0,0,-0.05015454,1.102919,
0.1357665,1.690732,-1.440736,0.918865,0,0,-0.04933429,1.103039,
0.1352987,1.690113,-1.440577,0.9193369,0,0,-0.04835472,1.103462,
0.1347561,1.689557,-1.44049,0.9195218,0,0,-0.04750797,1.103718,
0.1342505,1.688815,-1.440751,0.9190192,0,0,-0.04666618,1.103113,
0.1336704,1.68808,-1.44049,0.9197488,0,0,-0.04595155,1.102895,
0.1328041,1.687273,-1.44042,0.9199358,0,0,-0.04530007,1.102913,
0.1321792,1.686115,-1.440591,0.9191166,0,0,-0.04456067,1.102779,
0.1313951,1.685228,-1.440524,0.9192722,0,0,-0.0439643,1.10291,
