chair to collider angle,table to collider angle,audience to collider angle,


111.9196,51.44526,111.9196,
111.9196,51.44526,111.9196,
140.3073,104.1568,144.8069,
123.2854,132.4098,163.2861,
123.3599,132.8391,163.6981,
123.3466,132.8732,163.7163,
123.336,132.8796,163.689,
123.2957,132.9237,163.6531,
123.3112,133.0445,163.7509,
123.3312,133.0608,163.8328,
122.023,134.8733,163.4483,
121.9963,134.9986,163.4873,
121.9437,135.091,163.4803,
121.8323,135.1269,163.3429,
121.7432,135.1782,163.2526,
121.6319,135.195,163.1078,
121.4601,135.1745,162.8676,
121.2591,135.1155,162.5691,
121.102,135.0662,162.3351,
121.0165,135.0225,162.1769,
120.9864,134.9892,162.0883,
121.0841,134.9871,162.1815,
121.2977,134.9959,162.408,
121.5017,135.0029,162.6225,
121.708,134.9846,162.834,
121.8875,134.9683,163.0063,
122.0835,134.9308,163.1862,
122.3026,134.8828,163.3997,
122.5858,134.8539,163.6848,
122.9189,134.8107,164.0197,
123.2541,134.7229,164.332,
123.5825,134.6513,164.6441,
123.8692,134.548,164.9038,
124.1342,134.4416,165.1314,
124.3556,134.3106,165.2642,
124.5324,134.1595,165.382,
124.6773,134.022,165.4384,
124.8101,133.8997,165.4953,
124.9751,133.7673,165.605,
125.1487,133.6326,165.6896,
125.3292,133.4727,165.7517,
125.5183,133.2818,165.828,
125.7435,133.1165,165.9314,
125.9711,132.931,166.0321,
126.1895,132.7296,166.1118,
126.3898,132.5511,166.1671,
126.5675,132.3838,166.2021,
126.7728,132.2326,166.2969,
126.9914,132.1355,166.446,
127.2351,132.0372,166.6118,
127.4806,131.9117,166.7572,
127.7483,131.789,166.918,
128.0513,131.6733,167.1125,
128.3486,131.5611,167.3041,
128.7865,131.5681,167.7673,
129.3089,131.4956,168.2331,
129.6677,131.3454,168.4292,
130.0917,131.1484,168.645,
130.4957,130.8777,168.7586,
130.7504,130.4591,168.5214,
130.8704,129.979,168.0772,
131.0001,129.4893,167.6159,
131.2191,129.0443,167.3021,
131.532,128.6297,167.1145,
131.881,128.2121,166.946,
132.328,127.7759,166.7986,
132.7749,127.3128,166.6174,
133.2124,126.7896,166.3334,
133.6875,126.2309,166.0332,
134.1187,125.5707,165.5583,
134.4784,124.8718,164.9821,
134.7955,124.1497,164.3113,
135.124,123.4094,163.6503,
135.5098,122.6794,163.013,
135.8674,121.9636,162.3967,
136.2327,121.2524,161.7861,
136.5394,120.5325,161.1351,
136.782,119.8053,160.4174,
137.0403,118.9975,159.6394,
137.2888,118.1613,158.8097,
137.5275,117.2457,157.9157,
137.733,116.2738,156.9581,
137.8653,115.249,155.8981,
137.9593,114.2112,154.8076,
138.0154,113.1542,153.7113,
138.0096,112.0598,152.5539,
137.898,110.8852,151.2839,
137.7119,109.6374,149.9203,
137.5066,108.391,148.5559,
137.2573,107.1072,147.169,
137.0038,105.8141,145.7792,
136.7564,104.5151,144.3963,
136.5595,103.2605,143.0974,
136.456,102.0403,141.8745,
136.4107,100.8333,140.6882,
136.4106,99.65611,139.5675,
136.3617,98.49519,138.4496,
136.2954,97.34754,137.34,
136.2469,96.25575,136.3004,
136.1591,95.19814,135.2815,
136.0978,94.17701,134.3151,
