user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.01395642,1.681311,-3.876983,2.05678,0,0,0,0,
0.01395642,1.681311,-3.876983,2.05678,0,0,0,0,
0.01859506,1.681572,-1.401126,0.8990921,1.304408,0.5825322,0.05823106,1.040823,
-0.02575958,1.686382,-1.400952,0.8993852,1.304656,0.5828588,0.05048341,1.03851,
-0.05000794,1.686612,-1.401059,0.8994516,1.304389,0.5829749,0.04972196,1.038479,
-0.05393241,1.686649,-1.40109,0.8991306,1.304435,0.5825782,0.04922104,1.038514,
-0.05767941,1.686639,-1.401092,0.8991135,1.304445,0.5825267,0.04863548,1.038607,
-0.06880291,1.686746,-1.401222,0.8991227,1.304328,0.582377,0.04743588,1.038425,
-0.07553175,1.68673,-1.401232,0.898887,1.304432,0.5823588,0.04676133,1.038488,
-0.07524775,1.686773,-1.40115,0.8988973,1.304486,0.5823596,0.03936237,1.037365,
-0.1197874,1.685006,-1.401147,0.8990188,1.304564,0.5823824,0.0391081,1.037405,
-0.1216263,1.685014,-1.401156,0.8990153,1.304578,0.5823491,0.0388369,1.037527,
-0.1234425,1.684958,-1.401163,0.8989453,1.304518,0.5824544,0.03867465,1.03756,
-0.125198,1.685029,-1.401172,0.8990163,1.30457,0.5824773,0.03843534,1.03759,
-0.1269056,1.685041,-1.401179,0.8989919,1.304602,0.5824695,0.03821623,1.037573,
-0.1285046,1.684977,-1.401252,0.8989881,1.304495,0.5824904,0.04018438,1.038158,
-0.1301222,1.684924,-1.401277,0.8989961,1.304658,0.5823314,0.04012448,1.038263,
-0.1317295,1.684936,-1.401202,0.8989869,1.304675,0.5823243,0.04010719,1.038356,
-0.1332479,1.68483,-1.401187,0.8990465,1.304704,0.5823474,0.04010993,1.038436,
-0.134834,1.684978,-1.401186,0.8990234,1.304796,0.5822432,0.0401057,1.038503,
-0.136425,1.685279,-1.401097,0.899012,1.304821,0.5822215,0.04012734,1.038571,
-0.1378772,1.685476,-1.401063,0.8990254,1.304749,0.5824583,0.04013664,1.038652,
-0.1393504,1.685845,-1.401064,0.8988739,1.304843,0.5822618,0.0401271,1.038711,
-0.1408135,1.686199,-1.401102,0.8988971,1.304873,0.5822551,0.04011488,1.038746,
-0.1422572,1.68659,-1.401115,0.8988808,1.304755,0.5823686,0.04008615,1.038781,
-0.1436625,1.686935,-1.401098,0.8989102,1.304838,0.5822635,0.04007095,1.038818,
-0.1450242,1.687273,-1.401151,0.898895,1.304865,0.5822463,0.04006249,1.038863,
-0.1462348,1.687622,-1.400825,0.8989733,1.30505,0.5823786,0.0400461,1.038917,
-0.147531,1.687958,-1.400794,0.8990312,1.305171,0.5823784,0.04002911,1.038936,
-0.1488057,1.688363,-1.400843,0.8990875,1.30523,0.5823622,0.03999412,1.038977,
-0.1502097,1.688574,-1.40084,0.8990842,1.304989,0.5825233,0.03995377,1.039031,
-0.1514437,1.688888,-1.400826,0.8990637,1.305133,0.5823755,0.03989559,1.039099,
-0.1525889,1.688977,-1.400926,0.8990901,1.305186,0.5823762,0.03979617,1.039186,
-0.1537982,1.689163,-1.400863,0.8991274,1.304972,0.5825562,0.03969407,1.039263,
