chair to collider angle,table to collider angle,audience to collider angle,


104.0604,143.5551,104.0604,
104.0604,143.5551,104.0604,
104.0851,143.3851,104.0851,
122.8994,136.6739,122.8994,
124.2325,136.3869,124.2325,
124.3321,136.396,124.3321,
124.3509,136.4261,124.3509,
124.3362,136.4442,124.3362,
124.2006,136.5194,124.2006,
124.019,136.6409,124.019,
123.767,136.8096,123.767,
123.5463,136.9681,123.5463,
120.7472,137.7014,120.7472,
120.6804,137.6876,120.6804,
120.5768,137.705,120.5768,
120.4618,137.7673,120.4618,
120.3207,137.8484,120.3207,
120.1754,137.9835,120.1754,
120.0447,138.1082,120.0447,
119.9478,138.2342,119.9478,
119.799,138.381,119.799,
119.5354,138.6086,119.5354,
119.1324,138.9131,119.1324,
118.6612,139.2822,118.6612,
118.2433,139.6184,118.2433,
118.0846,139.7539,118.0846,
118.2252,139.6562,118.2252,
117.9571,139.8385,117.9571,
117.7595,140.0324,117.7595,
117.7078,140.0807,117.7078,
117.5178,140.2597,117.5178,
117.2514,140.4787,117.2514,
116.9564,140.7568,116.9564,
116.696,141.0376,116.696,
116.4144,141.3345,116.4144,
116.1347,141.6569,116.1347,
115.9101,141.9494,115.9101,
115.7197,142.2085,115.7197,
115.6593,142.3746,115.6593,
115.6759,142.4647,115.6759,
115.8142,142.4737,115.8142,
116.0004,142.4214,116.0004,
116.2275,142.3485,116.2275,
116.4077,142.3173,116.4077,
116.5553,142.2796,116.5553,
116.6345,142.2812,116.6345,
116.6825,142.2937,116.6825,
116.6324,142.3628,116.6324,
116.5511,142.4527,116.5511,
116.5207,142.5165,116.5207,
116.4873,142.5609,116.4873,
116.4504,142.6211,116.4504,
116.4624,142.6361,116.4624,
116.4965,142.6093,116.4965,
116.4951,142.6111,116.4951,
116.4968,142.6062,116.4968,
116.5089,142.5871,116.5089,
116.4788,142.6067,116.4788,
116.4392,142.6208,116.4392,
116.363,142.6734,116.363,
116.3463,142.6844,116.3463,
116.3409,142.7085,116.3409,
116.3285,142.723,116.3285,
116.23,142.8091,116.23,
116.0651,142.9349,116.0651,
115.8645,143.1106,115.8645,
115.6387,143.293,115.6387,
115.4426,143.4816,115.4426,
115.3567,143.5938,115.3567,
115.3517,143.6461,115.3517,
115.4164,143.6322,115.4164,
115.4268,143.6326,115.4268,
115.349,143.6881,115.349,
115.1784,143.8041,115.1784,
114.9215,143.9971,114.9215,
114.6327,144.2297,114.6327,
114.3036,144.5033,114.3036,
113.8855,144.8403,113.8855,
113.345,145.251,113.345,
112.8082,145.6689,112.8082,
112.3526,146.0387,112.3526,
111.9384,146.3849,111.9384,
111.484,146.7916,111.484,
110.9548,147.2506,110.9548,
110.3217,147.7667,110.3217,
109.7019,148.3068,109.7019,
109.1806,148.7758,109.1806,
108.6429,149.2478,108.6429,
108.0238,149.7525,108.0238,
107.5413,150.2194,107.5413,
107.2123,150.5922,107.2123,
107.0517,150.8366,107.0517,
106.9468,151.0291,106.9468,
106.93,151.1498,106.93,
106.8776,151.2225,106.8776,
106.5878,151.4673,106.5878,
106.3167,151.7179,106.3167,
106.1588,151.9062,106.1588,
106.2935,151.8963,106.2935,
106.6129,151.7763,106.6129,
