pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.89676,4.032523,1.89676,0,4.507173,0,
1.89676,4.032523,1.89676,0,4.507173,0,
1.896812,4.032506,1.896812,0,4.507173,0,
1.856166,3.949901,1.856166,1.138602,4.074656,1.138602,
1.851135,3.940614,1.851135,1.137634,4.072332,1.137634,
1.85043,3.939329,1.85043,1.13699,4.071318,1.13699,
1.849619,3.938099,1.849619,1.136528,4.070253,1.136528,
1.846771,3.934679,1.846771,1.134884,4.066411,1.134884,
1.84447,3.932509,1.84447,1.134328,4.063159,1.134328,
1.844344,3.932078,1.844344,1.12648,4.038009,1.12648,
1.822379,3.901699,1.822379,1.125388,4.036286,1.125388,
1.821141,3.900205,1.821141,1.124743,4.035659,1.124743,
1.819732,3.89914,1.819732,1.124026,4.035043,1.124026,
1.818391,3.898124,1.818391,1.123717,4.034154,1.123717,
1.817114,3.896794,1.817114,1.123141,4.03371,1.123141,
1.815382,3.8961,1.815382,1.122648,4.033284,1.122648,
1.813996,3.895258,1.813996,1.122198,4.032865,1.122198,
1.812653,3.894089,1.812653,1.121752,4.032559,1.121752,
1.810773,3.893672,1.810773,1.12131,4.032138,1.12131,
1.809394,3.892778,1.809394,1.121129,4.031365,1.121129,
1.808126,3.891662,1.808126,1.120859,4.031019,1.120859,
1.806296,3.891367,1.806296,1.121012,4.029964,1.121012,
1.805026,3.890176,1.805026,1.120798,4.029522,1.120798,
1.803884,3.889108,1.803884,1.120769,4.029032,1.120769,
1.802241,3.888776,1.802241,1.120548,4.028555,1.120548,
1.801066,3.887691,1.801066,1.120964,4.027485,1.120964,
1.800174,3.886567,1.800174,1.121011,4.027263,1.121011,
1.798697,3.886344,1.798697,1.121101,4.027075,1.121101,
1.79794,3.885298,1.79794,1.121078,4.026565,1.121078,
1.797221,3.884216,1.797221,1.121028,4.026368,1.121028,
1.795557,3.884485,1.795557,1.120943,4.026158,1.120943,
1.79487,3.883398,1.79487,1.120968,4.025909,1.120968,
1.794235,3.882434,1.794235,1.121153,4.025824,1.121153,
1.793271,3.8819,1.793271,1.121155,4.02598,1.121155,
1.792728,3.881124,1.792728,1.121787,4.025517,1.121787,
1.792131,3.880368,1.792131,1.122213,4.025845,1.122213,
1.791324,3.879958,1.791324,1.122369,4.026007,1.122369,
1.790877,3.879311,1.790877,1.123182,4.025993,1.123182,
1.790252,3.878773,1.790252,1.123405,4.026374,1.123405,
1.789581,3.878355,1.789581,1.12346,4.026612,1.12346,
1.789335,3.877755,1.789335,1.123845,4.027082,1.123845,
1.789066,3.8769,1.789066,1.123977,4.027636,1.123977,
1.788627,3.876291,1.788627,1.124388,4.027546,1.124388,
1.788261,3.875241,1.788261,1.124485,4.027713,1.124485,
1.788104,3.874348,1.788104,1.124776,4.027806,1.124776,
1.787933,3.873434,1.787933,1.125508,4.027455,1.125508,
1.787771,3.87258,1.787771,1.125762,4.027552,1.125762,
1.78761,3.871786,1.78761,1.126114,4.027365,1.126114,
1.78724,3.871266,1.78724,1.12671,4.027413,1.12671,
1.787076,3.870397,1.787076,1.127206,4.027184,1.127206,
