chair to collider angle,table to collider angle,audience to collider angle,


100.057,76.15258,100.057,
100.057,76.15258,100.057,
134.8824,26.10592,30.60822,
142.8131,36.78553,19.58441,
143.1819,37.5875,18.65022,
143.1498,37.59736,18.72407,
143.1305,37.6165,18.63274,
143.1205,37.63416,18.67358,
143.1185,37.65097,18.80482,
143.1251,37.68543,18.79048,
143.102,37.69601,18.86644,
143.0844,37.70508,20.26862,
140.9679,35.69431,20.35019,
140.6262,35.33632,20.46681,
140.2218,34.90313,20.6064,
139.7909,34.44985,20.84362,
139.2626,33.89591,21.06677,
138.8027,33.38995,21.30489,
138.3944,32.93039,21.64389,
138.0629,32.51429,22.00353,
137.8021,32.14867,22.35602,
137.5807,31.8051,22.83196,
137.3883,31.48205,23.27233,
137.1682,31.14033,23.66275,
136.9291,30.8119,24.09364,
136.7189,30.51203,24.47375,
136.5307,30.21498,24.78847,
136.3998,30.00585,25.14142,
136.271,29.82201,25.46029,
136.1707,29.6437,25.69532,
136.0734,29.48057,25.99876,
135.9661,29.32638,26.26551,
135.8392,29.13636,26.47441,
135.7305,28.96258,26.69449,
135.616,28.80919,26.93815,
135.5156,28.70037,27.0164,
135.4285,28.61211,27.13855,
135.391,28.55484,27.24141,
135.3484,28.49318,27.26022,
135.3057,28.43625,27.30235,
135.2963,28.41589,27.34781,
135.2644,28.3903,27.32932,
135.2471,28.37325,27.28869,
135.2497,28.3777,27.28189,
135.2324,28.37105,27.24208,
135.2426,28.38192,27.18596,
135.2177,28.38297,27.12627,
135.2101,28.37403,27.07317,
135.1872,28.35834,27.02088,
135.1471,28.32505,26.98818,
135.1205,28.29904,26.97721,
135.0982,28.2738,26.97845,
135.0532,28.2268,27.01472,
135.0249,28.1705,27.08521,
134.9984,28.11685,27.34629,
134.9653,28.05334,27.48647,
134.9397,27.99171,27.61452,
134.9017,27.91639,27.69043,
134.871,27.83355,27.79784,
134.8267,27.75507,27.91357,
134.7835,27.66104,27.9811,
134.7343,27.57008,28.12873,
134.6937,27.48842,28.26796,
134.6547,27.4113,28.40825,
134.6068,27.3335,28.54647,
134.5597,27.24131,28.68052,
134.5309,27.17441,28.79103,
134.5072,27.12485,28.90529,
134.4973,27.09243,29.05015,
134.4984,27.06247,29.16897,
134.5073,27.03152,29.28679,
134.5094,27.01999,29.40345,
134.5126,27.00053,29.50986,
134.5135,26.9727,29.61046,
134.5265,26.96371,29.71313,
134.5218,26.94347,29.8061,
134.5298,26.93636,29.89926,
134.5382,26.90953,30.00636,
134.5529,26.90632,30.11124,
134.5791,26.89504,30.20243,
134.5851,26.89383,30.29295,
134.6156,26.90546,30.37553,
134.6465,26.91935,30.44881,
134.6678,26.93134,30.52743,
134.7046,26.96659,30.58669,
134.7367,26.99355,30.65269,
134.78,27.03238,30.70593,
134.8375,27.08531,30.85401,
134.8892,27.13792,30.90343,
134.9568,27.202,30.9416,
135.0182,27.26447,30.69199,
135.0957,27.33673,30.69986,
135.1474,27.39437,30.68021,
135.1828,27.45093,30.66108,
135.2201,27.50862,30.58259,
135.2566,27.57645,30.5107,
135.2884,27.63358,30.38141,
135.2876,27.68652,30.2888,
135.3005,27.73772,30.1513,
