user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.2962038,1.441495,-3.876983,2.05678,0,0,0,0,
0.2962038,1.441495,-3.876983,2.05678,0,0,0,0,
0.2969507,1.441719,-0.09999013,0.8645579,1.926185,0.5089116,-1.631942,1.193958,
0.2934107,1.452487,-0.09995389,0.8649254,1.926324,0.5092754,-1.470156,1.088697,
0.2921222,1.452786,-0.1000438,0.8649608,1.926335,0.509331,-1.458515,1.084305,
0.2919441,1.452802,-0.09991169,0.8648494,1.926453,0.5093007,-1.44902,1.082659,
0.2917947,1.45279,-0.1000991,0.8646461,1.926247,0.5088713,-1.430353,1.071778,
0.291652,1.452805,-0.1001441,0.864645,1.926225,0.508857,-1.418094,1.067427,
0.2913435,1.452757,-0.1001668,0.8646708,1.926179,0.5088425,-1.409151,1.066445,
0.2911519,1.45276,-0.1002846,0.8645537,1.926123,0.5087929,-1.391349,1.057373,
0.2907251,1.452885,-0.1004388,0.8647022,1.926049,0.50879,-1.378927,1.053369,
0.2905804,1.452919,-0.1001949,0.8648231,1.926071,0.5089993,-1.196388,1.019827,
0.2877434,1.449682,-0.1001334,0.8647016,1.926164,0.5089321,-1.181153,1.019391,
0.2876792,1.449193,-0.1001253,0.8647065,1.92608,0.5088158,-1.170955,1.019141,
0.2876799,1.448614,-0.1001861,0.8646965,1.926034,0.5088363,-1.160467,1.017435,
0.2875998,1.447989,-0.1001265,0.8646851,1.926067,0.508806,-1.151146,1.017103,
0.2876113,1.447288,-0.100121,0.8646765,1.926027,0.5087321,-1.141277,1.017032,
0.2875867,1.446665,-0.1001518,0.8646587,1.926019,0.5087271,-1.129199,1.013375,
0.2875564,1.446168,-0.0999949,0.864535,1.926243,0.5086191,-1.119649,1.011683,
0.2875537,1.445786,-0.09998035,0.8645047,1.926218,0.5085273,-1.109098,1.009846,
0.2875078,1.44548,-0.1000156,0.8644745,1.926173,0.5085037,-1.097133,1.005762,
0.2876802,1.445487,-0.1000009,0.8644648,1.926183,0.5084789,-1.088148,1.003981,
0.2876488,1.445356,-0.09992814,0.8644919,1.926432,0.5090573,-1.078349,1.002901,
0.2877368,1.44512,-0.1000426,0.8644116,1.926371,0.5091059,-1.066833,0.9988821,
0.2878723,1.445019,-0.09994364,0.8644794,1.926415,0.5091305,-1.058447,0.9977063,
0.2879365,1.444857,-0.1001136,0.8643835,1.926306,0.5088866,-1.049004,0.9977254,
0.2883509,1.444517,-0.100111,0.8643446,1.926326,0.5088992,-1.037213,0.9947593,
0.2884792,1.444554,-0.1000254,0.8645605,1.926221,0.5089788,-1.027898,0.9945242,
0.2882918,1.444584,-0.1000099,0.864542,1.926129,0.5088458,-1.018265,0.9955304,
0.2883937,1.444551,-0.1002247,0.8644247,1.92604,0.5088651,-1.005489,0.9929585,
0.2884585,1.44452,-0.1001477,0.8646852,1.92604,0.5088637,-0.995436,0.992458,
0.2883493,1.444526,-0.100414,0.8645324,1.926012,0.5088656,-0.9863572,0.9938986,
0.2885667,1.444381,-0.1004467,0.8645267,1.926012,0.5088704,-0.9736087,0.9906881,
0.2886539,1.444312,-0.1009953,0.8650193,1.92601,0.5088465,-0.9647067,0.9904635,
