pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.580588,4.420486,1.580588,0,4.507173,0,
1.580588,4.420486,1.580588,0,4.507173,0,
1.800908,0.9766678,1.580495,1.983755,1.637246,0,
1.850927,1.025733,1.57291,1.737987,1.16168,1.47734,
1.856035,1.040829,1.574605,1.737909,1.163919,1.473454,
1.856521,1.042638,1.574586,1.737766,1.166111,1.46962,
1.857256,1.044513,1.574774,1.73829,1.168675,1.465492,
1.859728,1.050423,1.574965,1.739724,1.175787,1.452287,
1.861282,1.054782,1.575059,1.742606,1.181191,1.442348,
1.861435,1.054803,1.574948,1.743405,1.181405,1.442008,
1.862047,1.056877,2.859517,1.829674,1.200536,2.99056,
1.874827,1.0928,2.882391,1.837273,1.200035,2.984501,
1.875529,1.094833,2.884763,1.844843,1.198963,2.978445,
1.876401,1.096748,2.886647,1.852363,1.198243,2.972448,
1.876996,1.098639,2.888493,1.859892,1.197019,2.96563,
1.877633,1.100537,2.890555,1.867659,1.195545,2.958425,
1.878625,1.10242,2.89304,1.875143,1.194342,2.952295,
1.879192,1.104427,2.895332,1.883189,1.193662,2.945572,
1.879891,1.106193,2.897243,1.890854,1.19209,2.937989,
1.880818,1.108103,2.900533,1.898435,1.190819,2.931942,
1.88214,1.11024,2.902978,1.906031,1.18944,2.924954,
1.883034,1.112174,2.905294,1.914085,1.188051,2.917165,
1.883814,1.113986,2.909012,1.920734,1.186353,2.911374,
1.884862,1.115902,2.911505,1.927099,1.185168,2.905048,
1.885613,1.117715,2.916862,1.932324,1.184383,2.902424,
1.886092,1.119434,2.920272,1.938186,1.183426,2.896983,
1.887059,1.121335,2.922712,1.941861,1.183163,2.893114,
1.88793,1.123215,2.924811,1.946134,1.182594,2.887971,
1.888875,1.124965,2.927507,1.947952,1.183138,2.886692,
1.889794,1.126665,2.929609,1.949521,1.183295,2.884603,
1.890706,1.12839,2.931522,1.950186,1.184431,2.884146,
1.891582,1.129851,2.934065,1.950288,1.186528,2.885923,
1.892479,1.131414,2.935884,1.9502,1.187536,2.885993,
1.89327,1.132999,2.937299,1.948716,1.18961,2.888088,
1.894053,1.13431,2.938607,1.947486,1.191669,2.890076,
1.895082,1.135696,2.939945,1.945056,1.192369,2.892154,
1.89609,1.137051,2.939131,1.943685,1.193921,2.892329,
1.897064,1.138208,2.940337,1.941824,1.194377,2.8941,
1.898226,1.139223,2.941247,1.940471,1.194803,2.895299,
1.899417,1.14023,2.940587,1.938772,1.195337,2.895896,
1.90063,1.141,2.941888,1.936501,1.195394,2.898326,
1.902037,1.141865,2.942516,1.9346,1.195162,2.900169,
1.903363,1.142653,2.942255,1.932128,1.194848,2.901521,
1.904874,1.143443,2.943127,1.930575,1.193618,2.90251,
1.906525,1.144382,2.943764,1.928659,1.192335,2.903457,
1.908317,1.145434,2.943704,1.927058,1.191029,2.903553,
1.910114,1.146355,2.944139,1.925541,1.188937,2.903389,
1.911978,1.147225,2.944582,1.925016,1.187068,2.902922,
1.913593,1.148037,2.94426,1.92417,1.185052,2.901802,
1.914885,1.148523,2.944839,1.922858,1.183314,2.902032,
