chair to collider angle,table to collider angle,audience to collider angle,


93.62638,82.60679,93.62638,
93.62638,82.60679,93.62638,
102.0638,26.35427,93.69514,
142.3591,86.73981,73.35804,
147.173,91.85109,77.58726,
147.7657,92.43019,78.13141,
148.3392,93.00269,78.67052,
150.1489,95.02098,80.3694,
151.0627,96.19403,81.24194,
150.946,96.11382,81.13338,
151.288,96.57706,57.71093,
153.8106,101.7605,62.54471,
153.7959,101.9973,62.80529,
153.764,102.2273,63.07744,
153.673,102.4375,63.30644,
153.5772,102.6438,63.54217,
153.482,102.8881,63.83963,
153.3394,103.1739,64.15767,
153.1774,103.4867,64.47646,
153.0059,103.8639,64.9265,
152.8136,104.2811,65.3567,
152.628,104.6762,65.76614,
152.4213,105.0985,66.28563,
152.1703,105.5264,66.74438,
151.9387,105.95,67.35905,
151.6888,106.3926,67.91068,
151.4558,106.9381,68.49277,
151.2569,107.4641,69.04241,
151.0534,108.0421,69.67032,
150.8699,108.6603,70.30978,
150.6542,109.2587,70.92919,
150.4243,109.8536,71.59389,
150.194,110.4171,72.1866,
150.0045,110.9325,72.7109,
149.8467,111.3954,73.17768,
149.7108,111.8051,73.5875,
149.6122,112.1905,73.85088,
149.5376,112.5455,74.18237,
149.5025,112.8917,74.47668,
149.4808,113.2587,74.70448,
149.4653,113.6221,75.02219,
149.4514,113.9784,75.30426,
149.4987,114.3538,75.51563,
149.5811,114.7355,75.7967,
149.6615,115.1596,76.10234,
149.7518,115.6017,76.38106,
149.8423,116.0954,76.73748,
149.8748,116.591,77.1126,
149.844,117.0395,77.43129,
149.7338,117.4646,77.80134,
149.5434,117.8546,78.12527,
149.2986,118.1894,78.39205,
148.9988,118.5214,78.69471,
148.7487,118.8204,78.95157,
148.5659,119.1299,79.16662,
148.453,119.3558,79.2992,
148.4225,119.5365,79.34382,
148.4994,119.6724,79.32619,
148.661,119.7013,79.15343,
148.9357,119.6456,78.86337,
149.3695,119.3866,78.33239,
149.9223,118.9265,77.58224,
150.5223,118.3262,76.65837,
151.1537,117.6038,75.62638,
151.7811,116.6751,74.39068,
152.3979,115.5328,72.93472,
153.5807,112.9807,69.77139,
154.0889,111.4784,67.95013,
154.6036,109.966,66.11137,
155.021,108.3743,64.18565,
155.2875,106.6742,62.15614,
155.4202,104.8941,60.07318,
155.5205,103.2009,58.02445,
155.5257,101.4257,55.89782,
155.3185,99.64503,53.78643,
154.953,97.82639,51.63629,
154.4978,96.00581,49.52946,
153.9561,94.2081,47.38208,
153.294,92.41059,45.23676,
152.527,90.63175,43.10645,
151.678,88.88496,41.00731,
150.7896,87.20483,38.99781,
149.8904,85.60378,37.07563,
149.0404,84.12331,35.27497,
148.2059,82.78,33.62431,
147.3992,81.51028,32.06992,
146.6253,80.32959,30.62418,
145.9097,79.26389,29.2987,
145.1231,78.18175,28.00344,
144.3459,77.16174,26.78356,
143.5171,76.12969,25.58123,
142.6513,75.09119,24.39272,
141.8129,74.12639,23.28417,
141.0202,73.36752,22.3327,
140.2303,72.4939,21.33755,
139.5,71.71596,20.46763,
138.8044,70.88385,19.61839,
138.1485,70.20107,18.8903,
137.5574,69.54333,18.24217,
137.021,68.91614,17.62644,
