user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.1694938,1.434797,-3.876983,2.05678,0,0,0,0,
0.1694938,1.434797,-3.876983,2.05678,0,0,0,0,
0.1691736,1.434599,-0.06324339,0.856861,1.699103,0.5161469,0,0,
0.1324267,1.454793,-0.06291533,0.856995,1.699365,0.5165489,0,0,
0.1334604,1.461841,-0.06301141,0.8569616,1.699287,0.5161614,0,0,
0.1336489,1.462494,-0.06299996,0.8569771,1.699269,0.5161016,0,0,
0.1336871,1.463325,-0.06293893,0.8569349,1.699295,0.5160217,0,0,
0.1334938,1.465743,-0.06301212,0.8568692,1.699178,0.515712,0,0,
0.1335594,1.467433,-0.06283522,0.856725,1.699221,0.5157132,0,0,
0.133384,1.467389,-0.06285977,0.856724,1.699208,0.5156839,0,0,
0.1334327,1.467927,-0.06307316,0.8567461,1.699167,0.5157859,-2.092929,0.7115049,
0.1283408,1.467484,-0.06309938,0.8567556,1.699165,0.5158095,-2.093772,0.7123082,
0.1280232,1.467223,-0.06309581,0.8567789,1.699143,0.5157406,-2.094354,0.7121677,
0.1273968,1.466806,-0.06308961,0.8567654,1.699142,0.5157244,-2.093906,0.7111735,
0.1269013,1.466256,-0.06318712,0.8568702,1.699049,0.5158176,-2.09494,0.7122638,
0.1265118,1.465716,-0.06319761,0.8568944,1.699046,0.5158222,-2.09575,0.7129085,
0.1257402,1.465281,-0.06318903,0.8569075,1.699036,0.5158055,-2.095798,0.7119,
0.1251175,1.464758,-0.06343389,0.8571515,1.698747,0.5159838,-2.097329,0.7132261,
0.1247291,1.464455,-0.06342387,0.8571516,1.698726,0.516016,-2.099497,0.7158024,
0.1240201,1.464128,-0.06341362,0.8571585,1.69867,0.5160193,-2.100212,0.7143211,
0.1233173,1.463834,-0.06325531,0.857007,1.69894,0.515913,-2.102283,0.7162075,
0.1227884,1.463548,-0.06330609,0.8569329,1.698904,0.515831,-2.104706,0.7190411,
0.122243,1.463096,-0.06330872,0.856936,1.698893,0.5158167,-2.105388,0.7175198,
0.1216187,1.462647,-0.06320071,0.8568525,1.699049,0.5157442,-2.107607,0.7200377,
0.1211579,1.462217,-0.06316543,0.8568836,1.699133,0.5158517,-2.10647,0.7149,
0.1208896,1.461619,-0.06315565,0.8568898,1.699149,0.5158546,-2.107053,0.7146094,
0.1202675,1.46126,-0.0630672,0.8567971,1.699215,0.5158501,-2.108894,0.716928,
0.1197926,1.461007,-0.06306624,0.8567566,1.699177,0.5157232,-2.110819,0.7198131,
0.1191472,1.460752,-0.06304693,0.8567502,1.699186,0.5157356,-2.112149,0.7211134,
0.1185007,1.460467,-0.06304812,0.8567449,1.699184,0.5157423,-2.113847,0.7236819,
0.1179557,1.46027,-0.06304288,0.8567588,1.699202,0.5157099,-2.1157,0.7267516,
0.1173019,1.459974,-0.06306958,0.8567491,1.699212,0.5157239,-2.116439,0.7275484,
0.1165764,1.459714,-0.06307864,0.8567375,1.699145,0.5157554,-2.117954,0.7302155,
0.1161674,1.459648,-0.0629642,0.856818,1.699185,0.5157859,-2.119479,0.7339258,
0.1155469,1.45927,-0.06295753,0.8567896,1.6992,0.5158117,-2.120972,0.737361,
