chair to collider angle,table to collider angle,audience to collider angle,


84.66174,38.86699,84.66174,
84.66174,38.86699,84.66174,
143.7107,63.15353,12.59501,
146.2393,62.69296,11.75215,
141.361,54.41976,8.899936,
140.9582,53.81072,8.986906,
140.5952,53.28973,9.102304,
139.5901,51.83411,9.64995,
139.1805,51.26585,9.960084,
139.3192,51.45403,9.858398,
139.1752,51.26268,10.6188,
139.3126,51.59732,10.32605,
139.2644,51.60664,10.24029,
139.242,51.6324,10.14635,
139.1947,51.65873,10.05289,
139.1763,51.70197,9.965236,
139.1725,51.75764,9.891057,
139.1399,51.8055,9.796532,
139.1148,51.85958,9.692377,
139.1004,51.91894,9.570045,
139.0426,51.97846,9.428963,
139.033,52.05643,9.287302,
139.0547,52.1671,9.142477,
139.0576,52.28152,8.971962,
139.0665,52.41453,8.814833,
139.0971,52.55331,8.644451,
139.1048,52.68291,8.472155,
139.1024,52.80044,8.297088,
139.1153,52.93768,8.107286,
139.1083,53.06244,7.912866,
139.1077,53.21444,7.695365,
139.13,53.38568,7.490853,
139.1403,53.57091,7.265228,
139.1617,53.77037,7.019342,
139.188,53.98505,6.751337,
139.1734,54.21095,6.443634,
139.1666,54.43458,6.128295,
139.1459,54.65795,5.789973,
139.1063,54.88115,5.445861,
139.0593,55.12803,5.078213,
138.9978,55.38953,4.659342,
138.9027,55.65778,4.218212,
138.7824,55.92255,3.742614,
138.6558,56.20513,3.258405,
138.4771,56.48058,2.737095,
138.2863,56.78931,2.209569,
138.1121,57.12215,1.751448,
137.9158,57.50037,1.436404,
137.7542,57.9479,1.471932,
137.6429,58.46871,1.880239,
137.5494,59.04052,2.502489,
137.5075,59.69444,3.245522,
137.5336,60.44411,4.08792,
137.5774,61.28484,5.015439,
137.6667,62.18294,5.993059,
137.751,63.11048,7.004207,
137.8084,64.07627,8.03336,
137.8699,64.99792,9.01465,
137.9491,65.92455,9.980854,
137.9676,66.85773,10.92849,
138.0175,67.74325,11.83455,
138.0401,68.59827,12.71906,
137.9987,69.35881,13.50885,
137.9314,70.03416,14.22176,
137.8562,70.64149,14.86153,
137.7452,71.17608,15.42277,
137.6016,71.60562,15.8921,
137.4648,72.05778,16.38051,
137.2878,72.41399,16.7742,
137.1109,72.73587,17.13541,
136.9263,73.00039,17.44384,
136.7482,73.23291,17.70445,
136.6274,73.37626,17.83851,
136.5352,73.51635,17.96348,
136.4498,73.63612,18.05183,
136.402,73.73805,18.09993,
136.41,73.81453,18.10355,
136.3688,73.90269,18.12679,
136.3622,73.95688,18.09869,
136.3415,73.99784,18.07036,
136.2789,74.01535,18.02851,
136.2265,73.98969,17.93981,
136.1646,73.9579,17.85,
136.0597,73.90691,17.74758,
135.9351,73.83913,17.64407,
135.808,73.7726,17.54848,
135.6297,73.70518,17.46615,
135.4629,73.66299,17.4167,
135.2833,73.61996,17.36857,
135.1019,73.58968,17.32642,
134.9106,73.55201,17.29,
134.7341,73.51673,17.24749,
134.543,73.48408,17.20304,
134.3522,73.44597,17.16844,
134.1601,73.44187,17.16213,
133.9355,73.44952,17.18392,
133.7217,73.45909,17.22147,
133.5295,73.48453,17.2584,
133.3296,73.52186,17.29722,
