user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.219414,1.44348,-3.876983,2.05678,0,0,0,0,
0.219414,1.44348,-3.876983,2.05678,0,0,0,0,
0.2196009,1.443571,-0.05570126,0.8566364,1.726514,0.509908,-1.929106,1.050509,
0.1671043,1.447564,-0.05579424,0.8566966,1.726611,0.5099344,-1.946974,1.046515,
0.1723772,1.444147,-0.05584311,0.8567259,1.726616,0.5099039,-1.949417,1.046227,
0.1727586,1.443912,-0.05591321,0.8567585,1.726701,0.5102446,-1.951692,1.045909,
0.173044,1.44372,-0.05581951,0.8569137,1.726698,0.510226,-1.954062,1.045512,
0.1740682,1.443187,-0.05579758,0.8570205,1.726608,0.5102005,-1.96173,1.044945,
0.1744375,1.443001,-0.0557704,0.8569348,1.726441,0.5098526,-1.966813,1.045179,
0.1745014,1.443123,-0.0558207,0.8569654,1.726565,0.5101876,-1.966637,1.045376,
0.1746891,1.443015,-0.05575752,0.8567261,1.726602,0.5101368,-2.006502,1.04385,
0.1737714,1.443378,-0.05586982,0.8567387,1.726756,0.5104764,-2.006591,1.043953,
0.1737424,1.443252,-0.05587173,0.8567325,1.726558,0.5101273,-2.006779,1.044097,
0.1736039,1.44308,-0.05590391,0.8567454,1.726685,0.5103669,-2.007139,1.044055,
0.1733602,1.4431,-0.05595016,0.8568182,1.726532,0.5100474,-2.007789,1.043887,
0.1732865,1.443009,-0.05593276,0.8567773,1.726532,0.5100815,-2.008853,1.043577,
0.1732095,1.442942,-0.05562806,0.8569816,1.72667,0.510308,-2.010676,1.043064,
0.1729837,1.442907,-0.05557466,0.8569781,1.726567,0.510088,-2.012749,1.042446,
0.1728679,1.442787,-0.05546427,0.8568981,1.726562,0.5101073,-2.015351,1.041618,
0.1726394,1.442596,-0.05552483,0.8569396,1.726706,0.5103486,-2.018077,1.040816,
0.1722286,1.442647,-0.05572629,0.8567312,1.726532,0.5099809,-2.020796,1.039923,
0.1720659,1.442559,-0.05588078,0.8568914,1.726544,0.5099895,-2.023574,1.03962,
0.1716957,1.442347,-0.05597377,0.856861,1.726469,0.5103276,-2.026093,1.039338,
0.1715507,1.442235,-0.05599093,0.8568519,1.726454,0.5103452,-2.028339,1.039114,
0.1713305,1.442132,-0.05587697,0.8566884,1.726309,0.510092,-2.030248,1.038705,
0.1709709,1.441933,-0.05581164,0.8567361,1.726713,0.5102696,-2.031991,1.038776,
0.1706991,1.441837,-0.05582404,0.8567243,1.726607,0.5100479,-2.033593,1.038987,
0.170444,1.441705,-0.05581546,0.8566983,1.726626,0.5100603,-2.035192,1.039392,
0.1701873,1.441552,-0.05573964,0.8566442,1.726784,0.5103416,-2.036699,1.039793,
0.1699877,1.441392,-0.05572987,0.8565857,1.726787,0.5103416,-2.038039,1.040087,
0.1697373,1.441235,-0.05583096,0.8566725,1.72666,0.5100567,-2.039661,1.040405,
0.1696693,1.441233,-0.05561066,0.8568944,1.726749,0.5103824,-2.041122,1.040546,
0.1693753,1.441103,-0.05553627,0.8569039,1.726606,0.5101197,-2.042826,1.040515,
0.1690605,1.440933,-0.0555675,0.8569673,1.726605,0.5101626,-2.044616,1.040631,
