pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.463774,4.312873,1.463774,0,4.507173,0,
1.463774,4.312873,1.463774,0,4.507173,0,
2.012416,1.910321,2.770712,2.076847,2.193515,2.953538,
2.03697,1.889545,2.742005,1.99288,1.731467,2.581758,
2.03622,1.887185,2.740579,1.992334,1.733109,2.583192,
2.036128,1.886953,2.740267,1.991804,1.734028,2.584085,
2.035822,1.88662,2.740078,1.991137,1.734878,2.585091,
2.036011,1.886503,2.740022,1.991291,1.735442,2.585568,
2.03592,1.886294,2.739925,1.990706,1.735904,2.586279,
2.035498,1.886076,2.740106,1.990474,1.736631,2.587012,
2.035555,1.8859,2.740252,1.989784,1.736999,2.588034,
2.035455,1.885655,2.763671,1.98092,1.739634,2.619044,
2.033091,1.883335,2.764367,1.981152,1.739743,2.619401,
2.032941,1.883134,2.765259,1.980759,1.739707,2.620415,
2.032886,1.88309,2.76596,1.980627,1.73985,2.621207,
2.032564,1.882801,2.768979,1.980001,1.740233,2.624883,
2.032238,1.882509,2.771553,1.98009,1.74045,2.627724,
2.032247,1.882657,2.771775,1.979967,1.740464,2.627985,
2.03218,1.88249,2.77288,1.979924,1.740766,2.629465,
2.03195,1.882443,2.774211,1.980319,1.74101,2.63068,
2.031933,1.882356,2.775449,1.9799,1.741463,2.632598,
2.031839,1.882256,2.776824,1.980056,1.741962,2.634383,
2.031767,1.882214,2.778325,1.980533,1.742255,2.635839,
2.031816,1.882144,2.779915,1.980527,1.742699,2.637953,
2.031781,1.882041,2.781591,1.980538,1.742992,2.639923,
2.031713,1.882014,2.783361,1.980997,1.743076,2.641426,
2.031802,1.881859,2.785055,1.980878,1.743221,2.643585,
2.031796,1.881798,2.786465,1.980757,1.743451,2.645432,
2.031884,1.881736,2.787704,1.980901,1.743661,2.646914,
2.032013,1.881548,2.789175,1.980378,1.743735,2.649188,
2.032046,1.881467,2.790977,1.980281,1.743977,2.651389,
2.031919,1.881305,2.793015,1.980707,1.744146,2.653296,
2.032084,1.881123,2.795162,1.980429,1.74425,2.655943,
2.032128,1.880996,2.797185,1.980384,1.744514,2.658293,
2.03206,1.880913,2.799222,1.981158,1.744643,2.659778,
2.032157,1.880689,2.800941,1.980634,1.74482,2.662132,
2.032236,1.880422,2.801828,1.980551,1.744931,2.663227,
2.032158,1.880193,2.802812,1.980678,1.74518,2.664271,
2.032213,1.879936,2.803926,1.979845,1.745493,2.666261,
2.032387,1.879647,2.804415,1.979481,1.745982,2.667521,
2.032452,1.879492,2.805376,1.979403,1.746536,2.668956,
2.03255,1.879129,2.806138,1.978936,1.747487,2.670913,
2.032627,1.878833,2.806688,1.97877,1.748259,2.672254,
2.032791,1.87852,2.806676,1.979234,1.748867,2.672543,
2.032904,1.877977,2.806058,1.97865,1.749442,2.67312,
2.03296,1.877555,2.805879,1.978699,1.750137,2.673599,
2.033154,1.877102,2.805155,1.979447,1.750776,2.673121,
2.033208,1.87671,2.804126,1.979405,1.751509,2.67283,
2.033772,1.876223,2.802968,1.979474,1.752304,2.672717,
2.033757,1.875744,2.802144,1.979873,1.753033,2.672388,
