user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.1929872,1.428435,-3.876983,2.05678,0,0,0,0,
0.1929872,1.428435,-3.876983,2.05678,0,0,0,0,
0.1928732,1.428464,-0.0351553,0.7970283,1.972283,0.5020673,-1.859951,0.9989891,
0.1678085,1.437139,-0.03508329,0.7972095,1.972491,0.5024645,-1.865604,1.001495,
0.1683368,1.437485,-0.03515148,0.7972629,1.972253,0.5025926,-1.865916,1.002229,
0.1683597,1.437473,-0.03518486,0.79726,1.972139,0.5024838,-1.865823,1.002396,
0.1686028,1.43736,-0.03516006,0.7972534,1.97211,0.5024571,-1.865829,1.002512,
0.1686756,1.43734,-0.03526926,0.7973335,1.97238,0.5023584,-1.865817,1.002419,
0.1687258,1.4373,-0.03535032,0.7973349,1.972295,0.502223,-1.865825,1.002262,
0.1690902,1.437091,-0.03533244,0.7972956,1.972288,0.5021923,-1.865852,1.001864,
0.1690991,1.437006,-0.03545809,0.7973783,1.972383,0.5021443,-1.866111,1.001584,
0.1691404,1.436965,-0.03547502,0.7971098,1.972437,0.5022607,-1.893672,0.9986411,
0.1717559,1.437469,-0.03546667,0.7970603,1.97236,0.5023105,-1.894596,0.9981303,
0.1720144,1.437658,-0.03554344,0.7973337,1.972367,0.5023134,-1.895753,0.9978404,
0.1720892,1.437696,-0.03551316,0.7972991,1.972277,0.5021398,-1.896881,0.9975514,
0.1724966,1.437844,-0.03538752,0.7972746,1.972252,0.5020859,-1.901633,0.9974749,
0.1728534,1.437653,-0.03533673,0.7972333,1.9723,0.5019798,-1.905107,0.9979587,
0.1728733,1.437673,-0.03545427,0.7973244,1.972308,0.5019863,-1.905281,0.9982827,
0.1729164,1.437667,-0.03549623,0.7973595,1.972269,0.5019457,-1.906941,0.9984725,
0.1731157,1.437547,-0.03547263,0.7973268,1.972261,0.5019231,-1.908741,0.9988049,
0.1732308,1.437577,-0.03543997,0.7974038,1.972302,0.5018613,-1.910468,0.9990065,
0.1732678,1.437549,-0.03541756,0.7973776,1.972337,0.5020223,-1.912493,0.9996027,
0.1732987,1.437517,-0.03539491,0.7973778,1.972315,0.5020285,-1.914565,0.9999743,
0.1732317,1.4374,-0.03533578,0.7972929,1.972349,0.5019979,-1.9168,1.000323,
0.1732248,1.437344,-0.03531504,0.7972665,1.972321,0.5019627,-1.918886,1.00034,
0.1732741,1.437237,-0.03529716,0.7972586,1.972334,0.5019441,-1.920913,1.000236,
0.1732128,1.437146,-0.03524303,0.7972233,1.972413,0.5019228,-1.923038,1.000454,
0.1731757,1.437066,-0.0352211,0.7972112,1.972501,0.5020959,-1.925013,1.000878,
0.1729613,1.437091,-0.03520107,0.7971802,1.972415,0.5021296,-1.926895,1.001175,
0.1727635,1.436939,-0.03528023,0.7972016,1.972455,0.5021474,-1.929173,1.001739,
0.1726848,1.43687,-0.03534508,0.7971625,1.972462,0.5021658,-1.931546,1.001883,
0.1727104,1.436774,-0.0353303,0.7971358,1.972418,0.5021818,-1.934085,1.001762,
0.172495,1.436669,-0.03541374,0.7971771,1.972444,0.5021694,-1.936605,1.00135,
0.1723772,1.436618,-0.03541875,0.7971563,1.972458,0.5022585,-1.939081,1.000967,
