pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.569415,4.022611,1.569415,0,4.507173,0,
1.569415,4.022611,1.569415,0,4.507173,0,
1.569445,4.022571,1.569445,0,4.507173,0,
1.587878,4.009941,1.587878,0.7344167,4.296261,0.7344167,
1.587822,4.010675,1.587822,0.7339646,4.296216,0.7339646,
1.587823,4.010812,1.587823,0.7342441,4.296436,0.7342441,
1.587797,4.010937,1.587797,0.7342815,4.296515,0.7342815,
1.587782,4.011163,1.587782,0.7340509,4.296606,0.7340509,
1.587814,4.011035,1.587814,0.7332745,4.295898,0.7332745,
1.587804,4.011009,1.587804,0.7319885,4.295787,0.7319885,
1.586831,4.012033,1.586831,0.732119,4.296028,0.732119,
1.586718,4.012108,1.586718,0.7323177,4.295827,0.7323177,
1.586618,4.012227,1.586618,0.7325487,4.296186,0.7325487,
1.586436,4.012451,1.586436,0.7326079,4.296327,0.7326079,
1.586259,4.012477,1.586259,0.732807,4.296827,0.732807,
1.586137,4.012593,1.586137,0.7331221,4.297309,0.7331221,
1.585844,4.012831,1.585844,0.7331645,4.297454,0.7331645,
1.585688,4.013,1.585688,0.733154,4.297951,0.733154,
1.585461,4.013109,1.585461,0.7331864,4.298107,0.7331864,
1.585344,4.013078,1.585344,0.7333312,4.298312,0.7333312,
1.585139,4.013259,1.585139,0.7333981,4.298067,0.7333981,
1.584911,4.013433,1.584911,0.7334353,4.298142,0.7334353,
1.584637,4.013708,1.584637,0.7339789,4.298673,0.7339789,
1.584379,4.013826,1.584379,0.7338474,4.298788,0.7338474,
1.584118,4.014036,1.584118,0.7339057,4.298897,0.7339057,
1.583775,4.014331,1.583775,0.734374,4.299323,0.734374,
1.583557,4.01468,1.583557,0.7341555,4.299413,0.7341555,
1.583246,4.014886,1.583246,0.7341968,4.299498,0.7341968,
1.582981,4.014976,1.582981,0.7344073,4.299616,0.7344073,
1.582626,4.015234,1.582626,0.7339795,4.298987,0.7339795,
1.582225,4.015478,1.582225,0.7343306,4.299304,0.7343306,
1.581688,4.01582,1.581688,0.7343719,4.299393,0.7343719,
1.581173,4.015982,1.581173,0.7344149,4.299439,0.7344149,
1.580716,4.016252,1.580716,0.7338604,4.299289,0.7338604,
1.58012,4.01663,1.58012,0.7342077,4.299635,0.7342077,
1.579695,4.017062,1.579695,0.7335908,4.299389,0.7335908,
1.57916,4.01735,1.57916,0.7341232,4.299969,0.7341232,
1.57866,4.017563,1.57866,0.7342309,4.300138,0.7342309,
1.578057,4.017873,1.578057,0.7336915,4.299443,0.7336915,
1.577468,4.018189,1.577468,0.7341413,4.2999,0.7341413,
1.576791,4.018746,1.576791,0.7342463,4.3001,0.7342463,
1.57628,4.019151,1.57628,0.7335796,4.299821,0.7335796,
1.575799,4.019522,1.575799,0.7336646,4.300051,0.7336646,
1.575234,4.019848,1.575234,0.7342051,4.300705,0.7342051,
1.574662,4.020199,1.574662,0.7337583,4.30021,0.7337583,
1.57408,4.020565,1.57408,0.7338837,4.300412,0.7338837,
1.573535,4.02079,1.573535,0.734426,4.30099,0.734426,
1.572987,4.021161,1.572987,0.7339481,4.300635,0.7339481,
