chair to collider angle,table to collider angle,audience to collider angle,


92.9155,168.919,92.9155,
92.9155,168.919,92.9155,
92.92629,168.9126,92.92629,
108.8647,151.7199,108.8647,
108.7219,151.8917,108.7219,
108.7231,151.8931,108.7231,
108.7149,151.8975,108.7149,
108.6585,151.9555,108.6585,
108.6295,151.9712,108.6295,
108.647,151.9564,108.647,
107.6358,152.9168,107.6358,
107.5505,152.9984,107.5505,
107.4562,153.0865,107.4562,
107.3491,153.1919,107.3491,
107.2299,153.2984,107.2299,
107.1001,153.4145,107.1001,
106.9595,153.5428,106.9595,
106.79,153.6912,106.79,
106.5865,153.8702,106.5865,
106.3593,154.062,106.3593,
106.1391,154.2572,106.1391,
105.9243,154.4379,105.9243,
105.7267,154.6135,105.7267,
105.5301,154.7752,105.5301,
105.3376,154.9333,105.3376,
105.1012,155.1357,105.1012,
104.8474,155.3529,104.8474,
104.5659,155.5957,104.5659,
104.2473,155.8646,104.2473,
103.8967,156.1677,103.8967,
103.5348,156.4883,103.5348,
103.166,156.8149,103.166,
102.7529,157.1664,102.7529,
102.3336,157.5348,102.3336,
101.9303,157.8923,101.9303,
101.5042,158.2697,101.5042,
101.0614,158.6462,101.0614,
100.6161,159.019,100.6161,
100.1301,159.4277,100.1301,
99.64613,159.8276,99.64613,
99.18149,160.216,99.18149,
98.73513,160.5758,98.73513,
98.32204,160.9085,98.32204,
97.94623,161.199,97.94623,
97.53925,161.5119,97.53925,
97.11766,161.825,97.11766,
96.66553,162.1722,96.66553,
96.21339,162.5111,96.21339,
95.76244,162.8486,95.76244,
95.34771,163.1634,95.34771,
94.95481,163.4438,94.95481,
94.58625,163.707,94.58625,
94.2148,163.9677,94.2148,
93.83208,164.2494,93.83208,
93.43162,164.5347,93.43162,
92.98161,164.8623,92.98161,
92.52332,165.1895,92.52332,
92.08844,165.5008,92.08844,
91.69691,165.7706,91.69691,
91.34356,166.0116,91.34356,
90.98397,166.2472,90.98397,
90.60819,166.4737,90.60819,
90.1916,166.7316,90.1916,
89.74842,167.0089,89.74842,
89.26404,167.2977,89.26404,
88.78472,167.5706,88.78472,
88.30354,167.8392,88.30354,
87.78201,168.1024,87.78201,
87.21186,168.3863,87.21186,
86.59212,168.6633,86.59212,
85.91129,168.9522,85.91129,
85.18517,169.2053,85.18517,
84.38371,169.4447,84.38371,
83.60446,169.6111,83.60446,
82.80866,169.7233,82.80866,
82.01776,169.7868,82.01776,
81.19103,169.7944,81.19103,
80.32146,169.7341,80.32146,
79.3503,169.5919,79.3503,
78.37034,169.3562,78.37034,
77.30131,169.0183,77.30131,
76.20766,168.5725,76.20766,
75.04958,168.0089,75.04958,
73.8258,167.3254,73.8258,
72.54286,166.5311,72.54286,
71.23941,165.658,71.23941,
69.8006,164.6104,69.8006,
68.28835,163.4554,68.28835,
66.68366,162.1712,66.68366,
65.01772,160.7795,65.01772,
63.41565,159.4068,63.41565,
61.88171,158.0777,61.88171,
60.47947,156.7937,60.47947,
59.15369,155.5831,59.15369,
57.84842,154.4108,57.84842,
56.47212,153.1179,56.47212,
54.96359,151.7191,54.96359,
53.42122,150.2941,53.42122,
51.97951,148.964,51.97951,
50.75695,147.8375,50.75695,
