pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.60615,4.196343,1.60615,0,4.507173,0,
1.60615,4.196343,1.60615,0,4.507173,0,
1.606099,2.604182,2.848268,0,2.717113,3.00081,
1.578775,2.504094,2.655597,0.7195684,2.491271,2.543626,
1.584234,2.492579,2.620477,0.719281,2.490201,2.535824,
1.584966,2.491795,2.612156,0.7188774,2.489403,2.528898,
1.585609,2.490999,2.603643,0.7188737,2.488386,2.521338,
1.586299,2.490327,2.595498,0.7188048,2.487354,2.514171,
1.588351,2.488333,2.571861,0.7186645,2.484285,2.493356,
1.588172,2.488492,2.57266,0.7186508,2.484245,2.493968,
1.588594,2.487743,2.534593,0.7168,2.471229,2.420356,
1.58916,2.476859,2.504705,0.7167358,2.47122,2.417391,
1.588376,2.474766,2.500134,0.7160344,2.471446,2.413935,
1.586696,2.471678,2.491884,0.7152577,2.472231,2.406917,
1.585485,2.469132,2.485769,0.7140743,2.473701,2.404385,
1.584488,2.466065,2.479855,0.7121609,2.474741,2.40385,
1.583378,2.46285,2.474204,0.710711,2.475836,2.40585,
1.582247,2.459693,2.470345,0.7091168,2.476495,2.409802,
1.582451,2.459554,2.470698,0.7091649,2.476094,2.410976,
1.582008,2.457879,2.467996,0.7084851,2.476094,2.411869,
1.581425,2.456456,2.464176,0.707635,2.475781,2.411831,
1.581063,2.455004,2.460771,0.706997,2.475588,2.41184,
1.58061,2.453607,2.457584,0.706573,2.475139,2.411412,
1.580124,2.452347,2.454684,0.7057623,2.474512,2.411548,
1.579395,2.44866,2.446811,0.7043197,2.472965,2.411634,
1.579155,2.446907,2.444925,0.7034599,2.472243,2.413851,
1.57924,2.447233,2.446355,0.7035046,2.472413,2.414605,
1.579114,2.446321,2.446455,0.7041014,2.472565,2.41496,
1.579054,2.445529,2.445452,0.7040863,2.473093,2.415047,
1.578908,2.444953,2.444392,0.7036571,2.47362,2.415152,
1.578807,2.444163,2.44357,0.7024702,2.474571,2.416408,
1.578729,2.443518,2.443145,0.7019795,2.474937,2.417091,
1.578622,2.441948,2.441262,0.7020352,2.475628,2.417136,
1.578847,2.441176,2.441161,0.7006596,2.476115,2.419299,
1.579069,2.441411,2.441512,0.7006087,2.476036,2.419379,
1.578893,2.441079,2.441567,0.700143,2.4762,2.420439,
1.578899,2.440669,2.441412,0.6994925,2.476494,2.422274,
1.578817,2.440684,2.441075,0.699239,2.476744,2.423058,
1.578874,2.44044,2.440474,0.698095,2.477117,2.424346,
1.578588,2.439721,2.43993,0.6966037,2.478851,2.429063,
1.578164,2.439683,2.441407,0.695789,2.480521,2.434303,
1.577726,2.439197,2.44309,0.6948578,2.482635,2.441132,
1.577277,2.438844,2.446352,0.6941959,2.484915,2.449459,
1.576851,2.438565,2.449903,0.6937784,2.487331,2.457331,
1.576488,2.438198,2.453924,0.6931592,2.489936,2.46517,
1.576278,2.438088,2.458366,0.692547,2.492368,2.47215,
1.576038,2.43814,2.4586,0.6926298,2.492431,2.471663,
1.57581,2.438319,2.460387,0.6919254,2.493937,2.47492,
1.57555,2.438378,2.46274,0.6914366,2.496583,2.478867,
