pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.581684,3.934291,1.581684,0,4.507173,0,
1.581684,3.934291,1.581684,0,4.507173,0,
1.571446,2.391106,2.318202,1.156491,2.275908,2.281896,
1.456623,2.260764,2.175745,0.9014058,2.040072,1.978906,
1.444408,2.243304,2.15985,0.8993016,2.038581,1.977067,
1.441914,2.239128,2.156129,0.8948529,2.035674,1.973159,
1.440439,2.237241,2.1545,0.8923076,2.034433,1.971374,
1.437096,2.231304,2.149456,0.8856441,2.031035,1.966228,
1.435163,2.228058,2.146702,0.8805777,2.02926,1.962922,
1.435322,2.228692,2.147425,0.8545282,2.031921,1.950412,
1.439268,2.21525,2.143199,0.8539187,2.032715,1.950511,
1.439872,2.214527,2.14326,0.8538707,2.033768,1.951022,
1.440473,2.214445,2.14345,0.8532324,2.034509,1.950971,
1.441215,2.213567,2.143493,0.852995,2.034867,1.951006,
1.443604,2.211233,2.143944,0.8517876,2.034787,1.950295,
1.443668,2.211083,2.143955,0.8520922,2.034079,1.950097,
1.444337,2.210268,2.144135,0.8518898,2.033763,1.94988,
1.444914,2.209567,2.144274,0.8511977,2.031875,1.948504,
1.445301,2.208934,2.144524,0.8504933,2.030717,1.947635,
1.44577,2.208194,2.14466,0.8499767,2.029347,1.946615,
1.446673,2.207557,2.145007,0.8496365,2.027205,1.945397,
1.447575,2.206968,2.145483,0.8496947,2.025213,1.944451,
1.448073,2.206262,2.145592,0.849447,2.023376,1.943289,
1.448937,2.205597,2.14574,0.8496265,2.021275,1.94228,
1.449554,2.204924,2.146039,0.8501518,2.019286,1.941454,
1.449949,2.20437,2.14632,0.8507101,2.01747,1.940993,
1.450334,2.203708,2.14656,0.8517068,2.015779,1.940651,
1.450882,2.203211,2.14713,0.8523082,2.014098,1.940348,
1.452094,2.202773,2.147566,0.8538812,2.012412,1.940312,
1.453131,2.202106,2.147843,0.8557752,2.010994,1.940591,
1.454806,2.2016,2.148198,0.8575456,2.009481,1.940574,
1.456105,2.200927,2.148506,0.8599331,2.007961,1.940885,
1.457394,2.200202,2.148713,0.8623497,2.006701,1.941302,
1.45836,2.199378,2.148837,0.8651301,2.005222,1.941681,
1.459409,2.198876,2.148926,0.867769,2.003858,1.941968,
1.460407,2.198174,2.148873,0.8711981,2.002801,1.942677,
1.461261,2.197184,2.148769,0.8739218,2.001267,1.94304,
1.462385,2.195915,2.148736,0.8774144,1.999786,1.943844,
1.463459,2.194938,2.148537,0.8812311,1.998784,1.944964,
1.46448,2.193872,2.148321,0.8851868,1.997303,1.94593,
1.465598,2.192957,2.148196,0.8890689,1.99597,1.946833,
1.466472,2.192101,2.147822,0.893676,1.994988,1.948333,
1.467185,2.190985,2.147567,0.8980055,1.993518,1.949569,
1.468184,2.18956,2.147165,0.9026226,1.991665,1.950629,
1.468876,2.1886,2.146643,0.9072891,1.989958,1.951544,
1.469521,2.187384,2.146178,0.9117553,1.987932,1.952303,
1.470155,2.18627,2.145854,0.9163389,1.985787,1.953074,
1.470698,2.184981,2.145318,0.9210969,1.983586,1.953873,
1.471098,2.183898,2.144747,0.9254575,1.980956,1.953998,
