chair to collider angle,table to collider angle,audience to collider angle,


98.33788,157.3933,98.33788,
98.33788,157.3933,98.33788,
112.5941,83.68504,98.46694,
96.35744,66.69611,82.81348,
94.3624,65.3391,81.70596,
94.26427,65.2751,81.6837,
94.27469,65.26795,81.69289,
94.0444,65.00086,81.47572,
93.76486,64.66946,81.17683,
93.72723,64.62605,81.12842,
91.16101,61.7668,78.41964,
91.01345,61.50641,78.16152,
90.81972,61.16944,77.84412,
90.57188,60.74746,77.42543,
89.67734,59.43401,76.10413,
89.52061,59.26253,75.93426,
89.12067,58.72067,75.39111,
88.70899,58.17206,74.84491,
88.2921,57.61816,74.29089,
87.92616,57.09161,73.76518,
87.54305,56.53343,73.20627,
87.17606,55.95227,72.61731,
86.80325,55.34042,72.00278,
86.39188,54.68372,71.33215,
85.96664,53.98848,70.6356,
85.51788,53.26916,69.91341,
85.05093,52.51655,69.14067,
84.50916,51.70275,68.31229,
83.91239,50.82137,67.41765,
83.24525,49.86472,66.44787,
82.62643,48.90173,65.46249,
82.06411,47.92087,64.44589,
81.50009,46.92941,63.41297,
80.89562,45.91411,62.36139,
80.24914,44.83267,61.25004,
79.59242,43.73425,60.09521,
78.95132,42.63734,58.93449,
78.31839,41.55309,57.76368,
77.6318,40.41669,56.54501,
76.93444,39.29078,55.33295,
76.17615,38.12767,54.07936,
75.36189,36.92809,52.80011,
74.52801,35.74631,51.52311,
73.71809,34.59477,50.26037,
72.93411,33.47509,49.01883,
72.16879,32.38255,47.79631,
71.39915,31.31417,46.58345,
70.63609,30.26532,45.38494,
69.89593,29.25591,44.21346,
69.17412,28.29122,43.06918,
68.48939,27.38417,41.9782,
67.79673,26.49685,40.89915,
67.10868,25.63532,39.83126,
66.43866,24.82055,38.80776,
65.80929,24.07072,37.81688,
65.20981,23.36987,36.86525,
64.66028,22.74794,35.96449,
64.14828,22.18554,35.1016,
63.69014,21.70906,34.28684,
63.29581,21.32798,33.55064,
62.8701,20.94602,32.8758,
62.38107,20.52711,32.20417,
61.85391,20.09579,31.4485,
61.23246,19.58614,30.64706,
60.54694,19.05639,29.80068,
59.78177,18.48136,28.84988,
58.97951,17.91437,27.85429,
58.21527,17.43691,26.86374,
57.4966,17.03241,25.94367,
56.83424,16.71957,25.08875,
56.19584,16.46655,24.27833,
55.60254,16.27777,23.5196,
55.03251,16.15279,22.78568,
54.50703,16.09728,22.11805,
53.98959,16.08034,21.48333,
53.51141,16.11045,20.9139,
53.01257,16.12818,20.36363,
52.55704,16.31516,19.96413,
52.19477,16.52097,19.55432,
51.89022,16.77704,19.25414,
51.67452,17.09793,19.02967,
51.48067,17.41012,18.85988,
51.28629,17.72587,18.72042,
51.11223,17.98513,18.62481,
50.93679,18.21788,18.51678,
50.74754,18.37982,18.4793,
50.56539,18.48645,18.46278,
50.39233,18.58087,18.45117,
50.23254,18.60463,18.4821,
50.06154,18.58404,18.52727,
49.88952,18.53154,18.58214,
49.65881,18.37573,18.60821,
49.3476,18.15702,18.59813,
48.89635,17.79103,18.46716,
48.43925,17.45436,18.36232,
48.16333,17.29977,18.37873,
47.8523,17.09895,18.35428,
47.20308,16.59228,18.13573,
46.55254,16.13126,17.92819,
