chair to collider angle,table to collider angle,audience to collider angle,


100.7713,125.5207,100.7713,
100.7713,125.5207,100.7713,
75.59806,46.57203,76.21143,
75.11859,45.71631,73.94437,
75.19833,45.83529,74.05571,
75.20238,45.84192,74.02512,
75.21093,45.85653,74.0008,
75.2255,45.87642,73.99578,
75.27541,45.94283,73.93816,
75.27738,45.94844,73.9584,
75.29142,45.96845,73.92619,
75.30241,45.98233,73.0622,
75.47285,46.2439,73.27065,
75.45222,46.22403,73.21127,
75.41469,46.18505,73.07738,
75.2679,46.04866,72.74749,
75.22545,46.00514,72.67532,
75.13525,45.91548,72.5096,
75.00318,45.7761,72.32603,
74.83892,45.60928,72.06182,
74.62889,45.38964,71.76709,
74.3728,45.13255,71.45123,
74.08211,44.83631,71.05297,
73.71658,44.45964,70.58617,
73.3419,44.0732,70.13041,
72.12402,42.81841,68.56717,
71.06068,41.73021,67.21805,
70.91227,41.5758,67.0226,
70.30367,40.95251,66.27032,
69.63246,40.26311,65.40513,
68.95119,39.56787,64.53474,
68.23144,38.83851,63.65724,
67.5028,38.10221,62.7322,
66.75117,37.34906,61.78492,
66.00402,36.60531,60.89429,
63.79642,34.43927,58.05468,
62.31235,33.02102,56.06871,
62.30574,33.01632,56.0534,
61.61332,32.36528,55.19419,
60.94438,31.74755,54.22852,
59.0419,30.03852,51.75315,
57.86828,29.02022,50.11674,
57.86423,29.00253,50.21806,
57.26154,28.48148,49.4655,
56.6701,27.97615,48.72696,
56.0755,27.46918,48.02063,
55.52689,27.00721,47.36385,
54.95577,26.52372,46.70028,
54.41055,26.06878,46.0462,
52.77193,24.73388,44.10596,
51.74902,23.89988,42.92725,
50.71527,23.04877,41.76496,
50.73137,23.0342,41.83104,
50.20428,22.60031,41.2781,
49.66317,22.15338,40.70714,
49.12568,21.71708,40.13299,
48.57732,21.27284,39.57942,
48.01154,20.81686,38.98428,
47.4222,20.35051,38.37338,
46.82487,19.88218,37.7734,
46.22655,19.43617,37.11654,
45.62562,19.00544,36.46757,
45.01249,18.5831,35.81839,
44.38092,18.16073,35.11964,
43.75445,17.76063,34.42274,
43.14504,17.40324,33.75213,
42.52067,17.05712,33.05537,
41.90559,16.74621,32.36868,
41.30931,16.47297,31.68818,
40.70422,16.21838,31.00319,
40.09143,15.97531,30.32451,
39.45237,15.71513,29.64101,
38.81792,15.49867,28.93308,
37.16501,15.19813,27.02312,
36.3218,15.3072,25.86037,
35.49444,15.42328,24.72495,
35.52697,15.38897,24.82498,
35.08503,15.4068,24.29274,
34.65064,15.40712,23.80202,
34.2146,15.42138,23.29859,
33.75202,15.45605,22.76164,
33.25542,15.49943,22.2065,
32.71347,15.55054,21.59576,
32.11925,15.62462,20.92799,
31.50922,15.73006,20.22895,
30.82411,15.8414,19.53272,
30.13388,15.99327,18.78802,
29.48108,16.18828,18.05973,
28.81809,16.44253,17.33977,
28.20712,16.73016,16.62758,
27.60707,17.05902,15.8987,
27.03123,17.41647,15.25011,
26.45373,17.77883,14.55427,
25.94618,18.17761,13.977,
25.43941,18.56421,13.33151,
24.97085,18.96043,12.70756,
24.56043,19.3482,12.26104,
24.16439,19.7104,11.73173,
23.7915,20.05333,11.24759,
