user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.39227,1.567268,-3.876983,2.05678,0,0,0,0,
-0.39227,1.567268,-3.876983,2.05678,0,0,0,0,
-0.3922877,1.567235,0.9134951,0.8793082,2.005952,0.5250821,-1.960085,1.108298,
-0.3906791,1.567404,0.9133086,0.8792799,2.005349,0.5250461,-1.981928,1.11123,
-0.3909185,1.567425,0.9132471,0.8792034,2.004971,0.5252173,-1.983941,1.111403,
-0.3910575,1.567493,0.9132116,0.8792018,2.005506,0.5249398,-1.985938,1.11143,
-0.3911363,1.567481,0.9131455,0.8792487,2.005422,0.5249233,-1.988012,1.111868,
-0.3912066,1.567458,0.9132962,0.8792278,2.004743,0.525197,-1.98963,1.111801,
-0.3912751,1.567403,0.9135654,0.8794903,2.006122,0.5254545,-1.994114,1.111306,
-0.3913641,1.567363,0.9132738,0.8792582,2.005951,0.5252533,-1.993608,1.111178,
-0.3914709,1.567393,0.9132583,0.8792609,2.005915,0.5253038,-1.994501,1.110745,
-0.3915434,1.567407,0.9132776,0.8789984,2.005489,0.5251298,-2.002015,1.107996,
-0.3919961,1.567156,0.9132874,0.8789655,2.005425,0.5251141,-2.002494,1.10822,
-0.3919757,1.567101,0.9131932,0.8790228,2.004625,0.5254438,-2.002437,1.108231,
-0.3920153,1.567054,0.9132571,0.8790128,2.005129,0.5252619,-2.002623,1.108382,
-0.3921862,1.56712,0.9133143,0.8789754,2.00506,0.5252805,-2.003005,1.108094,
-0.3922158,1.567092,0.9132228,0.8790277,2.004975,0.5253026,-2.003024,1.107874,
-0.3922273,1.567072,0.913151,0.8790385,2.004202,0.5256729,-2.002995,1.107817,
-0.392288,1.567042,0.9131887,0.8790364,2.004635,0.5254731,-2.003179,1.107801,
-0.3923351,1.567025,0.9131293,0.8790683,2.004562,0.5255253,-2.002961,1.107355,
-0.3924378,1.566986,0.9131551,0.8791463,2.004564,0.5257518,-2.002645,1.107223,
-0.3924271,1.566937,0.9132969,0.8791642,2.004498,0.5257857,-2.0019,1.107237,
-0.3924109,1.566892,0.9133587,0.8791083,2.004448,0.5258758,-2.001476,1.107122,
-0.3923647,1.566885,0.9135923,0.87939,2.003901,0.5261166,-2.001208,1.107743,
-0.3924893,1.56695,0.9134648,0.8793948,2.004733,0.5260422,-2.00128,1.107973,
-0.3924769,1.566921,0.9134507,0.8794391,2.004695,0.5261216,-2.001338,1.108024,
-0.3924655,1.566982,0.9133072,0.8792729,2.004628,0.5261035,-2.001531,1.107867,
-0.392492,1.567053,0.9133177,0.879277,2.004587,0.5261688,-2.002043,1.107697,
-0.3924935,1.567172,0.9133341,0.8792847,2.004555,0.5262349,-2.002552,1.107308,
-0.3924192,1.567316,0.9135256,0.8795106,2.005002,0.5264904,-2.002931,1.106894,
-0.39232,1.567377,0.9134457,0.8795328,2.004996,0.5265622,-2.001024,1.106527,
-0.3923571,1.567503,0.9135666,0.8794928,2.004992,0.5266371,-2.001405,1.106119,
-0.3921924,1.567643,0.9134676,0.879337,2.004626,0.5261626,-2.000786,1.105562,
-0.3920178,1.56765,0.9134319,0.879328,2.00458,0.5262046,-1.999615,1.104996,
