chair to collider angle,table to collider angle,audience to collider angle,


32.5438,28.88929,32.5438,
32.5438,28.88929,32.5438,
53.34858,145.7529,38.58722,
45.03899,75.59587,117.4695,
44.98452,75.8128,117.0305,
44.92378,75.88845,116.8667,
44.82854,75.98757,116.7789,
44.68565,76.13371,116.5859,
44.2678,76.5763,116.0793,
44.21249,76.64513,116.0161,
44.12416,76.81723,115.7237,
44.09941,76.95328,112.6148,
45.51061,76.20915,112.3169,
45.66708,76.1217,112.1318,
45.85314,76.01933,111.9896,
46.39863,75.62626,111.6279,
46.71946,75.3103,111.5766,
47.02726,74.97402,111.5371,
47.06383,74.91349,111.6112,
47.28799,74.68263,111.6003,
47.56094,74.39986,111.6726,
47.8428,74.07289,111.8373,
48.72549,73.03476,112.3304,
49.19148,72.24685,112.887,
49.38699,71.6171,113.3568,
49.13264,71.71616,113.2673,
48.999,71.59764,113.1918,
48.86211,71.60987,112.8669,
48.49453,72.0743,111.6941,
48.03465,72.63966,110.3951,
47.60188,73.17596,109.0578,
47.17948,73.64355,107.5999,
46.47041,74.3205,103.9427,
46.02967,75.35954,99.93768,
45.13609,77.92017,93.73602,
44.75894,78.73294,92.53777,
44.25373,80.20771,89.32117,
43.92155,81.48534,86.25405,
43.91206,86.2551,74.65091,
44.96205,88.73241,68.1522,
46.85025,91.52553,62.07771,
48.21043,94.91394,55.25378,
48.02693,95.18512,55.11137,
48.67057,96.99948,51.81865,
49.53458,98.77824,48.44602,
50.61041,100.4042,45.26033,
54.06446,104.7514,36.29075,
56.47328,106.8305,31.33569,
59.03535,108.922,26.40407,
59.0948,108.6921,26.62281,
60.45137,109.6956,24.27365,
61.79985,110.6849,22.02272,
63.22367,111.562,19.86597,
64.65384,112.4346,17.70981,
66.11589,113.3604,15.62706,
67.62267,114.4574,13.48232,
69.14169,115.6973,11.4004,
70.58474,116.9614,9.576082,
74.73817,120.5429,6.686478,
77.74313,122.9412,7.659628,
77.98243,123.1133,7.627225,
79.57091,124.5545,9.121153,
80.96221,125.9194,10.8527,
82.17495,127.1144,12.50751,
83.30758,128.1551,14.0545,
84.45235,129.1588,15.57348,
85.84647,130.3449,17.3701,
87.32641,131.6155,19.3376,
88.80811,132.9086,21.35452,
90.18337,133.7997,22.99693,
91.30348,134.3142,24.18668,
92.43227,134.6542,25.24076,
93.73875,135.0821,26.52414,
95.1608,135.8059,28.21762,
96.71664,136.7695,30.29019,
98.20073,137.6152,32.29962,
99.28615,138.2961,33.88033,
100.1349,138.846,35.19615,
100.8996,139.355,36.43568,
101.3595,139.9924,37.72202,
101.8638,141.0699,39.40723,
102.2119,142.5249,41.4514,
102.4688,144.1426,43.71839,
102.6626,145.9469,46.33368,
102.9667,147.5164,49.04863,
102.9944,148.7015,51.10315,
103.6777,148.7805,52.59373,
104.6771,148.1754,53.571,
105.06,148.4618,55.15099,
104.9883,149.0141,56.52276,
104.8718,149.5612,57.90679,
104.6511,150.1537,59.35408,
104.6409,150.4852,60.90525,
104.9071,150.4103,62.31703,
105.4021,149.9788,63.57928,
105.8806,149.4523,64.57341,
106.2288,149.0262,65.39726,
106.3033,148.874,66.39666,
106.0928,149.0014,67.6545,
