user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.4180212,1.233735,-3.876983,2.05678,0,0,0,0,
0.4180212,1.233735,-3.876983,2.05678,0,0,0,0,
0.4179999,1.23045,1.572975,0.8527215,1.014013,0.4969378,-1.767879,0.7556236,
0.5007555,1.016025,1.573133,0.8526888,1.013901,0.4968269,-1.706388,0.7694433,
0.5015769,1.01733,1.573036,0.8527786,1.01432,0.496604,-1.697988,0.7704027,
0.5015866,1.017484,1.572949,0.8527377,1.01436,0.4966912,-1.688205,0.7697062,
0.5016489,1.017663,1.57299,0.8527514,1.014379,0.4966626,-1.682631,0.7755671,
0.5018299,1.017737,1.572976,0.8527148,1.01466,0.4965246,-1.673166,0.7753758,
0.5020474,1.01813,1.572937,0.8526597,1.014652,0.4965155,-1.651691,0.786268,
0.5020571,1.01811,1.572927,0.8526833,1.014916,0.496417,-1.651801,0.7869031,
0.5020689,1.018266,1.57311,0.8531134,1.015034,0.4967556,-1.643155,0.78812,
0.5021074,1.018489,1.572832,0.8526796,1.013442,0.4972742,-1.502037,0.7983296,
0.5028505,1.024907,1.572818,0.8526715,1.013419,0.4973087,-1.493378,0.7978523,
0.5029478,1.025198,1.572807,0.8526665,1.013677,0.4971232,-1.484367,0.7968307,
0.5030473,1.025476,1.572987,0.8530732,1.014152,0.4973798,-1.475949,0.7967346,
0.5033948,1.026069,1.572952,0.8530589,1.014755,0.4971309,-1.448265,0.7933066,
0.5037928,1.026147,1.572818,0.8529314,1.014381,0.4972732,-1.429936,0.7915795,
0.5043358,1.026328,1.573009,0.8529845,1.014644,0.4974329,-1.409861,0.788172,
0.5044014,1.026329,1.572963,0.8529811,1.014637,0.4974494,-1.409555,0.7883062,
0.5046407,1.026467,1.573001,0.852982,1.014881,0.4973042,-1.398854,0.7860384,
0.5048518,1.026614,1.572871,0.8527431,1.014225,0.4971969,-1.389035,0.7850478,
0.5050061,1.02672,1.572893,0.8527136,1.014213,0.4971998,-1.379809,0.7851534,
0.5054464,1.027129,1.572924,0.8527001,1.013978,0.4970691,-1.350316,0.7831488,
0.5055658,1.027963,1.572921,0.8527874,1.014013,0.4969327,-1.330846,0.7826827,
0.505092,1.030141,1.573,0.8527386,1.013493,0.4971054,-1.312436,0.7828557,
0.504426,1.031333,1.572891,0.8527708,1.013776,0.4969246,-1.311897,0.7820714,
0.5033731,1.033749,1.572856,0.8527006,1.01373,0.4970417,-1.302406,0.7816117,
0.5022222,1.036752,1.572932,0.8527116,1.013701,0.4970255,-1.293919,0.782263,
0.5004441,1.042058,1.572988,0.852736,1.013479,0.4971402,-1.284537,0.7817562,
0.4984338,1.047968,1.573131,0.8529977,1.013765,0.4973309,-1.275307,0.7813249,
0.4959782,1.054763,1.573249,0.8530437,1.01376,0.4972847,-1.266849,0.7819812,
0.4923411,1.063619,1.573107,0.8530869,1.014051,0.4971616,-1.258119,0.7821727,
0.4808329,1.090005,1.572956,0.8527752,1.013671,0.4970524,-1.231695,0.7828214,
0.4701428,1.116446,1.572866,0.8527144,1.013321,0.4973164,-1.217291,0.7873147,
0.4603423,1.146901,1.572839,0.8527161,1.01333,0.4972129,-1.196798,0.7836733,
