pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.822579,4.679118,1.822579,0,4.507173,0,
1.822579,4.679118,1.822579,0,4.507173,0,
2.136196,2.070473,1.824911,1.403301,3.056875,0,
2.119397,2.208586,1.765372,1.922283,2.135989,1.549437,
2.11278,2.205908,1.764377,1.919492,2.137685,1.548669,
2.11195,2.205293,1.76539,1.918141,2.138344,1.548259,
2.110972,2.205041,1.765957,1.916621,2.138867,1.54839,
2.110379,2.203853,1.767384,1.914802,2.139811,1.548753,
2.109934,2.203454,1.768591,1.914571,2.139508,1.549967,
2.110011,2.203578,1.7688,1.915923,2.127229,1.557411,
2.111907,2.195878,1.782521,1.915232,2.126802,1.557258,
2.111676,2.195864,1.783381,1.913575,2.126454,1.5565,
2.112897,2.195478,1.784466,1.912829,2.126226,1.555739,
2.112881,2.195118,1.785495,1.911218,2.125986,1.555164,
2.114885,2.194144,1.787989,1.90816,2.125787,1.552919,
2.114465,2.193887,1.787904,1.90759,2.126154,1.552847,
2.114861,2.193489,1.788497,1.906424,2.12624,1.552199,
2.115593,2.19293,1.788975,1.90602,2.126325,1.551919,
2.115994,2.192289,1.789525,1.905275,2.125912,1.551735,
2.115644,2.191692,1.790029,1.904023,2.125499,1.551865,
2.116437,2.191171,1.790386,1.904648,2.124213,1.552617,
2.116558,2.190336,1.790635,1.904523,2.123297,1.553071,
2.115974,2.189768,1.79082,1.904047,2.121987,1.553734,
2.116463,2.188912,1.790895,1.904945,2.120539,1.554534,
2.116687,2.188266,1.791148,1.9052,2.118967,1.555151,
2.116422,2.187626,1.79136,1.905002,2.117616,1.555967,
2.117103,2.186876,2.687481,1.905521,2.116451,2.793663,
2.116914,2.186117,2.685076,1.905166,2.11544,2.792094,
2.117234,2.185351,2.682199,1.904944,2.114665,2.790446,
2.11809,2.184824,2.67845,1.905092,2.11415,2.78737,
2.118558,2.184326,2.674683,1.904554,2.113912,2.784524,
2.118543,2.184066,2.670882,1.903452,2.113762,2.781555,
2.119714,2.184013,2.667239,1.903195,2.113824,2.778607,
2.119905,2.183981,2.663659,1.901957,2.113887,2.775752,
2.120631,2.184173,2.659445,1.901349,2.113893,2.772403,
2.122155,2.184266,2.655653,1.900939,2.114297,2.769013,
2.12319,2.184228,2.650592,1.900329,2.114398,2.764508,
2.123721,2.184273,2.645455,1.899229,2.114548,2.760316,
2.125486,2.184368,2.641292,1.899356,2.114885,2.756367,
2.126106,2.184134,2.635912,1.89826,2.11496,2.751812,
2.1273,2.184124,2.631803,1.897764,2.115359,2.74747,
2.128884,2.183806,2.626575,1.897815,2.115642,2.742719,
2.129758,2.183853,2.620748,1.896839,2.116037,2.737768,
2.130982,2.183713,2.615155,1.896305,2.116696,2.731976,
2.132622,2.183491,2.608786,1.896373,2.117331,2.725898,
2.133814,2.183214,2.602474,1.895826,2.117946,2.719887,
2.134478,2.182925,2.596556,1.894791,2.118658,2.714327,
2.136228,2.182621,2.589784,1.894879,2.11947,2.707889,
2.137287,2.182139,2.582872,1.894321,2.120076,2.701533,
2.13779,2.181802,2.576281,1.893267,2.121085,2.69472,
