chair to collider angle,table to collider angle,audience to collider angle,


88.2425,155.1904,88.2425,
88.2425,155.1904,88.2425,
67.75426,50.01438,88.43761,
20.16898,125.1628,47.86035,
16.69988,121.5815,48.28233,
16.19589,121.017,48.39924,
16.11191,120.8521,48.63774,
15.98699,120.4647,49.36449,
16.05627,120.3563,49.8203,
16.27845,120.5332,49.98407,
23.09828,122.921,58.7333,
23.72212,123.286,59.30436,
24.32487,123.6438,59.81921,
24.84849,123.9666,60.28312,
26.25969,124.8533,61.46323,
26.06851,124.8277,61.24355,
26.37691,125.0657,61.47289,
26.66488,125.301,61.67178,
26.88623,125.4895,61.82565,
27.06587,125.6663,61.95664,
27.20365,125.7836,62.03715,
27.2679,125.8601,62.07539,
27.29154,125.9365,62.08109,
27.29746,125.9892,62.05714,
27.29358,126.0386,62.01917,
27.26327,126.0873,61.95958,
27.24704,126.1377,130.8444,
27.22309,126.216,130.6559,
27.24607,126.324,130.4608,
27.36993,126.49,130.3327,
27.60826,126.7571,130.0979,
28.03393,127.1838,129.8292,
28.6494,127.7673,129.5075,
29.3727,128.4946,129.1183,
30.24815,129.3595,128.5653,
31.18616,130.2969,128.0435,
32.1356,131.2759,127.4777,
33.11452,132.2942,126.7644,
34.14358,133.3351,126.1001,
35.12529,134.3688,125.3347,
36.08761,135.3963,124.6883,
37.04503,136.4259,123.8861,
37.96851,137.4279,123.0723,
38.85629,138.4032,122.3731,
39.74752,139.3589,121.6077,
40.59089,140.264,120.8706,
41.41317,141.15,120.2287,
42.19928,142.003,119.528,
42.90751,142.7919,118.827,
43.54001,143.5354,118.2695,
44.17522,144.2677,117.6471,
44.69394,144.9227,117.0727,
45.20799,145.5661,116.562,
45.63035,146.1375,116.0314,
46.04186,146.6832,115.5309,
46.42308,147.1929,115.0957,
46.72849,147.6356,114.6775,
47.02056,148.0582,114.2771,
47.26452,148.4335,113.9126,
47.4767,148.7504,113.5981,
47.66258,149.0471,113.2889,
47.77369,149.2739,113.0489,
47.81708,149.4404,112.8295,
47.86035,149.5943,112.6492,
47.85503,149.7025,112.5075,
47.79228,149.7337,112.4347,
47.68116,149.7324,112.3873,
47.51951,149.6799,112.3824,
47.35548,149.6175,112.3617,
47.16795,149.5162,112.3902,
46.96876,149.3897,112.4886,
46.74778,149.2459,112.5656,
46.49839,149.0544,112.7162,
46.22028,148.8162,112.9308,
45.922,148.556,113.1554,
45.57209,148.2075,113.4871,
45.2276,147.8668,113.8297,
44.82267,147.4638,114.2105,
44.41105,147.0363,114.6254,
43.93727,146.4791,115.1929,
43.48172,145.9292,115.7621,
42.94036,145.2365,116.5112,
42.38328,144.4798,117.3461,
41.81197,143.6709,118.2517,
41.18684,142.7399,119.321,
40.56847,141.7783,120.4214,
39.97509,140.8188,121.5444,
39.42505,139.8845,122.573,
38.90004,138.9345,123.71,
38.44885,138.018,124.7933,
38.05762,137.1174,125.8224,
37.68975,136.219,126.9267,
37.35485,135.3152,128.0135,
37.0119,134.4078,129.0623,
36.70498,133.5296,130.1246,
36.41569,132.6597,131.1441,
36.12244,131.8139,132.0688,
35.83736,130.9932,133.0359,
35.58848,130.204,133.919,
35.27035,129.4566,134.6825,
