user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.0037056,1.616261,-3.876983,2.05678,0,0,0,0,
0.0037056,1.616261,-3.876983,2.05678,0,0,0,0,
0.003613994,1.617759,1.5932,0.8724056,0.6126864,0.6020169,-1.438939,1.076059,
-0.09198664,1.557769,1.593544,0.8726033,0.6112509,0.6028669,-1.454102,1.07481,
-0.09401208,1.554637,1.593636,0.8725741,0.6117182,0.6027253,-1.460364,1.074664,
-0.09591197,1.553989,1.593832,0.872462,0.6127985,0.6020162,-1.462563,1.074792,
-0.09698575,1.553735,1.593799,0.8725002,0.6119061,0.6025617,-1.46488,1.075018,
-0.100708,1.552888,1.593811,0.8725368,0.6127012,0.6020451,-1.471837,1.075117,
-0.1042092,1.552042,1.593623,0.8725023,0.6117108,0.6025074,-1.476752,1.075082,
-0.1043899,1.551799,1.593334,0.8726732,0.6123579,0.6021979,-1.508729,1.073718,
-0.122971,1.549958,1.593314,0.8726928,0.6123865,0.6021566,-1.509572,1.073078,
-0.1232736,1.550073,1.593484,0.872619,0.6132824,0.6015887,-1.510928,1.072955,
-0.1236676,1.55019,1.593396,0.8726336,0.6129324,0.601861,-1.512344,1.073294,
-0.1240703,1.550254,1.593386,0.8726478,0.6129544,0.6018012,-1.513283,1.072671,
-0.1245031,1.550089,1.593432,0.8726557,0.6138003,0.601299,-1.514449,1.072623,
-0.1248612,1.549967,1.593174,0.8726183,0.61305,0.6017358,-1.515266,1.072185,
-0.1252401,1.54983,1.593148,0.8726269,0.6130795,0.6016827,-1.516284,1.072123,
-0.1254328,1.549875,1.593358,0.872547,0.6138866,0.6011779,-1.517361,1.072377,
-0.1257781,1.549948,1.593509,0.8727285,0.6133728,0.6014955,-1.518181,1.072335,
-0.1260743,1.550104,1.593495,0.8727413,0.6134055,0.6014342,-1.518638,1.071929,
-0.1262107,1.550267,1.593586,0.872735,0.6142776,0.6008985,-1.519646,1.072248,
-0.1263875,1.550354,1.593362,0.8728038,0.6131423,0.6016228,-1.520277,1.071845,
-0.1262657,1.550296,1.593351,0.8728253,0.6131809,0.6015725,-1.520866,1.071778,
-0.1261968,1.550229,1.593895,0.8725863,0.6137404,0.6013472,-1.521927,1.072351,
-0.1260066,1.550323,1.59375,0.8724527,0.6137671,0.6012702,-1.522413,1.072153,
-0.125662,1.550513,1.593738,0.8724478,0.6137969,0.6012456,-1.522978,1.072288,
-0.1248316,1.550873,1.593985,0.8723336,0.6147795,0.6005926,-1.523779,1.072712,
-0.1242737,1.551193,1.593984,0.8724965,0.6134529,0.6014335,-1.523901,1.072392,
-0.1235289,1.551564,1.593983,0.8725293,0.6134741,0.6014636,-1.524248,1.072523,
-0.122824,1.551854,1.594,0.8725621,0.6140647,0.6011086,-1.524784,1.072741,
-0.1218126,1.552155,1.593773,0.872593,0.6139216,0.6012866,-1.524964,1.072503,
-0.1204858,1.552305,1.593765,0.8726084,0.6139677,0.6012907,-1.525243,1.072484,
-0.1193059,1.55271,1.593757,0.8726405,0.6146638,0.6008577,-1.525637,1.072649,
-0.1182654,1.553082,1.5936,0.8726895,0.6136253,0.6014771,-1.525855,1.072609,
