chair to collider angle,table to collider angle,audience to collider angle,


87.90535,162.0424,87.90535,
87.90535,162.0424,87.90535,
86.62,17.47904,125.813,
75.78359,54.55187,175.0233,
74.78303,53.49704,176.2412,
74.63273,53.31904,176.3889,
74.52818,53.07406,176.5297,
74.44511,52.82865,176.7068,
74.27007,52.54826,176.8808,
74.1002,52.22798,177.0573,
74.00357,51.9256,177.2092,
73.81091,51.61498,177.3313,
73.68093,51.33027,177.364,
72.53228,48.55736,176.571,
72.43239,47.7305,175.8436,
72.42876,47.24809,175.3868,
72.50752,45.94555,174.1018,
72.74343,45.004,173.1235,
72.73293,44.93002,173.0388,
72.7934,44.40917,172.5309,
72.84299,43.82069,171.962,
72.80932,43.202,171.3648,
72.82872,42.60583,170.7843,
72.9297,42.02197,170.1989,
73.01025,41.53432,169.671,
73.14264,41.05901,169.1857,
73.41565,40.09167,168.1442,
73.53677,39.57531,167.5974,
73.67097,39.00938,167.0134,
73.71126,38.39713,166.3891,
73.80869,37.78769,165.7728,
73.95956,37.20082,165.1633,
74.04655,36.6304,164.5625,
74.14812,36.02468,163.9484,
74.27206,35.35973,163.2762,
74.29359,34.69128,162.6101,
74.32271,33.92512,161.8855,
74.40466,33.15836,161.1349,
74.38765,32.40549,160.4044,
74.44874,31.68488,159.7167,
74.55794,31.02797,159.0648,
74.57217,30.39823,158.4436,
74.60118,29.75457,157.8321,
74.64048,29.08043,157.1948,
74.57244,28.37637,156.5413,
74.52435,27.64157,155.8824,
74.52654,26.94921,155.2393,
74.48708,26.32802,154.6541,
74.51384,25.77215,154.1181,
74.6332,25.23906,153.5721,
74.7207,24.70911,153.0112,
74.88201,24.13511,152.3874,
75.10831,23.52692,151.6983,
75.30259,22.88401,150.9652,
75.57637,22.2628,150.2176,
75.89019,21.65784,149.4726,
76.14111,21.04541,148.7059,
76.40827,20.43195,147.9427,
76.71355,19.82311,147.1741,
76.95858,19.21827,146.3803,
77.23849,18.65313,145.617,
77.58766,18.13179,144.8565,
77.90693,17.68459,144.1197,
78.24883,17.22558,143.35,
78.57658,16.73369,142.5556,
78.80642,16.22847,141.752,
79.04828,15.73908,140.9568,
79.28442,15.23462,140.1672,
79.47004,14.79486,139.3976,
79.67872,14.3893,138.6513,
79.91504,13.98629,137.8758,
80.07127,13.58711,137.0598,
80.19993,13.15502,136.2356,
80.27516,12.6843,135.3603,
80.287,12.18818,134.4601,
80.24988,11.71151,133.5399,
80.25094,11.32053,132.6261,
80.21037,11.01966,131.719,
80.16022,10.76693,130.7916,
80.07566,10.53992,129.7885,
79.9301,10.42747,128.7791,
79.76114,10.39525,127.8293,
79.63539,10.4757,126.9443,
79.38658,10.54296,126.2121,
79.12124,10.62014,125.5673,
78.86066,10.74567,124.9566,
78.58856,10.8769,124.4155,
78.26564,10.99453,123.9494,
77.94839,11.09734,123.55,
77.57256,11.13401,123.2729,
77.18152,11.08972,123.1074,
76.80416,10.87594,123.193,
76.46359,10.6035,123.372,
76.14768,10.0405,123.9326,
75.84172,9.423521,124.5434,
75.51398,8.80154,125.1548,
75.15214,8.174523,125.7443,
74.78284,7.553514,126.3138,
74.32847,6.950568,126.8308,
73.88651,6.338524,127.3519,
