user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.0301766,1.53481,-3.876983,2.05678,0,0,0,0,
-0.0301766,1.53481,-3.876983,2.05678,0,0,0,0,
-0.03035579,1.534616,1.639004,0.8841398,0.9315753,0.5485101,-2.048218,0.7517233,
-0.0633372,1.584457,1.638944,0.8838849,0.931601,0.5484056,-2.049404,0.7512927,
-0.06175083,1.5833,1.63896,0.8838584,0.9306548,0.5473218,-2.049387,0.7510235,
-0.0614018,1.583098,1.63886,0.8839114,0.9316061,0.5484362,-2.049633,0.7508228,
-0.06089337,1.582925,1.639064,0.8842977,0.9316227,0.5484667,-2.050008,0.7514405,
-0.06061621,1.582719,1.639062,0.8843262,0.9305997,0.5473058,-2.049963,0.751164,
-0.06020797,1.582416,1.639106,0.8843367,0.9314299,0.5482652,-2.050249,0.7509632,
-0.05986708,1.582041,1.639107,0.8843665,0.9314406,0.5482609,-2.050523,0.7513518,
-0.059451,1.58178,1.638987,0.884088,0.9303181,0.5470138,-2.0505,0.7510865,
-0.05893712,1.581507,1.638971,0.884105,0.9312761,0.5480537,-2.050771,0.7509122,
-0.05824395,1.581341,1.638932,0.8844429,0.9306855,0.5478432,-2.054492,0.7518208,
-0.04797262,1.579729,1.638749,0.8842964,0.9296534,0.5467694,-2.05481,0.7521155,
-0.04670669,1.578958,1.638955,0.884197,0.9308188,0.5476906,-2.055021,0.7520053,
-0.04612409,1.578621,1.638794,0.8839486,0.9308167,0.5476608,-2.055378,0.7525465,
-0.04422504,1.577595,1.63891,0.8838732,0.9308732,0.5475991,-2.055716,0.752104,
-0.0430862,1.577223,1.639053,0.8840536,0.9299874,0.5465684,-2.056169,0.7524695,
-0.04307827,1.577126,1.638976,0.8841133,0.930896,0.5476611,-2.056066,0.7524278,
-0.04222864,1.576838,1.639178,0.8844274,0.9308834,0.5476048,-2.056382,0.7531164,
-0.04161718,1.576373,1.639208,0.8844491,0.9299235,0.5465648,-2.056245,0.752898,
-0.04104424,1.575896,1.639219,0.8844638,0.9307296,0.5474896,-2.056242,0.7528343,
-0.04055915,1.575337,1.638944,0.8839914,0.9307101,0.5474267,-2.056536,0.7536104,
-0.03984017,1.574888,1.638967,0.8839861,0.9296799,0.5463123,-2.056571,0.753541,
-0.03924616,1.574553,1.638893,0.8839604,0.9306529,0.5474496,-2.056442,0.7533514,
-0.03846483,1.574307,1.639146,0.8843827,0.9306357,0.5473983,-2.056627,0.7539015,
-0.03722341,1.573661,1.63918,0.8843663,0.9306259,0.5474393,-2.056522,0.7537236,
-0.03681333,1.573183,1.638967,0.8840333,0.9306064,0.5474401,-2.056747,0.7543433,
-0.03643742,1.572846,1.638918,0.8839943,0.9297009,0.5464613,-2.056791,0.7542796,
-0.03585856,1.572368,1.638852,0.8839884,0.9306717,0.547539,-2.056619,0.7540779,
-0.03537157,1.571871,1.638835,0.8839656,0.9306638,0.547555,-2.056777,0.754622,
-0.03467847,1.571393,1.63877,0.8839371,0.9297721,0.5466137,-2.056807,0.7545569,
-0.03404217,1.570943,1.638729,0.8839135,0.9306402,0.5475061,-2.056611,0.7543507,
