pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.657269,4.822679,1.657269,0,4.507173,0,
1.657269,4.822679,1.657269,0,4.507173,0,
1.59862,1.338937,3.203383,1.39862,2.1924,2.989979,
1.529449,1.208376,3.418733,1.337236,0.858035,3.768078,
1.541544,1.202885,3.41811,1.341584,0.8542308,3.768245,
1.542809,1.202243,3.416899,1.350536,0.8452271,3.774785,
1.544155,1.201563,3.414969,1.354187,0.8418641,3.774554,
1.545502,1.200746,3.41269,1.355944,0.8401549,3.772182,
1.546862,1.199781,3.410307,1.358093,0.8378624,3.769694,
1.547982,1.19919,3.40823,1.356541,0.8397728,3.760511,
1.549527,1.198077,3.406162,1.35913,0.8370489,3.758123,
1.550949,1.196519,3.331275,1.371058,0.8239567,3.664826,
1.569236,1.180877,3.329534,1.373258,0.8226683,3.659165,
1.568661,1.180101,3.324439,1.372721,0.8222094,3.654855,
1.569021,1.179292,3.319772,1.372212,0.8225237,3.650978,
1.57042,1.178668,3.314685,1.372827,0.8230135,3.646681,
1.56966,1.177675,3.309583,1.371009,0.8239766,3.642244,
1.569802,1.176978,3.304651,1.370428,0.8250237,3.637423,
1.57111,1.176078,3.29901,1.370648,0.8260355,3.631508,
1.570324,1.175195,3.29343,1.369111,0.8269769,3.62551,
1.570401,1.174303,3.288429,1.368699,0.8274899,3.620377,
1.57149,1.173235,3.283226,1.369317,0.8277051,3.615127,
1.570486,1.172361,3.278717,1.368131,0.8278716,3.610925,
1.570447,1.171439,3.274787,1.369382,0.8264996,3.608535,
1.571439,1.170459,3.270404,1.368029,0.8289405,3.601406,
1.570535,1.169578,3.266413,1.366856,0.8290035,3.598242,
1.570647,1.168657,3.262874,1.366813,0.8292596,3.594419,
1.571897,1.167676,3.259378,1.368134,0.8287893,3.590313,
1.570989,1.166843,3.256184,1.367311,0.8282669,3.588951,
1.571165,1.165789,3.253067,1.367387,0.8277395,3.586018,
1.572387,1.165126,3.249734,1.368967,0.8270832,3.582515,
1.563535,1.170766,3.250681,1.368301,0.8265525,3.580771,
1.5635,1.170536,3.247298,1.367926,0.8270299,3.577205,
1.565081,1.169713,3.243035,1.368224,0.827674,3.573352,
1.56411,1.169304,3.239429,1.366706,0.8282186,3.570562,
1.564219,1.169072,3.235947,1.366248,0.8287616,3.567246,
1.566012,1.16851,3.231863,1.366638,0.8294823,3.564446,
1.565245,1.168108,3.22855,1.365411,0.83004,3.56177,
1.565486,1.1679,3.225847,1.36485,0.8306592,3.560137,
1.567272,1.167251,3.2222,1.365278,0.8312126,3.557772,
1.566683,1.167372,3.218949,1.363732,0.8318368,3.555247,
1.567022,1.167289,3.215384,1.363257,0.8323895,3.552658,
1.568641,1.166795,3.210858,1.363675,0.8328745,3.549142,
1.567972,1.166854,3.206712,1.362496,0.8331168,3.544882,
1.568273,1.166796,3.205651,1.36227,0.8332438,3.543456,
1.569713,1.166593,3.206658,1.363187,0.833162,3.544586,
1.568946,1.166645,3.209216,1.362472,0.8330602,3.546483,
1.569111,1.16661,3.209557,1.362605,0.8329077,3.549871,
1.570255,1.166433,3.210008,1.363817,0.8325148,3.550631,
