user x,user y,table x,table y,chair x,chair y,audience x,audience y,


0.6877209,1.451742,-3.876983,2.05678,0,0,0,0,
0.6877209,1.451742,-3.876983,2.05678,0,0,0,0,
0.686624,1.452005,1.639455,0.8834072,0.9311109,0.5480731,-1.997119,0.8586562,
0.9145434,1.431533,1.639107,0.8836385,0.9308481,0.5479774,-2.009335,0.8711939,
0.9189001,1.438802,1.639069,0.8835529,0.9308684,0.5479712,-2.010498,0.8749524,
0.9193928,1.439492,1.639069,0.8835062,0.9308805,0.5480063,-2.011241,0.8786454,
0.9199128,1.440096,1.639174,0.8835084,0.9308949,0.54795,-2.011817,0.8822639,
0.9203078,1.440583,1.639206,0.8835218,0.9309042,0.5479314,-2.012977,0.8873485,
0.9207256,1.441014,1.639289,0.8836553,0.9309235,0.5479751,-2.014255,0.8924648,
0.9210251,1.441367,1.639403,0.883597,0.9309242,0.5478618,-2.01545,0.8970016,
0.9219987,1.442158,1.639472,0.8837065,0.9309523,0.5478702,-2.016789,0.901929,
0.9225398,1.442365,1.639756,0.884006,0.9309404,0.5477188,-2.029177,0.9692588,
0.9348696,1.448242,1.639864,0.8840444,0.930105,0.5467889,-2.027902,0.9720359,
0.9358269,1.448391,1.639895,0.8840965,0.9310656,0.5478618,-2.026579,0.974846,
0.9367824,1.448473,1.639791,0.8838559,0.9310689,0.54791,-2.025394,0.9776617,
0.9374635,1.448433,1.639855,0.8838859,0.9300671,0.5468326,-2.023873,0.9801291,
0.9384329,1.448268,1.639738,0.8839786,0.9309115,0.5478456,-2.021895,0.9825031,
0.9394041,1.448046,1.639611,0.8838636,0.9309087,0.5478871,-2.020023,0.9849924,
0.9401634,1.447742,1.639575,0.8838726,0.9298656,0.5467684,-2.017329,0.9873842,
0.941089,1.447407,1.639507,0.883877,0.9307122,0.5477006,-2.014197,0.9900795,
0.9420062,1.447083,1.639412,0.8837737,0.9307013,0.547729,-2.011397,0.9930954,
0.9428106,1.446638,1.639351,0.8837525,0.9297614,0.5466905,-2.008621,0.996367,
0.9438145,1.446293,1.639381,0.8837084,0.9307885,0.5477245,-2.005876,1.000094,
0.9448623,1.445957,1.639395,0.8837661,0.9307983,0.5477619,-2.003397,1.003863,
0.9457102,1.445594,1.639372,0.8838004,0.9300005,0.5468819,-2.000698,1.007513,
0.9467446,1.445347,1.639405,0.8838022,0.9308696,0.5479052,-1.997777,1.011265,
0.9477216,1.445101,1.639613,0.8841512,0.9308679,0.5479364,-1.995507,1.015025,
0.9484044,1.444726,1.639603,0.8841563,0.929884,0.5468552,-1.993671,1.018823,
0.9492005,1.444488,1.639648,0.8841922,0.9309115,0.5479965,-1.991853,1.022771,
0.9499753,1.444272,1.639748,0.8842283,0.9309034,0.5480182,-1.989835,1.026477,
0.9503517,1.443998,1.63979,0.884288,0.9299541,0.5469992,-1.988017,1.030327,
0.9512585,1.443969,1.639826,0.8843386,0.930934,0.5480227,-1.985421,1.034376,
0.9520239,1.443922,1.639559,0.8839093,0.9309337,0.5480521,-1.98252,1.038052,
0.9522356,1.443727,1.63956,0.8838938,0.9300418,0.5470929,-1.979732,1.04217,
