pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


3.384061,2.884494,3.384061,0,4.507173,0,
3.384061,2.884494,3.384061,0,4.507173,0,
2.505367,4.79097,0.1721037,1.441703,1.728615,3.487797,
2.505639,4.790637,0.1714288,1.441491,1.72769,3.487806,
2.505557,4.790569,0.1715984,1.441597,1.727636,3.487939,
2.505548,4.790781,0.1715974,1.441613,1.727794,3.487966,
2.505542,4.790742,0.1714517,1.441612,1.727765,3.48802,
2.505099,4.79073,0.1714744,1.441809,1.727734,3.488028,
2.505466,4.79078,0.1714713,1.44173,1.727841,3.488044,
2.505451,4.790897,0.17134,1.441753,1.727907,3.488034,
2.505211,4.790851,0.1714243,1.441855,1.727888,3.488042,
2.505735,4.790813,0.1714329,1.441748,1.727823,3.48805,
2.505789,4.790947,0.1713914,1.441505,1.727923,3.487993,
2.505712,4.790774,0.1715002,1.441515,1.727893,3.487999,
2.505245,4.790783,0.1714868,1.441801,1.727865,3.488062,
2.50578,4.790807,0.1714605,1.441704,1.727899,3.488063,
2.505723,4.790746,0.171348,1.441739,1.727878,3.487972,
2.50546,4.790778,0.171524,1.441759,1.727889,3.48795,
2.505849,4.790804,0.1715286,1.441659,1.727934,3.487956,
2.505907,4.790926,0.1713399,1.441674,1.727958,3.487934,
2.50575,4.790912,0.1714496,1.441743,1.727942,3.487978,
2.505743,4.790972,0.1714231,1.441764,1.727951,3.487978,
2.505738,4.791018,0.1713328,1.441784,1.727957,3.488012,
2.505665,4.791047,0.1714835,1.441721,1.728023,3.488026,
2.505649,4.791022,0.1714645,1.441738,1.727933,3.488025,
2.505678,4.791049,0.1713057,1.441754,1.727891,3.48805,
2.505203,4.790981,0.1713902,1.441846,1.727851,3.488026,
2.505556,4.791046,0.1713641,1.44176,1.727915,3.488019,
2.505442,4.7909,0.1713132,1.441776,1.727873,3.488016,
2.505553,4.790919,0.1713432,1.441545,1.727911,3.487947,
2.505527,4.790876,0.1713338,1.441536,1.727878,3.487942,
2.505454,4.790914,0.1712675,1.441533,1.727921,3.487948,
2.50564,4.790949,0.1713177,1.441259,1.727938,3.487837,
2.505636,4.790925,0.1712735,1.441238,1.727944,3.487819,
2.505621,4.790951,0.1711253,1.44121,1.727939,3.487769,
2.505496,4.790817,0.1713958,1.441411,1.727941,3.487874,
2.505465,4.790738,0.1713597,1.441425,1.727902,3.487862,
2.50551,4.790853,0.1711181,1.441424,1.727919,3.487852,
2.505543,4.79074,0.1712621,1.441552,1.727847,3.487912,
2.505516,4.790756,0.1711545,1.441583,1.727874,3.487924,
2.505514,4.79077,0.1711194,1.441618,1.727868,3.487931,
2.50557,4.790684,0.1712545,1.441697,1.727839,3.487967,
2.505517,4.790792,0.1712382,1.441752,1.728087,3.487972,
2.505518,4.790872,0.1711458,1.441786,1.728145,3.487859,
2.505075,4.790907,0.1712812,1.441905,1.728171,3.487861,
2.505262,4.790997,0.1712579,1.441841,1.72834,3.487858,
2.505159,4.790884,0.1712438,1.441873,1.728317,3.487955,
2.504813,4.790884,0.1713439,1.441894,1.728342,3.487927,
2.505244,4.790911,0.1712474,1.441806,1.728371,3.487863,
