chair to collider angle,table to collider angle,audience to collider angle,


161.7146,103.2765,161.7146,
161.7146,103.2765,161.7146,
169.6765,154.8831,71.2322,
169.6438,154.8604,71.13943,
169.6427,154.8535,71.13937,
169.6296,154.838,71.14861,
169.634,154.8462,71.08664,
169.6381,154.8487,71.10068,
169.6392,154.8581,71.08517,
169.6363,154.848,71.07838,
169.6301,154.8463,71.08772,
169.6384,154.8553,71.08018,
169.6385,154.8507,71.09494,
169.6417,154.8395,71.06864,
169.6411,154.8511,71.06357,
169.6381,154.8449,71.063,
169.6363,154.8362,71.07494,
169.6392,154.8436,71.13409,
169.6332,154.8444,71.1301,
169.6406,154.8423,71.14033,
169.6385,154.8486,71.15184,
169.6423,154.8447,71.1574,
169.6409,154.8441,71.13202,
169.6344,154.8398,71.13212,
169.6398,154.8446,71.13077,
169.6435,154.8411,71.11449,
169.6372,154.8465,71.1355,
169.6296,154.8409,71.14632,
169.6318,154.8404,71.08756,
169.6323,154.8353,71.10255,
169.6289,154.8284,71.1063,
169.6228,154.8225,71.06118,
169.6323,154.8359,71.10252,
169.614,154.8236,71.10976,
169.6238,154.8211,71.10642,
169.616,154.8261,71.06557,
169.6123,154.8171,71.07059,
169.6138,154.8196,71.05285,
169.6199,154.8286,71.05084,
169.6221,154.8329,71.01785,
169.6212,154.8419,71.01351,
169.6114,154.8299,71.02815,
169.6209,154.8353,71.01371,
169.6191,154.8333,71.05779,
169.6093,154.8351,71.09046,
169.612,154.8267,71.09544,
169.6042,154.8255,71.01004,
169.6057,154.8243,71.04408,
169.6038,154.8345,71.03403,
169.6006,154.8279,71.03666,
169.6164,154.839,71.08021,
169.6109,154.8305,71.08649,
169.6112,154.8381,71.00874,
169.6267,154.844,71.07869,
169.6178,154.8308,71.05117,
169.629,154.8383,71.04259,
169.6209,154.8301,71.04189,
169.6219,154.8418,71.03539,
169.6251,154.8376,71.05502,
169.6196,154.8353,71.07606,
169.6243,154.8362,71.06771,
169.6203,154.8385,71.08427,
169.6265,154.8398,71.17855,
169.6396,154.8424,71.1849,
169.633,154.8473,71.15013,
169.6383,154.8464,71.21075,
169.6397,154.8445,71.17478,
169.6339,154.8355,71.16214,
169.6167,154.831,71.15516,
169.6169,154.8259,71.14752,
169.6291,154.833,71.14726,
169.6284,154.833,71.16728,
169.6385,154.8412,71.16798,
169.6207,154.8406,71.13596,
169.6194,154.8337,71.11328,
169.6202,154.8314,71.10783,
169.6208,154.8271,71.08073,
169.624,154.84,71.1093,
169.6156,154.8275,71.11448,
169.6185,154.8199,71.11128,
169.6205,154.8288,71.11884,
169.6241,154.8292,71.08927,
169.6125,154.8292,71.06316,
169.6166,154.8288,71.07697,
169.6221,154.8323,71.06211,
169.6086,154.8336,71.0536,
169.6269,154.8333,71.1198,
169.622,154.8243,71.1227,
169.6186,154.8265,71.07182,
169.6136,154.8329,71.09975,
169.6254,154.8368,71.07661,
169.6236,154.8334,71.08765,
169.6382,154.8437,71.12525,
169.6259,154.8287,71.09654,
169.6264,154.8266,71.09994,
169.6288,154.8338,71.06736,
169.6268,154.8324,71.04198,
169.6228,154.8329,71.04982,
169.634,154.8346,71.12005,
169.6372,154.8325,71.09353,
