chair to collider angle,table to collider angle,audience to collider angle,


88.65553,145.6865,88.65553,
88.65553,145.6865,88.65553,
74.39908,26.95634,88.71188,
66.87277,10.3422,64.36752,
66.3949,10.77185,64.01184,
66.38807,10.63323,64.19482,
66.40498,10.53497,64.31342,
66.56863,10.15414,64.7683,
66.81755,9.750583,65.24068,
66.8674,9.671399,65.31403,
67.61103,8.108352,68.03311,
67.60017,8.115612,68.12771,
67.61604,8.10903,68.25898,
67.64275,8.079803,68.38946,
67.70319,8.0533,68.73669,
67.70002,8.056566,68.72975,
67.71924,8.047081,68.82152,
67.74763,8.04286,68.91691,
67.78648,8.009572,69.00877,
67.81879,7.991438,69.08716,
67.84428,7.967255,69.15632,
67.88807,7.943938,69.2148,
67.92218,7.916264,69.27265,
67.98306,7.877711,69.34988,
68.06445,7.800617,69.46528,
68.15099,7.730049,69.58294,
68.29178,7.610817,69.7464,
68.45328,7.475486,69.93008,
68.62799,7.320567,70.11234,
68.78668,7.182503,70.28284,
68.94608,7.047344,70.44159,
69.07779,6.917045,70.55917,
69.1947,6.829954,70.67599,
69.3058,6.746106,70.80434,
69.4147,6.65676,70.94189,
69.5378,6.594604,71.12189,
69.6673,6.532429,71.3167,
69.73421,6.526783,71.45166,
69.77104,6.576797,71.57909,
69.78194,6.64647,71.70153,
69.75177,6.762483,71.80142,
69.75298,6.869612,71.94072,
69.80038,6.967564,72.11755,
69.8459,7.05505,72.30119,
69.87498,7.175015,72.46287,
69.81103,7.312764,72.53468,
69.71133,7.47916,72.56427,
69.58171,7.686535,72.5739,
69.49224,7.872103,72.6273,
69.38444,8.085439,72.67831,
69.24399,8.344521,72.7201,
69.08015,8.615411,72.73122,
68.83923,8.978857,72.72379,
68.53863,9.433402,72.70956,
68.10567,9.948468,72.55598,
67.54746,10.51887,72.28134,
66.89828,11.16844,71.93537,
66.18769,11.8473,71.53216,
65.42551,12.55488,71.07493,
64.55462,13.36069,70.53457,
63.6507,14.21871,69.99518,
62.72982,15.08436,69.45682,
61.80535,16.02766,68.97186,
60.93741,16.94384,68.56578,
60.06785,17.86236,68.17017,
59.22156,18.78386,67.81407,
58.3808,19.70495,67.46849,
57.5107,20.67086,67.12756,
56.66965,21.64707,66.83556,
55.81834,22.63628,66.5505,
54.94856,23.59737,66.21033,
54.11154,24.52915,65.87836,
53.19306,25.55632,65.49236,
52.29039,26.42007,64.98794,
51.43275,27.26376,64.52206,
50.55347,28.06333,64.01035,
49.74765,28.89889,63.63252,
48.93591,29.75595,63.26515,
48.16163,30.52745,62.88887,
47.4416,31.29152,62.57354,
46.78399,31.95676,62.25123,
46.2123,32.46162,61.91121,
45.66227,32.91066,61.52366,
45.34252,33.04289,61.14809,
45.0807,33.10422,60.79645,
45.08422,32.88764,60.57555,
45.31718,32.49477,60.55656,
45.71994,31.99823,60.70292,
46.36285,31.28754,61.03146,
47.20546,30.37478,61.48689,
48.14518,29.38832,62.00229,
49.22147,28.2195,62.55862,
50.34024,26.96911,63.10067,
51.41931,25.74957,63.59838,
52.64525,24.32589,64.14342,
53.93018,22.83944,64.73036,
55.31269,21.27266,65.38504,
56.69842,19.67924,66.04773,
58.14214,18.01759,66.73961,
