chair to collider angle,table to collider angle,audience to collider angle,


89.98798,97.52508,89.98798,
89.98798,97.52508,89.98798,
102.5877,126.3163,71.55737,
73.96902,125.5151,28.916,
50.22958,105.497,14.73584,
45.86194,101.3487,16.49468,
43.74222,99.17671,18.06934,
41.75937,97.03825,19.93584,
35.90529,90.85352,25.42833,
32.44043,87.08132,29.05078,
17.44251,69.89617,46.75138,
17.08544,69.87244,46.91811,
16.97784,69.91369,46.95642,
16.86574,70.02813,46.92417,
16.25811,70.2212,46.8926,
15.65871,70.73276,46.40385,
15.57733,70.98553,46.0813,
15.2806,71.34348,45.72058,
15.06326,71.81267,45.23658,
15.07319,73.5891,43.53322,
16.10833,75.43135,41.77677,
16.32001,75.68375,41.53027,
16.78078,76.52359,40.74481,
18.43269,79.023,38.5085,
20.01257,80.89148,36.83429,
20.16219,80.97864,36.71441,
21.00049,81.87009,35.90481,
21.84217,82.76328,35.09016,
22.71868,83.66738,34.27084,
25.27182,86.33826,31.82417,
26.90681,87.99821,30.27892,
28.61082,89.69512,28.66512,
30.5438,91.58789,26.81619,
32.6614,93.65168,24.81678,
32.79183,93.76201,24.66576,
33.98421,94.91829,23.53665,
35.25895,96.14188,22.3141,
36.51528,97.36044,21.11319,
38.91834,99.68369,18.88644,
41.21027,101.8719,16.74288,
43.23515,103.7775,14.92721,
45.31879,105.7284,13.34543,
47.68873,107.9278,11.94987,
50.05241,110.0713,11.44412,
50.01099,109.9912,11.86455,
51.04699,110.8428,12.32003,
53.85049,113.0367,14.22279,
54.94543,113.7088,15.71755,
55.64493,114.1243,16.56482,
56.18974,114.4917,16.88474,
56.49306,114.7548,16.63889,
56.24109,114.5892,16.30393,
56.36128,114.6984,16.16728,
56.38386,114.7443,15.87335,
56.34089,114.7467,15.49806,
56.2509,114.7081,15.12283,
56.10951,114.6158,14.74173,
56.00317,114.5441,14.47794,
55.44897,114.0027,14.17914,
54.48983,113.0392,14.52589,
53.17467,111.7528,14.93538,
51.54008,110.181,15.55201,
49.35705,108.1345,16.46277,
46.3872,105.3248,18.13132,
42.90183,101.998,20.60698,
38.99238,98.30933,23.63482,
34.90966,94.4948,26.95979,
30.58874,90.43453,30.75231,
26.20162,86.31049,34.80507,
21.91922,82.24164,38.96392,
17.46235,78.00621,43.31467,
12.59178,73.33639,48.16543,
7.949545,68.61412,53.18294,
4.498408,64.39281,57.70277,
4.679897,64.57304,57.52491,
3.830628,62.76191,59.4665,
3.848529,61.06157,61.30067,
4.635444,59.39402,63.09371,
8.732777,54.60946,68.24642,
8.371375,54.91803,67.9056,
9.667801,53.63655,69.28428,
10.88638,52.50143,70.53687,
11.91841,51.59514,71.58145,
12.84386,50.81303,72.52859,
15.38341,48.72061,75.15335,
16.3566,48.04104,76.19923,
15.98079,48.41236,75.80521,
16.424,48.16469,76.22256,
16.85848,47.93481,76.58921,
17.26621,47.7202,76.95281,
18.54671,46.86007,78.3502,
19.56103,45.95841,79.68108,
21.03059,44.7061,81.3194,
22.97643,43.08036,83.27084,
25.39835,41.07224,85.56644,
27.99518,38.92963,88.00108,
30.40516,36.92701,90.31628,
32.77617,34.97548,92.62896,
35.22807,33.0104,94.92854,
