chair to collider angle,table to collider angle,audience to collider angle,


75.74321,109.6906,75.74321,
75.74321,109.6906,75.74321,
29.66347,76.57,150.846,
99.36851,22.66707,68.36217,
98.55586,19.98394,70.29764,
98.27076,18.47188,71.29057,
98.15151,17.93166,71.68257,
97.5604,16.62057,72.73433,
97.1145,15.8072,73.42562,
97.12078,15.75902,73.41892,
92.38121,8.69852,79.96774,
92.24792,8.523321,80.14453,
92.10112,8.348849,80.28448,
91.89524,7.862822,80.56832,
91.70287,7.711797,80.65903,
91.78799,7.620455,80.67144,
91.65741,7.338503,80.88212,
91.5419,7.021493,81.10044,
91.52938,6.671591,81.28105,
91.45303,6.384388,81.41663,
91.34099,6.276886,81.49123,
91.25557,6.226142,81.53635,
91.15422,6.071377,81.64671,
91.08638,5.7987,81.79552,
91.05213,5.461169,81.99617,
90.96883,5.091969,82.19793,
90.96633,4.735159,82.3462,
91.01768,4.428238,82.44653,
91.01186,4.232025,82.46531,
91.06848,4.09486,82.44977,
91.05503,3.939599,82.47232,
90.99432,3.768059,82.52649,
90.99231,3.539889,82.58145,
90.98876,3.317768,82.66453,
90.92809,3.1484,82.74084,
90.8812,2.974338,82.79604,
90.8502,2.803166,82.87499,
90.71233,2.645379,83.00285,
90.64016,2.516062,83.11189,
90.51035,2.389009,83.25531,
90.33698,2.253335,83.42934,
90.19633,2.080837,83.63245,
90.06216,1.931683,83.92885,
89.83921,1.841538,84.24131,
89.65117,1.886267,84.58503,
89.36204,2.098165,84.95538,
89.03442,2.379074,85.35546,
88.79942,2.698564,85.73035,
88.51139,3.091425,86.17637,
88.20494,3.511678,86.63136,
87.96079,3.982019,87.07745,
87.59344,4.462824,87.52747,
87.13506,4.927401,87.95531,
86.70575,5.389907,88.35567,
86.14782,5.887562,88.79807,
85.60613,6.410073,89.27185,
85.14657,6.930191,89.73536,
84.6513,7.460114,90.22026,
84.12908,7.984262,90.70053,
83.65436,8.507731,91.16534,
83.11664,9.003724,91.59664,
82.60297,9.498005,92.03628,
82.08884,9.981603,92.44051,
81.54168,10.45393,92.81447,
80.98347,10.94485,93.21457,
80.48353,11.45028,93.63938,
79.90549,11.98976,94.10709,
79.39085,12.551,94.63029,
78.95203,13.08868,95.13525,
78.42672,13.64939,95.66943,
77.95433,14.19258,96.19107,
77.55277,14.70112,96.65709,
77.08703,15.20128,97.13538,
76.77579,15.67745,97.65024,
76.50169,16.14769,98.1281,
76.27618,16.6321,98.62228,
75.94758,17.09987,99.08381,
75.68679,17.58853,99.56444,
75.4131,18.08961,100.063,
75.11922,18.63321,100.5989,
74.97681,19.18947,101.1525,
74.84544,19.81042,101.7607,
74.82261,20.434,102.3612,
74.92012,20.98108,102.8316,
74.93196,21.5206,103.2856,
74.98319,22.02482,103.6977,
75.0776,22.52497,104.0919,
75.07018,23.01833,104.4605,
75.09293,23.50733,104.8281,
75.19363,24.02966,105.2141,
75.24551,24.56816,105.601,
75.37498,25.10344,105.963,
75.58759,25.63149,106.3141,
75.71096,26.12252,106.6238,
75.8585,26.58847,106.913,
76.02684,26.97642,107.1527,
76.07996,27.32355,107.3687,
76.16116,27.66093,107.5925,
76.23997,28.01787,107.8474,
