user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.3648242,1.537253,-3.876983,2.05678,0,0,0,0,
-0.3648242,1.537253,-3.876983,2.05678,0,0,0,0,
-0.3645682,1.537269,2.47881,0.8241665,-0.03884983,0.5907602,-0.8879535,1.083061,
-0.235233,1.49922,2.479007,0.8248191,-0.0395031,0.590601,-0.8866074,1.083096,
-0.2411493,1.501462,2.478961,0.8246512,-0.04113889,0.5894279,-0.8863115,1.082658,
-0.243193,1.503009,2.479023,0.8248448,-0.03923154,0.5907326,-0.8862746,1.082577,
-0.2440203,1.503493,2.478979,0.8248117,-0.04091167,0.5894234,-0.8862364,1.082587,
-0.2467109,1.504593,2.479025,0.8249528,-0.03967762,0.5903966,-0.885725,1.082548,
-0.2492782,1.505417,2.479107,0.8251159,-0.03960276,0.590256,-0.8858531,1.082798,
-0.2495235,1.505655,2.478945,0.8248677,-0.03917027,0.5908041,-0.8852634,1.082855,
-0.2769903,1.514845,2.478868,0.8246229,-0.03913784,0.5908024,-0.8852029,1.082772,
-0.2785152,1.515216,2.478859,0.8246014,-0.04061818,0.5897295,-0.8851268,1.082776,
-0.2802054,1.515629,2.478926,0.8245575,-0.03910637,0.5908737,-0.8855042,1.08317,
-0.2848482,1.516768,2.478947,0.8242769,-0.04079032,0.5896409,-0.8852854,1.083087,
-0.2882184,1.517255,2.47897,0.8242257,-0.03933358,0.5905349,-0.8854575,1.083306,
-0.2882505,1.517304,2.478969,0.8242164,-0.04098988,0.5893133,-0.8854618,1.083316,
-0.2898861,1.517717,2.478899,0.8242838,-0.04011822,0.5901129,-0.8858321,1.083678,
-0.2913558,1.518175,2.478884,0.8241396,-0.0401094,0.5900803,-0.8855493,1.083564,
-0.2930728,1.518505,2.478815,0.8241634,-0.04157114,0.5890512,-0.8854983,1.083604,
-0.295226,1.518512,2.478836,0.8242204,-0.03991508,0.5902426,-0.8858292,1.083939,
-0.2970545,1.518775,2.478845,0.8242238,-0.03991675,0.5902102,-0.8854997,1.083743,
-0.2989683,1.519167,2.478864,0.8242185,-0.0413034,0.5892417,-0.885437,1.083763,
-0.300527,1.519608,2.478848,0.8242311,-0.04065228,0.5899603,-0.88573,1.084065,
-0.3020684,1.520073,2.479002,0.8247867,-0.04067111,0.5899291,-0.8849828,1.083959,
-0.3036413,1.520598,2.479012,0.8248172,-0.04220176,0.5888922,-0.8848953,1.084009,
-0.3053854,1.520911,2.479009,0.824789,-0.04057026,0.5898139,-0.8850961,1.084299,
-0.306941,1.521374,2.479029,0.8248341,-0.04057813,0.5897758,-0.8850029,1.084066,
-0.3085979,1.521708,2.479022,0.8248146,-0.04200315,0.5888121,-0.8849127,1.084109,
-0.3103631,1.522038,2.478988,0.8247519,-0.04085302,0.5895255,-0.885004,1.084295,
-0.312023,1.522401,2.478962,0.8246558,-0.04270577,0.5880573,-0.8847036,1.08412,
-0.3138279,1.522793,2.478932,0.8246677,-0.0427289,0.588109,-0.884614,1.084162,
-0.3156559,1.523036,2.478975,0.8247201,-0.04117489,0.5892172,-0.8848095,1.084422,
-0.3172316,1.523323,2.47894,0.8245475,-0.04116797,0.5891447,-0.8842854,1.084113,
