chair to collider angle,table to collider angle,audience to collider angle,


55.71608,29.12802,55.71608,
55.71608,29.12802,55.71608,
37.54667,96.50374,54.93943,
25.25389,51.38012,45.34993,
24.90093,52.5567,45.79144,
24.95142,52.77226,46.13931,
25.076,52.86049,46.52209,
25.50846,53.07304,47.63003,
25.94468,53.16447,48.61434,
25.96992,53.1358,48.62769,
25.59738,54.84149,50.9474,
25.55087,54.79956,50.82996,
25.52083,54.74996,50.71427,
25.48637,54.68333,50.58267,
25.46679,54.43585,50.21269,
25.54639,54.36606,50.23106,
25.70356,54.1794,50.22401,
25.90597,53.94661,50.22514,
26.10554,53.69307,50.18208,
26.31861,53.39849,50.10401,
26.56052,53.05344,49.98943,
26.84176,52.69134,49.90906,
27.85338,51.53381,49.86436,
28.89701,50.36729,49.84206,
29.11108,50.08603,49.75896,
29.79249,49.23144,49.57912,
30.64107,48.22014,49.4235,
31.62636,47.09832,49.35328,
32.66377,45.93356,49.32671,
35.59713,42.61761,49.25952,
37.45429,40.43903,49.10395,
37.3928,40.47667,49.03263,
38.16082,39.55911,48.94897,
38.83661,38.74743,48.87258,
39.51853,37.94314,48.81592,
40.11564,37.21002,48.70977,
40.66549,36.51073,48.57003,
42.26566,34.48335,48.10225,
43.08994,33.44318,114.6875,
43.95967,32.47628,115.4297,
43.84853,32.62462,115.3477,
44.13956,32.26232,115.5747,
44.41492,31.90524,115.7886,
44.60171,31.6197,115.8818,
44.76227,31.35485,115.9721,
45.1465,30.65528,116.124,
45.13448,30.42868,115.9141,
45.0143,30.5302,115.7883,
45.0005,30.443,115.6828,
44.97532,30.38296,115.5759,
44.96601,30.32233,115.5042,
44.81551,30.27308,115.1203,
44.39501,30.54872,114.466,
43.95744,30.84626,113.7916,
44.03167,30.73576,113.9017,
44.13171,30.54213,113.9488,
44.32922,30.24412,114.097,
44.6118,29.83803,114.3453,
44.94521,29.38028,114.6351,
45.20891,28.99199,114.8474,
45.46149,28.60657,115.0451,
46.16535,27.50886,115.5816,
46.72634,26.63236,116.1048,
47.24568,25.79595,116.6202,
47.193,25.82905,116.6008,
47.34906,25.51184,116.7569,
47.46255,25.23878,116.8702,
47.81023,24.4388,117.2337,
47.93102,24.00669,117.3733,
47.84803,24.07357,117.3224,
47.81945,23.94147,117.3223,
47.72185,23.87851,117.2595,
47.57776,23.86132,117.1721,
47.43436,23.84408,117.0843,
47.21762,23.90569,116.9123,
47.00971,23.95757,116.7326,
46.78375,24.01999,116.5595,
46.498,24.15616,116.3226,
46.10356,24.40501,115.9969,
45.5655,24.79386,115.5344,
44.87027,25.34226,114.9249,
44.03504,26.03009,114.1588,
43.13001,26.79748,113.3395,
42.15636,27.62671,112.4544,
40.99765,28.65196,111.3646,
39.71741,29.80382,110.1558,
38.26538,31.12037,108.7774,
36.71429,32.54105,107.2912,
35.05964,34.07349,105.6919,
33.30524,35.71502,103.9667,
31.64894,37.27278,102.3283,
29.93256,38.89651,100.5981,
28.24327,40.50457,98.88281,
26.62932,42.04438,97.23732,
25.08257,43.52538,95.6496,
23.60402,44.95939,94.10457,
22.22091,46.30611,92.65148,
20.96757,47.54789,91.26896,
19.80251,48.73404,89.94298,
