user x,user y,table x,table y,chair x,chair y,audience x,audience y,


-0.03713901,1.519635,-3.876983,2.05678,0,0,0,0,
-0.03713901,1.519635,-3.876983,2.05678,0,0,0,0,
-0.03795376,1.518683,2.003644,0.8216996,-0.854768,0.4492753,0,0,
-0.1643204,1.505613,2.004204,0.8221593,-0.8546438,0.4492962,0,0,
-0.1443556,1.507876,2.003498,0.8220022,-0.8546777,0.4491029,0,0,
-0.1402527,1.508734,2.003555,0.8222635,-0.8546433,0.4490848,0,0,
-0.1384661,1.509179,2.003602,0.8222616,-0.8546767,0.4491282,0,0,
-0.1328649,1.510353,2.00394,0.8221731,-0.8546135,0.4490068,0,0,
-0.1303427,1.510985,2.003356,0.8218944,-0.8546667,0.4490387,0,0,
-0.1307255,1.511,2.003008,0.8222024,-0.8549194,0.4493923,0,0,
-0.1297306,1.515384,2.002788,0.8222272,-0.8549087,0.4494195,0,0,
-0.1300795,1.515158,2.002801,0.8222287,-0.8547671,0.4492538,0,0,
-0.1307147,1.514974,2.003544,0.8219643,-0.8547447,0.4492376,0,0,
-0.1311886,1.514781,2.002935,0.8219213,-0.8547359,0.4491785,0,0,
-0.1324071,1.514419,2.003413,0.8217068,-0.8547118,0.4491975,0,0,
-0.1323652,1.514541,2.003374,0.8217757,-0.8547802,0.4492064,0,0,
-0.132924,1.514741,2.003402,0.8217671,-0.8548079,0.4492614,0,0,
-0.1332524,1.514857,2.00346,0.8217247,-0.8548381,0.4492977,0,0,
-0.1335243,1.514856,2.003445,0.8217566,-0.8548357,0.4493141,0,0,
-0.1335781,1.514669,2.003471,0.821739,-0.8546746,0.4491572,0,0,
-0.1337352,1.51465,2.003305,0.8218312,-0.8546064,0.4491529,0,0,
-0.1336969,1.514513,2.00333,0.8218403,-0.8546181,0.4490585,0,0,
-0.1337229,1.514516,2.003334,0.8218539,-0.8545213,0.4489441,0,0,
-0.1334277,1.514568,2.002948,0.8218992,-0.8549159,0.4493408,0,0,
-0.1329808,1.514653,2.002973,0.8218749,-0.8548932,0.4493341,0,0,
-0.1323362,1.514677,2.002852,0.8220971,-0.8548803,0.4493573,0,0,
-0.1314179,1.514758,2.002861,0.8221226,-0.8548398,0.4491832,0,0,
-0.1304584,1.514971,2.002835,0.8221533,-0.8549078,0.4491727,0,0,
-0.1294317,1.515091,2.002564,0.8224883,-0.8548715,0.4492192,0,0,
-0.1262079,1.515382,2.002512,0.8225837,-0.854826,0.4491045,0,0,
-0.1243866,1.515491,2.002217,0.8225305,-0.8550367,0.4494793,0,0,
-0.1244947,1.515381,2.003277,0.8221288,-0.8549747,0.4494462,0,0,
-0.1236323,1.515299,2.002878,0.8220849,-0.8550496,0.4493945,0,0,
-0.1226999,1.515081,2.002873,0.822094,-0.8548806,0.4491837,0,0,
-0.1219338,1.515091,2.00305,0.8220344,-0.8548956,0.4491825,0,0,
-0.1211343,1.514847,2.003238,0.8224242,-0.8547986,0.4492519,0,0,
-0.1204755,1.514573,2.003258,0.8224397,-0.8546934,0.4491441,0,0,
-0.1184642,1.513574,2.003282,0.8221586,-0.8547015,0.4490805,0,0,
-0.1175514,1.513373,2.003182,0.8222063,-0.854687,0.449069,-1.904714,1.028682,
