pos to chair dis,pos to table dis,pos to audience dis,controller to chair dis,controller to table dis,controller to audience dis,


1.597499,4.391263,1.597499,0,4.507173,0,
1.597499,4.391263,1.597499,0,4.507173,0,
1.89328,2.005075,2.090268,1.25106,2.402337,2.320979,
1.853768,2.136192,1.986421,1.513507,1.919085,2.198881,
1.852251,2.153097,1.95775,1.507829,1.92393,2.200482,
1.852827,2.154516,1.955784,1.502609,1.928313,2.201317,
1.853674,2.155637,1.950824,1.49707,1.933032,2.199722,
1.854494,2.156962,1.949686,1.491539,1.937976,2.200765,
1.855823,2.158017,1.947664,1.486307,1.942967,2.200726,
1.856811,2.158965,1.945064,1.480795,1.947981,2.200346,
1.85823,2.15979,1.943001,1.475597,1.95288,2.200042,
1.859659,2.160249,1.966683,1.404119,2.044186,2.145632,
1.883007,2.161703,1.939176,1.401079,2.049306,2.141525,
1.883217,2.161921,1.941571,1.397954,2.054853,2.137338,
1.883402,2.162014,1.942791,1.395352,2.059638,2.132668,
1.883233,2.162381,1.943703,1.392768,2.064519,2.127651,
1.883069,2.162818,1.945712,1.38987,2.069798,2.123303,
1.882793,2.163136,1.947344,1.387362,2.07477,2.118304,
1.882469,2.163656,1.948341,1.385119,2.079478,2.113359,
1.882231,2.164168,1.950254,1.382535,2.084532,2.108944,
1.882001,2.164458,1.951796,1.380265,2.08937,2.103884,
1.881595,2.164805,1.953061,1.378357,2.093573,2.099257,
1.88125,2.165258,1.954786,1.375922,2.098298,2.095155,
1.880913,2.164963,1.956598,1.373878,2.102846,2.090308,
1.880676,2.165337,1.958569,1.372141,2.107,2.086744,
1.880585,2.165747,1.959837,1.370414,2.111133,2.082804,
1.880594,2.166466,1.960911,1.368967,2.115087,2.079214,
1.880673,2.166799,1.962098,1.367931,2.118445,2.075949,
1.880814,2.167296,1.962932,1.366719,2.12203,2.072623,
1.881234,2.167202,1.963888,1.366108,2.124813,2.069712,
1.881706,2.167619,1.964639,1.366142,2.127246,2.066978,
1.882094,2.16793,1.964491,1.36631,2.129427,2.063953,
1.882698,2.167443,1.965312,1.366368,2.131658,2.061263,
1.883068,2.167769,1.96557,1.366899,2.133424,2.059099,
1.883653,2.167892,1.96542,1.368121,2.13426,2.057159,
1.88419,2.168248,1.965556,1.369326,2.135172,2.055641,
1.884911,2.168325,1.965819,1.370749,2.135878,2.054046,
1.885554,2.168602,1.965689,1.372951,2.1357,2.052725,
1.886241,2.168187,1.966159,1.375174,2.13517,2.051833,
1.886808,2.168382,1.966629,1.37737,2.134693,2.051424,
1.887359,2.168549,1.966594,1.379928,2.133924,2.050565,
1.887948,2.167671,1.967818,1.382781,2.132531,2.050698,
1.888225,2.16773,1.968666,1.385798,2.130821,2.051465,
1.888596,2.167782,1.969046,1.389381,2.128832,2.051594,
1.889179,2.166982,1.970434,1.392886,2.126545,2.05251,
1.889688,2.167245,1.970785,1.396572,2.124255,2.053249,
1.890122,2.167322,1.971269,1.400196,2.121968,2.053964,
1.89052,2.166456,1.973081,1.40419,2.118914,2.05571,
1.890963,2.166522,1.973918,1.408306,2.115758,2.057558,
1.891305,2.166596,1.974637,1.412588,2.112703,2.058831,
